"","miR200c","miR200a","miR200b","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","CDH1","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.778368661389169,0.778368661389169,0.724745507585809,0.770965507402603,0.770965507402603,0.730668950351294,0.697418508935665,0.390342457541806,0.490797385944019,0.232939554692608,0,0,-0.424067927502111,-0.461954173933772,-0.475794818206046,-0.47256263529833,-0.346095633585364,-0.5343930316881,-0.428790639239636,-0.577023163965344,-0.830439302759182,-0.639787804498592,-0.849814418154859
"miR200c",0.764407901522715,0.764407901522715,0.718836338853254,0.759295584008379,0.759295584008379,0.704807787869794,0.695246195076582,0.483441080184955,0.494001846497957,0.257952800993577,0,0,-0.474563014257043,-0.477898426809818,-0.514936089643247,-0.522111707632969,-0.439982631281818,-0.545034518970736,-0.54837175124263,-0.674766292448619,-0.817627968767809,-0.736400462069562,-0.831221593724758
"miR200b",0.764407901522715,0.764407901522715,0.718836338853254,0.759295584008379,0.759295584008379,0.704807787869794,0.695246195076582,0.483441080184955,0.494001846497957,0.257952800993577,0,0,-0.474563014257043,-0.477898426809818,-0.514936089643247,-0.522111707632969,-0.439982631281818,-0.545034518970736,-0.54837175124263,-0.674766292448619,-0.817627968767809,-0.736400462069562,-0.831221593724758
"miR200a",0.764407901522715,0.764407901522715,0.718836338853254,0.759295584008379,0.759295584008379,0.704807787869794,0.695246195076582,0.483441080184955,0.494001846497957,0.257952800993577,0,0,-0.474563014257043,-0.477898426809818,-0.514936089643247,-0.522111707632969,-0.439982631281818,-0.545034518970736,-0.54837175124263,-0.674766292448619,-0.817627968767809,-0.736400462069562,-0.831221593724758
"miR141",0.764407901522715,0.764407901522715,0.718836338853254,0.759295584008379,0.759295584008379,0.704807787869794,0.695246195076582,0.483441080184955,0.494001846497957,0.257952800993577,0,0,-0.474563014257043,-0.477898426809818,-0.514936089643247,-0.522111707632969,-0.439982631281818,-0.545034518970736,-0.54837175124263,-0.674766292448619,-0.817627968767809,-0.736400462069562,-0.831221593724758
"miR101",0.69351592705408,0.69351592705408,0.652371384956863,0.689794736112312,0.689794736112312,0.581778019709147,0.635784098152369,0.452219416500198,0.464659338204362,0.254093333617364,0,0,-0.363909156470573,-0.378557914680042,-0.474547411840252,-0.406698021959481,-0.51349091608815,-0.479834763930652,-0.493285665877993,-0.532346711414222,-0.740858972623963,-0.586369131322161,-0.751047400532508
"CDH1",0.612185997775837,0.612185997775837,0.784294869526624,0.609390751962394,0.609390751962394,0.542780443803585,0.56884067337356,0.67661346980495,0.427768658803563,0.464886432136328,0,0,-0.531168737138379,-0.443306605204176,-0.465164820096387,-0.585962893844886,-0.626848014141917,-0.736765882183675,-0.768122035092493,-0.636372896574321,-0.674911921204023,-0.705609961042272,-0.683243394219762
"miR34a",0.710049787312985,0.710049787312985,0.672451315870473,0.707170694061277,0.707170694061277,0.617549336714414,0.654430061535131,0.529663603768154,0.487508083474978,0.286344768387774,0,0,-0.49223883160391,-0.467074417118883,-0.527367836442593,-0.536913786136123,-0.489231635421504,-0.710941516663981,-0.627223417059176,-0.548543023060243,-0.760274165313446,-0.604880175882018,-0.668421289364191
"CLDN7",0.540405007180758,0.540405007180758,0.718474762141294,0.538334174410552,0.538334174410552,0.478875808041995,0.505765648213673,0.626848014141917,0.3824996637198,0.53955835436413,0,0,-0.471391389606917,-0.400438900764204,-0.411905963533868,-0.531168737138379,-0.572176579184385,-0.680112316770986,-0.719594364106435,-0.560661459198936,-0.609390751962394,-0.636372896574321,-0.616052728235927
"GRHL2",0.62400523717252,0.62400523717252,0.516308460035919,0.61716082469508,0.61716082469508,0.585445932276132,0.493342347892048,0.26087697068825,0.407776021567765,0.114798000449277,0.0255409753580788,0.0256364332958402,-0.281605750010174,-0.337637809955038,-0.351846158947551,-0.316081731280768,-0.229635278712371,-0.331154388808609,-0.282061749600573,-0.526212645589655,-0.658396765275951,-0.569655164035084,-0.480731402742059
"OVOL2",0.430742387098387,0.430742387098387,0.442771249882861,0.41832108441265,0.41832108441265,0.422024621344941,0.304071894122187,0.393538885867194,0.176254356303124,0.252446865182176,-0.0240834337367673,-0.0241428552949085,-0.318625857342628,-0.330403349925819,-0.343496073252722,-0.345417095383056,-0.368944389085996,-0.41783454029963,-0.420681460012192,-0.334857696566929,-0.451426793717835,-0.369772131090738,-0.383884298795395
"NP63",0.114809944529083,0.114809944529083,-0.0663065566955797,0.148074705045531,0.148074705045531,0.116512079738964,0.230439238402154,-0.283616992657826,0.176329750423327,-0.175176299278467,0.0215802590359401,0.12148890048048,0.19101923011806,0.080958325084607,0.0925168619328896,0.188005654442081,0.285977319430127,0.228167522949656,0.283535761744438,-0.084165695374819,-0.151125200568688,-0.0886365373377446,-0.0687455409569426
"SNAI1",-0.526837822353757,-0.526837822353757,-0.498685660592004,-0.52878626508067,-0.52878626508067,-0.493240614108398,-0.492460192192361,-0.420354806951064,-0.381992481794544,-0.28650679918958,0,0,0.317293355697298,0.209934322600413,0.413292170875323,0.348338374320937,0.391960446202449,0.441536649942379,0.461526881422935,0.414687392386427,0.566775308863075,0.455036523461825,0.562222501238923
"TCF3",-0.540405007180758,-0.540405007180758,-0.718474762141294,-0.538334174410552,-0.538334174410552,-0.478875808041995,-0.505765648213673,-0.626848014141917,-0.3824996637198,-0.53955835436413,0,0,0.471391389606917,0.400438900764204,0.411905963533868,0.531168737138379,0.572176579184385,0.680112316770986,0.719594364106435,0.560661459198936,0.609390751962394,0.636372896574321,0.616052728235927
"KLF8",-0.540405007180758,-0.540405007180758,-0.718474762141294,-0.538334174410552,-0.538334174410552,-0.478875808041995,-0.505765648213673,-0.626848014141917,-0.3824996637198,-0.53955835436413,0,0,0.471391389606917,0.400438900764204,0.411905963533868,0.531168737138379,0.572176579184385,0.680112316770986,0.719594364106435,0.560661459198936,0.609390751962394,0.636372896574321,0.616052728235927
"FOXC2",-0.753642817888777,-0.753642817888777,-0.6913890686817,-0.746238149343194,-0.746238149343194,-0.706564952956102,-0.666307123331571,-0.352718676868372,-0.466386420260646,-0.096147864890522,0,0,0.400931863040341,0.43758816593652,0.453042994755774,0.446368996884415,0.311312039071614,0.49659316483197,0.379126850207315,0.547554166718614,0.801831869718815,0.606249795294075,0.622832934434874
"TGFbeta",-0.587544289772021,-0.587544289772021,-0.657654254920369,-0.585791777519463,-0.585791777519463,-0.584776336187642,-0.546119669975213,-0.509571644252927,-0.421598677282753,-0.333613697279649,0,0,0.468657425423538,0.439008113653484,0.49979903358996,0.512235126056579,0.470265081733452,0.602409288662246,0.626421132275998,0.643495422874704,0.637037272346556,0.597939978332279,0.642656293093217
