"","miR200c","miR200a","miR200b","CDH1","miR34a","miR141","CLDN7","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.809199334831997,0.809199334831997,0.792358243260214,0.758053633724334,0.799368911330328,0.799368911330328,0.799368911330328,0.721499790875199,0.521156322709415,0.507322710972505,0,0,-0.46602944261078,-0.497544795702808,-0.507210704189931,-0.524911915049209,-0.460972322056158,-0.672788393792927,-0.599022772494517,-0.618463576601701,-0.86739210067184,-0.669120401041535,-0.893345190445151
"miR200c",0.791250872053113,0.791250872053113,0.777358483813104,0.740897446543109,0.784433017821911,0.784433017821911,0.784433017821911,0.715972187097981,0.586090665662783,0.507670002961275,0,0,-0.511675848004709,-0.510515078740298,-0.543644004005719,-0.568994792444469,-0.527580102388924,-0.662144457581648,-0.693077988271653,-0.707116859832523,-0.850632813436323,-0.761362366423684,-0.868971747953912
"miR200b",0.791250872053113,0.791250872053113,0.777358483813104,0.740897446543109,0.784433017821911,0.784433017821911,0.784433017821911,0.715972187097981,0.586090665662783,0.507670002961275,0,0,-0.511675848004709,-0.510515078740298,-0.543644004005719,-0.568994792444469,-0.527580102388924,-0.662144457581648,-0.693077988271653,-0.707116859832523,-0.850632813436323,-0.761362366423684,-0.868971747953912
"miR200a",0.791250872053113,0.791250872053113,0.777358483813104,0.740897446543109,0.784433017821911,0.784433017821911,0.784433017821911,0.715972187097981,0.586090665662783,0.507670002961275,0,0,-0.511675848004709,-0.510515078740298,-0.543644004005719,-0.568994792444469,-0.527580102388924,-0.662144457581648,-0.693077988271653,-0.707116859832523,-0.850632813436323,-0.761362366423684,-0.868971747953912
"miR141",0.791250872053113,0.791250872053113,0.777358483813104,0.740897446543109,0.784433017821911,0.784433017821911,0.784433017821911,0.715972187097981,0.586090665662783,0.507670002961275,0,0,-0.511675848004709,-0.510515078740298,-0.543644004005719,-0.568994792444469,-0.527580102388924,-0.662144457581648,-0.693077988271653,-0.707116859832523,-0.850632813436323,-0.761362366423684,-0.868971747953912
"miR101",0.722453296990316,0.722453296990316,0.709095030278355,0.657292031245571,0.717982197093091,0.717982197093091,0.717982197093091,0.658304492816092,0.544909629860377,0.478790056997203,0,0,-0.408360090856903,-0.419601077725222,-0.503400154036228,-0.459984038298376,-0.592570279965042,-0.594194528569542,-0.551465904549906,-0.631471851234024,-0.776967082260126,-0.612550235555205,-0.789599103836275
"miR34a",0.735764312732751,0.735764312732751,0.724634573661925,0.680617302082768,0.732205740964546,0.732205740964546,0.732205740964546,0.674377329730161,0.612566523427966,0.499848221737307,0,0,-0.528186312479082,-0.498959554350316,-0.554496679702171,-0.581484302862512,-0.558738010386215,-0.813997836987091,-0.565248462588298,-0.755141406440846,-0.792897556062561,-0.628288620397598,-0.703314673229937
"CDH1",0.623658316137023,0.623658316137023,0.815809103067865,0.783018597465536,0.620729798675596,0.620729798675596,0.620729798675596,0.577469632717339,0.732946876792796,0.432653443717956,0,0,-0.548502810923912,-0.460686588611582,-0.47877704911345,-0.610815314719382,-0.669575902608852,-0.807780645324351,-0.64228883460776,-0.863331985874754,-0.691977155969465,-0.715897036570057,-0.701263398650545
"CLDN7",0.546738799313771,0.546738799313771,0.740948142842158,0.812912193339107,0.54481563006674,0.54481563006674,0.54481563006674,0.510367267156494,0.669575902608852,0.384648158359416,0,0,-0.481163661523694,-0.41251898684484,-0.420184665854131,-0.548502810923912,-0.602354138387912,-0.735722317610258,-0.563122167941093,-0.797401878284377,-0.620729798675596,-0.64228883460776,-0.627646190573285
"GRHL2",0.647884143719764,0.647884143719764,0.56936954390668,0.537796809574553,0.639007889683393,0.639007889683393,0.639007889683393,0.511864840426607,0.346986922825121,0.420379668030651,0.0255445433385214,0.0256445051712762,-0.313864254079801,-0.364342481501347,-0.3756239590353,-0.355758578178277,-0.304435182128843,-0.422714373665259,-0.543735815088096,-0.407559826092667,-0.686781365801278,-0.592951901153074,-0.514565864094698
