"","miR200b","miR200c","miR200a","CDH1","miR141","CLDN7","miR101","miR34a","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","ZEB1","GSC","SNAI2","TGFbeta","ZEB2"
"miR205",0.745011283551126,0.748597005319007,0.748597005319007,0.717202435019626,0.709719884599037,0.709719884599037,0.504685959538027,0.690709769568376,0.643544051945286,0.453382800736314,0,0,-0.456796639985297,-0.477934302123704,-0.493104610341107,-0.507988930253408,-0.451895421957453,-0.639673600356762,-0.758109966709818,-0.566902066607955,-0.591662284557994,-0.624869055974722,-0.86395010627093
"miR200c",0.700598893507489,0.699012251088734,0.699012251088734,0.671751598219096,0.65528433473152,0.65528433473152,0.550046101719055,0.627531445666442,0.60322113333942,0.42664649399353,0,0,-0.484711843314636,-0.471852600643573,-0.511566960841117,-0.531387975056654,-0.502169584302536,-0.600170119038216,-0.699573808239525,-0.635974932474729,-0.656337479939567,-0.689540517421553,-0.814625185635719
"miR200b",0.700598893507489,0.699012251088734,0.699012251088734,0.671751598219096,0.65528433473152,0.65528433473152,0.550046101719055,0.627531445666442,0.60322113333942,0.42664649399353,0,0,-0.484711843314636,-0.471852600643573,-0.511566960841117,-0.531387975056654,-0.502169584302536,-0.600170119038216,-0.699573808239525,-0.635974932474729,-0.656337479939567,-0.689540517421553,-0.814625185635719
"miR200a",0.700598893507489,0.699012251088734,0.699012251088734,0.671751598219096,0.65528433473152,0.65528433473152,0.550046101719055,0.627531445666442,0.60322113333942,0.42664649399353,0,0,-0.484711843314636,-0.471852600643573,-0.511566960841117,-0.531387975056654,-0.502169584302536,-0.600170119038216,-0.699573808239525,-0.635974932474729,-0.656337479939567,-0.689540517421553,-0.814625185635719
"miR141",0.700598893507489,0.699012251088734,0.699012251088734,0.671751598219096,0.65528433473152,0.65528433473152,0.550046101719055,0.627531445666442,0.60322113333942,0.42664649399353,0,0,-0.484711843314636,-0.471852600643573,-0.511566960841117,-0.531387975056654,-0.502169584302536,-0.600170119038216,-0.699573808239525,-0.635974932474729,-0.656337479939567,-0.689540517421553,-0.814625185635719
"miR101",0.545944494808947,0.533888563272938,0.533888563272938,0.518228360651462,0.451206241644793,0.451206241644793,0.460097586119753,0.404422828724195,0.412247088566738,0.33049230885721,0,0,-0.333707873875923,-0.332185877022567,-0.429378197789642,-0.368965340349085,-0.52345989571382,-0.462315668426214,-0.483728241578875,-0.412855368734781,-0.524847904396744,-0.45081074691352,-0.670660982042339
"CDH1",0.734997064093886,0.522837357465647,0.522837357465647,0.712576102025952,0.468882710692111,0.468882710692111,0.697019861488037,0.442632976782617,0.437938563691208,0.339439558113695,0,0,-0.523530938114624,-0.422408896029416,-0.447503035704292,-0.573777950066816,-0.645183945471085,-0.741959703679585,-0.515052353406009,-0.580206674346556,-0.811189292230454,-0.634876559977835,-0.646051387667558
"miR34a",0.578798671253657,0.5579878263163,0.5579878263163,0.553826041497247,0.493382053600657,0.493382053600657,0.535119081363574,0.461751242812386,0.45599198133223,0.35427835403284,0,0,-0.463861201934648,-0.423359366535564,-0.485007582663015,-0.501179429202723,-0.496787412648147,-0.693162327995292,-0.527537490118886,-0.439290937533399,-0.654784828269506,-0.479826389988914,-0.593994081202186
"CLDN7",0.676903967225218,0.464550199535154,0.464550199535154,0.758280533563109,0.416119663477101,0.416119663477101,0.645183945471085,0.393281983405134,0.39110221658216,0.305825075017631,0,0,-0.46665775321627,-0.384293317107988,-0.400146562796711,-0.523530938114624,-0.588336977806057,-0.686071157918777,-0.468882710692111,-0.514627555260096,-0.758953300568938,-0.580206674346556,-0.587827344560079
"GRHL2",0.532822110366049,0.60070508997585,0.60070508997585,0.506298070444061,0.570564889139062,0.570564889139062,0.333889976974418,0.554899544727952,0.452814573909218,0.37949544000338,0.0255409753580788,0.0256364332958402,-0.306049425577718,-0.348970679814779,-0.364094888529346,-0.342248049775648,-0.296760701918297,-0.397486003405316,-0.603686707960069,-0.518259308498073,-0.38661083488059,-0.557682913103472,-0.491129841983655
