"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.799184382067519,0.799184382067519,0.782226239186268,0.743737636048357,0.789487011974501,0.789487011974501,0.713737992341464,0.737274949053729,0.496388378215975,0.502574057248218,0,0,-0.433447232535676,-0.440630152185051,-0.467547887648775,-0.492127207495788,-0.442493891702426,-0.655162752313566,-0.596571877233414,-0.60371589462159,-0.852675046905744,-0.663953245270234,-0.878475937190396
"miR200c",0.771103499109087,0.771103499109087,0.757028912301292,0.714856487571855,0.764381514504067,0.764381514504067,0.699749665040319,0.693697733223171,0.546395242827565,0.497257681882247,0,0,-0.424004883257855,-0.470186413410429,-0.485439878349199,-0.518956693073827,-0.495460478229748,-0.629021775505277,-0.684699560491327,-0.680610939571831,-0.82419367455192,-0.748594888188809,-0.842450327268449
"miR200b",0.771103499109087,0.771103499109087,0.757028912301292,0.714856487571855,0.764381514504067,0.764381514504067,0.699749665040319,0.693697733223171,0.546395242827565,0.497257681882247,0,0,-0.424004883257855,-0.470186413410429,-0.485439878349199,-0.518956693073827,-0.495460478229748,-0.629021775505277,-0.684699560491327,-0.680610939571831,-0.82419367455192,-0.748594888188809,-0.842450327268449
"miR200a",0.771103499109087,0.771103499109087,0.757028912301292,0.714856487571855,0.764381514504067,0.764381514504067,0.699749665040319,0.693697733223171,0.546395242827565,0.497257681882247,0,0,-0.424004883257855,-0.470186413410429,-0.485439878349199,-0.518956693073827,-0.495460478229748,-0.629021775505277,-0.684699560491327,-0.680610939571831,-0.82419367455192,-0.748594888188809,-0.842450327268449
"miR141",0.771103499109087,0.771103499109087,0.757028912301292,0.714856487571855,0.764381514504067,0.764381514504067,0.699749665040319,0.693697733223171,0.546395242827565,0.497257681882247,0,0,-0.424004883257855,-0.470186413410429,-0.485439878349199,-0.518956693073827,-0.495460478229748,-0.629021775505277,-0.684699560491327,-0.680610939571831,-0.82419367455192,-0.748594888188809,-0.842450327268449
"miR101",0.691154464491257,0.691154464491257,0.677870168356851,0.621119359056324,0.68635570724386,0.68635570724386,0.632682210907762,0.564950786599021,0.492563905279285,0.462772056923784,0,0,-0.312776143329956,-0.344519799194586,-0.423897313293474,-0.386736880695628,-0.548476125817871,-0.541415224454574,-0.535203515172395,-0.594703133266839,-0.738023088015752,-0.590376275906534,-0.751374660840337
"CDH1",0.592596119828987,0.592596119828987,0.784231668973007,0.743580684110894,0.58934435974875,0.58934435974875,0.550786247349183,0.499520876916417,0.67494962789742,0.414839562946022,0,0,-0.345535899194318,-0.48782557398637,-0.397266344136841,-0.538858774517578,-0.621515575294787,-0.758994445420272,-0.627931513964015,-0.822612675066962,-0.651786804118325,-0.694504748818855,-0.661826014057636
"miR34a",0.693074448927395,0.693074448927395,0.681902461584884,0.631021483730645,0.68948854690405,0.68948854690405,0.638603797540611,0.580207875192932,0.544756934024437,0.476390010095898,0,0,-0.376981024804064,-0.454695219272212,-0.458669169866538,-0.496964120880709,-0.500763003477418,-0.750617113967041,-0.541690606814823,-0.704405910201743,-0.741157303730782,-0.59708344693333,-0.65151546060238
"CLDN7",0.523706664804891,0.523706664804891,0.717385040665288,0.781968389129891,0.521433011323193,0.521433011323193,0.4905031580397,0.440336770956152,0.621515575294787,0.371574342414323,0,0,-0.311264736422724,-0.431726832456844,-0.350949359848651,-0.48782557398637,-0.564102373089452,-0.696775186576926,-0.554467674921057,-0.764998570877816,-0.58934435974875,-0.627931513964015,-0.597122489308688
"GRHL2",0.640147652342102,0.640147652342102,0.561605516121873,0.526920195436686,0.631388934921626,0.631388934921626,0.505863660121935,0.590636742552936,0.328411126063077,0.416720732056028,0.0255409753580788,0.0256364332958402,-0.316503588140386,-0.294679669820147,-0.345226016527928,-0.330892745720488,-0.290575834016772,-0.410062429261063,-0.541767451638009,-0.39653432849676,-0.675561331622698,-0.588783200236933,-0.503151205185094
