"","miR200b","miR200c","miR200a","CDH1","GSC","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","FOXC2","TCF3","TWIST1","SNAI1","KLF8","TWIST2","ZEB1","SNAI2","TGFbeta","ZEB2"
"miR205",0.726972862913658,0.732118943469598,0.732118943469598,0.690654394447198,0.564499952823065,0.725363090633886,0.725363090633886,0.657150144834259,0.683527836369502,0.468080477141669,0.462005822488361,0,0,-0.213167038424017,-0.270081977319045,-0.297770293286262,-0.39930694910637,-0.422679638541006,-0.62363959303007,-0.773526467486348,-0.565935787194502,-0.619254753648331,-0.791433362490818
"miR101",0.656843320408421,0.661819643217031,0.661819643217031,0.603298499790917,0.525340594884816,0.65865306555745,0.65865306555745,0.608163884102793,0.549198727813122,0.499392940024626,0.444973168340202,0,0,-0.281710474913039,-0.252038997483112,-0.277508482331927,-0.334808821768246,-0.558701231488592,-0.537863371400769,-0.701051470356237,-0.587586534448257,-0.573728692378717,-0.709992619334733
"miR200c",0.627060831590493,0.622817094684412,0.622817094684412,0.589390032214125,0.59204827502325,0.620073422882643,0.620073422882643,0.571776798153261,0.568899462869015,0.458139479076032,0.405445659610994,0,0,-0.0892874989855147,-0.178030134505311,-0.200005377417597,-0.315004012816903,-0.421640433652596,-0.538700112865414,-0.659052668085649,-0.581288703798995,-0.636407878695643,-0.666950918899287
"miR200b",0.627060831590493,0.622817094684412,0.622817094684412,0.589390032214125,0.59204827502325,0.620073422882643,0.620073422882643,0.571776798153261,0.568899462869015,0.458139479076032,0.405445659610994,0,0,-0.0892874989855147,-0.178030134505311,-0.200005377417597,-0.315004012816903,-0.421640433652596,-0.538700112865414,-0.659052668085649,-0.581288703798995,-0.636407878695643,-0.666950918899287
"miR200a",0.627060831590493,0.622817094684412,0.622817094684412,0.589390032214125,0.59204827502325,0.620073422882643,0.620073422882643,0.571776798153261,0.568899462869015,0.458139479076032,0.405445659610994,0,0,-0.0892874989855147,-0.178030134505311,-0.200005377417597,-0.315004012816903,-0.421640433652596,-0.538700112865414,-0.659052668085649,-0.581288703798995,-0.636407878695643,-0.666950918899287
"miR141",0.627060831590493,0.622817094684412,0.622817094684412,0.589390032214125,0.59204827502325,0.620073422882643,0.620073422882643,0.571776798153261,0.568899462869015,0.458139479076032,0.405445659610994,0,0,-0.0892874989855147,-0.178030134505311,-0.200005377417597,-0.315004012816903,-0.421640433652596,-0.538700112865414,-0.659052668085649,-0.581288703798995,-0.636407878695643,-0.666950918899287
"CDH1",0.779596040888021,0.580957078754929,0.580957078754929,0.744760516095757,0.62779438461306,0.579107491461741,0.579107491461741,0.541716566909678,0.510860988074786,0.701776750617275,0.408290380057778,0,0,-0.291591321127317,-0.42881875929545,-0.461812119189209,-0.398641881921726,-0.648756790085425,-0.771552731138686,-0.634649677532877,-0.832297220480881,-0.691286415629694,-0.640767503092501
"miR34a",0.682580829680405,0.686831725114032,0.686831725114032,0.636802249840066,0.54615948516293,0.684385888984758,0.684385888984758,0.634181882350157,0.593151427029389,0.575962689481841,0.473105853930339,0,0,-0.362842239113061,-0.400613691526221,-0.427940815521402,-0.431938259226329,-0.532303923347852,-0.76731156330905,-0.729833663142764,-0.718686611577843,-0.598230034071088,-0.637027818338464
"CLDN7",0.717237113558011,0.518355970545261,0.518355970545261,0.787341931496699,0.556378760179491,0.517179392862465,0.517179392862465,0.486744648590034,0.456159001319819,0.648756790085425,0.368836991115817,0,0,-0.270628300636248,-0.392807142644918,-0.42881875929545,-0.36379159235833,-0.589615082441259,-0.71004234371589,-0.579107491461741,-0.776738405886439,-0.62779438461306,-0.583567707942092
"GRHL2",0.517383640983531,0.585767166712618,0.585767166712618,0.484958185739671,0.513806847164491,0.580134342776039,0.580134342776039,0.460983090223196,0.547356059841843,0.306079710567304,0.384996328731477,0.0255409753580788,0.0256364332958402,-0.120702310846516,-0.161046694795145,-0.181290639531835,-0.290732102757765,-0.273869666111122,-0.383952907274533,-0.613608152024304,-0.366364419140856,-0.551743730815549,-0.432635679580296
"OVOL2",0.399636630143499,0.358929530284804,0.358929530284804,0.433205729999574,0.293152973644109,0.349359902809622,0.349359902809622,0.243834494522259,0.354781090744023,0.38419319593553,0.132667806150387,-0.0240834337367673,-0.0241428552949085,-0.109055193119939,-0.179163862553007,-0.192231267775653,-0.256837202179679,-0.362208834815585,-0.414750970619955,-0.373081216000086,-0.43597377176324,-0.320183948070917,-0.297667795300933
"NP63",-0.0606252905465924,0.109924630863234,0.109924630863234,-0.0789228782713423,0.0842506027815398,0.142973616047675,0.142973616047675,0.225926170282767,0.111381114103756,-0.264542975980054,0.173111828025958,0.0215802590359401,0.12148890048048,0.130981120840985,0.211734290473905,0.21016130719106,0.0875393991455221,0.266840251049959,0.207556259064435,-0.145138582339886,0.253458231044045,-0.0878485008696216,-0.0633737210402196
"TGFbeta",-0.278451107690032,-0.137410059232809,-0.137410059232809,-0.252102908804129,-0.311172744739407,-0.131729724138638,-0.131729724138638,-0.120733920704925,-0.184812769099865,-0.253007964804206,-0.0870894808180443,0,0,0.0474163118722765,0.0932680354004202,0.102114721580167,0.132103791302874,0.239583087197929,0.337564925295859,0.145257508254012,0.376872793221426,0.226510946239822,0.159163220923251
"SNAI1",-0.502736466659899,-0.506230006139475,-0.506230006139475,-0.541755748082062,-0.410672395983496,-0.508606333544567,-0.508606333544567,-0.474531946866939,-0.471954569298516,-0.452202185255075,-0.369254243045557,0,0,0.283531598327876,0.243147305621949,0.261387231229581,0.180705495821782,0.422048288225384,0.48000026090745,0.540599183821174,0.526240975361051,0.447383850566207,0.535074545351455
"TCF3",-0.717237113558011,-0.518355970545261,-0.518355970545261,-0.787341931496699,-0.556378760179491,-0.517179392862465,-0.517179392862465,-0.486744648590034,-0.456159001319819,-0.648756790085425,-0.368836991115817,0,0,0.270628300636248,0.392807142644918,0.42881875929545,0.36379159235833,0.589615082441259,0.71004234371589,0.579107491461741,0.776738405886439,0.62779438461306,0.583567707942092
"KLF8",-0.717237113558011,-0.518355970545261,-0.518355970545261,-0.787341931496699,-0.556378760179491,-0.517179392862465,-0.517179392862465,-0.486744648590034,-0.456159001319819,-0.648756790085425,-0.368836991115817,0,0,0.270628300636248,0.392807142644918,0.42881875929545,0.36379159235833,0.589615082441259,0.71004234371589,0.579107491461741,0.776738405886439,0.62779438461306,0.583567707942092
"FOXC2",-0.715700822469225,-0.723922643044126,-0.723922643044126,-0.677644273329793,-0.545785956584032,-0.716429586198658,-0.716429586198658,-0.64004995453572,-0.675065374649755,-0.455966063196241,-0.447664471111602,0,0,0.226214473037332,0.277525091473325,0.3048853889046,0.393113633234956,0.411406557522106,0.60965341852224,0.763650474069189,0.54857556607226,0.599475126263041,0.584960900314588
"ZEB1",-0.763356128019033,-0.771742473733631,-0.771742473733631,-0.722072991624406,-0.599475126263041,-0.763650474069189,-0.763650474069189,-0.682007053523818,-0.717637379786427,-0.497644302661321,-0.4773318775872,0,0,0.24323731655149,0.3048853889046,0.33119618111887,0.418020622715797,0.455966063196241,0.65661509155023,0.706653610649017,0.591472557075103,0.649090363992383,0.629337700276223
"SNAI2",-0.835623723218757,-0.637193441374052,-0.637193441374052,-0.796845350768747,-0.691286415629694,-0.634649677532877,-0.634649677532877,-0.591089775312536,-0.560591023377862,-0.750340449413709,-0.443192388284248,0,0,0.311069889737046,0.461812119189209,0.491983047734729,0.428457053770498,0.701776750617275,0.826868733570918,0.685133781541968,0.782725255230291,0.749456834675261,0.69278059544784
"GSC",-0.677787371505689,-0.682951232828652,-0.682951232828652,-0.631262572062098,-0.544025276579987,-0.680852338285931,-0.680852338285931,-0.628705757853722,-0.599255019826985,-0.56001372573819,-0.471786228412765,0,0,0.415102143238163,0.452402730977378,0.479116569464473,0.427415773521796,0.517149901589776,0.561702035345107,0.725523710834951,0.609833816771603,0.595243104232162,0.73181041932248
"TWIST1",-0.687834899636444,-0.691904315198858,-0.691904315198858,-0.74097807534499,-0.54967032120417,-0.688623679227514,-0.688623679227514,-0.637292867079775,-0.593174656031586,-0.57819377378573,-0.474557708012421,0,0,0.415080963613337,0.473817680921328,0.401269542334483,0.357196183847107,0.534295949755455,0.672697184498688,0.734361597972971,0.724451334712096,0.602003703629459,0.74356628858637
"TWIST2",-0.691603964002909,-0.695405164904405,-0.695405164904405,-0.74700221212362,-0.5541569595756,-0.692254849865685,-0.692254849865685,-0.642800896670314,-0.601881986278455,-0.592006154891417,-0.480397373380605,0,0,0.341217845914391,0.50124579938606,0.528735362385646,0.44090675807653,0.547787267750211,0.676907318567576,0.738444151995552,0.729241053304541,0.607051873793795,0.747338602997321
"ZEB2",-0.808289144391824,-0.804059889393127,-0.804059889393127,-0.774528206084169,-0.6677642571896,-0.601253534447161,-0.601253534447161,-0.557666350235723,-0.553534371108898,-0.55038659351945,-0.409654627625616,0,0,0.0980470388430424,0.178735055043432,0.207421303764753,0.341468108180381,0.505173949212669,0.617263407337415,0.647458047150339,0.667593247471791,0.721130556631065,0.755858108172619
