"","miR200c","miR200a","miR200b","CDH1","miR34a","miR141","CLDN7","miR101","GRHL2","OVOL2","NP63","miR205","TCF3","KLF8","TWIST1","FOXC2","TWIST2","GSC","SNAI1","SNAI2","TGFbeta","ZEB1","ZEB2"
"TCF3",-0.592038576611869,-0.592038576611869,-0.786971248326894,-0.878849671060195,-0.590570300069622,-0.588458728642139,-0.588458728642139,-0.782441184901686,-0.550844365371209,-0.414722350034257,0,0,0.597219003476246,0.690696288463003,0.693153175789895,0.595339051006317,0.781325797339496,0.579612431444241,0.690859954852952,0.862650681233074,0.670640163907537,0.681063782952201,0.692911951373886
"KLF8",-0.592038576611869,-0.592038576611869,-0.786971248326894,-0.878849671060195,-0.590570300069622,-0.588458728642139,-0.588458728642139,-0.782441184901686,-0.550844365371209,-0.414722350034257,0,0,0.597219003476246,0.690696288463003,0.693153175789895,0.595339051006317,0.781325797339496,0.579612431444241,0.690859954852952,0.862650681233074,0.670640163907537,0.681063782952201,0.692911951373886
"FOXC2",-0.829211562491464,-0.829211562491464,-0.810504113624237,-0.78998605526448,-0.824117218123092,-0.816697224049548,-0.816697224049548,-0.59490882663919,-0.728432753629436,-0.510734096963915,0,0,0.547978450671576,0.516249736897136,0.629766418224528,0.6404060038521,0.69247976507098,0.589425123698315,0.724444751972067,0.647030917355153,0.666353294256603,0.895860365902233,0.73117423417578
"ZEB1",-0.909689923977282,-0.909689923977282,-0.889141702944913,-0.866925910900601,-0.904032829937438,-0.895860365902233,-0.895860365902233,-0.671892551243326,-0.798771451792602,-0.560469822257101,0,0,0.629766418224528,0.59490882663919,0.710314111530699,0.722089302614996,0.769140865579886,0.666353294256603,0.804311987718323,0.720001584635289,0.742797381952671,0.873681629023197,0.812009391133697
"SNAI2",-0.777765031162027,-0.777765031162027,-0.968517141271036,-0.956140258532327,-0.774853853738381,-0.771280529033605,-0.771280529033605,-0.959892198388643,-0.713243920597066,-0.530410594565529,0,0,0.786470572868249,0.872224757092815,0.878071497786638,0.782862629049461,0.95792392603133,0.758458565200578,0.874878253255242,0.930676366051458,0.845232668399975,0.859781666236685,0.878575189533155
"TGFbeta",-0.779232277781958,-0.779232277781958,-0.870213259960286,-0.857817885058111,-0.876382761822483,-0.773002611439463,-0.773002611439463,-0.861655157114662,-0.715566890180509,-0.542853779374705,0,0,0.787840453146657,0.773792736661926,0.879465711241182,0.884125045484902,0.859719802339359,0.761595736474548,0.976341898980565,0.932910030206457,0.74815976908924,0.861562002527068,0.879882559884055
"GSC",-0.863389841519951,-0.863389841519951,-0.850970179986079,-0.83523572285255,-0.859403247610302,-0.854918440054188,-0.854918440054188,-0.839003481154632,-0.783267760277381,-0.581534666593341,0,0,0.874715206788308,0.754307674778453,0.963052160532238,0.969799896023486,0.736612824502698,0.640742832916471,0.95916569235692,0.803041382267927,0.724218271609468,0.940327308832468,0.964028861335028
"TWIST1",-0.865334048158786,-0.865334048158786,-0.853463990053458,-0.938578809440818,-0.861516232208914,-0.857055237963701,-0.857055237963701,-0.842303558475389,-0.787293104648495,-0.58149315081339,0,0,0.876255861305386,0.757044384049258,0.865073494283892,0.971499409158142,0.83990528870755,0.641803898074693,0.961415699142899,0.907493989669277,0.725605432877233,0.942935956206176,0.966035193512986
"TWIST2",-0.868119231767445,-0.868119231767445,-0.856874864542692,-0.942497128899835,-0.864490606304304,-0.860259844376708,-0.860259844376708,-0.84626593631625,-0.792799581277132,-0.587465050250421,0,0,0.878461014345194,0.760437809822633,0.967902901981801,0.873952223731772,0.843910518991893,0.645735081326729,0.964372912268088,0.912736111163072,0.730168555742275,0.946735281117262,0.968792405155523
"SNAI1",-0.869076280658596,-0.869076280658596,-0.857952313422279,-0.943530854448158,-0.965512424949233,-0.861383399069738,-0.861383399069738,-0.947400422351237,-0.793986577682465,-0.597797013398824,0,0,0.879334624656774,0.861522260879466,0.968942174255944,0.97490270892165,0.845064033285016,0.6477424073687,0.965344469634493,0.914119721891983,0.732473143198057,0.94800137143598,0.969744221984082
"ZEB2",-0.973630353144043,-0.973630353144043,-0.963230730271859,-0.949735894289312,-0.770385780662764,-0.766362472084455,-0.766362472084455,-0.753511842525029,-0.704678601168262,-0.514546816581391,0,0,0.583107740771016,0.666866123750481,0.673755117652501,0.679271346141382,0.751312973651322,0.752242413608128,0.770345250773297,0.821645986665153,0.838218064668237,0.853926638540404,0.97452113839347
