"","miR200c","miR200a","miR200b","CDH1","miR34a","miR141","CLDN7","miR101","GRHL2","OVOL2","NP63","miR205","TCF3","KLF8","TWIST1","FOXC2","TWIST2","GSC","SNAI1","SNAI2","TGFbeta","ZEB1","ZEB2"
"miR101",0.861143319458304,0.861143319458304,0.848352692093923,0.832739547060983,0.857056564118512,0.852285842703807,0.852285842703807,0.836304055192008,0.78018580951012,0.567506067636418,0,0,-0.772851516647015,-0.85184357189988,-0.860791675742636,-0.867768089096176,-0.733973724629947,-0.63559055202835,-0.956982466216995,-0.799660941920559,-0.718495581834921,-0.937334127203329,-0.961905120617984
"miR200c",0.8567238727887,0.8567238727887,0.843095537172202,0.826899385240331,0.852552993087895,0.847211198935458,0.847211198935458,0.730763776386225,0.773318897024649,0.54917849296905,0,0,-0.668960398382258,-0.647022196471957,-0.756123389937637,-0.763729569568887,-0.72808614221103,-0.725025826753863,-0.852339408317607,-0.792138026883381,-0.807143361523429,-0.931520670613273,-0.95763283697123
"miR200b",0.8567238727887,0.8567238727887,0.843095537172202,0.826899385240331,0.852552993087895,0.847211198935458,0.847211198935458,0.730763776386225,0.773318897024649,0.54917849296905,0,0,-0.668960398382258,-0.647022196471957,-0.756123389937637,-0.763729569568887,-0.72808614221103,-0.725025826753863,-0.852339408317607,-0.792138026883381,-0.807143361523429,-0.931520670613273,-0.95763283697123
"miR200a",0.8567238727887,0.8567238727887,0.843095537172202,0.826899385240331,0.852552993087895,0.847211198935458,0.847211198935458,0.730763776386225,0.773318897024649,0.54917849296905,0,0,-0.668960398382258,-0.647022196471957,-0.756123389937637,-0.763729569568887,-0.72808614221103,-0.725025826753863,-0.852339408317607,-0.792138026883381,-0.807143361523429,-0.931520670613273,-0.95763283697123
"miR141",0.8567238727887,0.8567238727887,0.843095537172202,0.826899385240331,0.852552993087895,0.847211198935458,0.847211198935458,0.730763776386225,0.773318897024649,0.54917849296905,0,0,-0.668960398382258,-0.647022196471957,-0.756123389937637,-0.763729569568887,-0.72808614221103,-0.725025826753863,-0.852339408317607,-0.792138026883381,-0.807143361523429,-0.931520670613273,-0.95763283697123
"miR205",0.844273219435333,0.844273219435333,0.827956308036759,0.809513819585106,0.839208838401081,0.832779553762241,0.832779553762241,0.613145294298003,0.752095848931644,0.529820887368843,0,0,-0.559369664169417,-0.531784758594893,-0.64394196349811,-0.653204022276906,-0.710673820161298,-0.611386447733296,-0.739532264966831,-0.669693669706375,-0.690923029228297,-0.914632574221614,-0.94568446457489
"miR34a",0.866508990052905,0.866508990052905,0.854980311551867,0.840423645219757,0.862821706915861,0.858496965849658,0.858496965849658,0.844188016492712,0.789457936098799,0.58391388179975,0,0,-0.777163215199254,-0.758660588711519,-0.866302909561248,-0.872496980331063,-0.941864373833628,-0.643007851664018,-0.96267968522601,-0.910111056242392,-0.72716270687946,-0.94467478096211,-0.867193831922634
"CDH1",0.686068680851515,0.686068680851515,0.878909952898906,0.868506575143046,0.683836525235185,0.681063782952201,0.681063782952201,0.872224757092815,0.6330473975434,0.473719530770062,0,0,-0.693153175789895,-0.782441184901686,-0.786470572868249,-0.690022126458853,-0.870643596328828,-0.670640163907537,-0.783926862480175,-0.947563891863594,-0.758458565200578,-0.771280529033605,-0.786661812209761
"CLDN7",0.592038576611869,0.592038576611869,0.786971248326894,0.878849671060195,0.590570300069622,0.588458728642139,0.588458728642139,0.782441184901686,0.550844365371209,0.414722350034257,0,0,-0.597219003476246,-0.690696288463003,-0.693153175789895,-0.595339051006317,-0.781325797339496,-0.579612431444241,-0.690859954852952,-0.862650681233074,-0.670640163907537,-0.681063782952201,-0.692911951373886
"GRHL2",0.676861851051639,0.676861851051639,0.598633381514103,0.578818785114248,0.670096826121859,0.666635926334625,0.666635926334625,0.417187530780428,0.537042838536985,0.438893373152457,0.0255409753580788,0.0256364332958402,-0.386761170048527,-0.359300299828361,-0.446903374800246,-0.488268365940864,-0.454174210362728,-0.555096473012438,-0.547222857573916,-0.44825020090629,-0.61142279772959,-0.724751685767073,-0.556575966917117
"OVOL2",0.488347406672796,0.488347406672796,0.517184864781577,0.562842736547266,0.515819092820362,0.473390669026228,0.473390669026228,0.530542171408378,0.35295679829234,0.210984675026653,-0.0240834337367673,-0.0241428552949085,-0.42937552929071,-0.482260145153484,-0.479603930125182,-0.494067305656996,-0.519413126262135,-0.366386276726973,-0.552653543435567,-0.551717613335403,-0.413715283561188,-0.522065209690812,-0.461765585872237
"NP63",0.10589621435303,0.10589621435303,-0.0665112958740216,-0.087504359527013,0.0981881129598053,0.13886512775423,0.13886512775423,-0.284316839245749,0.222320498455097,0.170630231675211,0.0215802590359401,0.12148890048048,0.21343622547036,0.286021976588805,0.210898359431989,0.13039437522845,0.218308985218467,-0.0801129898961837,0.131734579087513,0.26381371668934,-0.083940249708244,-0.14127505653868,-0.0596134165733535
