"","miR200c","miR200a","miR200b","miR141","CLDN7","miR34a","GRHL2","CDH1","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.80342694849114,0.80342694849114,0.774280640869377,0.793900078485503,0.793900078485503,0.753432254510324,0.717650494575245,0.552432450035803,0.488248376833079,0.505345139099723,0,0,-0.457587774256829,-0.488671513633004,-0.50012664191571,-0.511547660587705,-0.436166269066635,-0.632968672084557,-0.562175446912749,-0.596087361921738,-0.858524741533167,-0.66382422908568,-0.883490383878732
"miR200c",0.780616433942326,0.780616433942326,0.752305025872952,0.774146025854651,0.774146025854651,0.719599213838452,0.708403511791164,0.503894388244487,0.543826598347348,0.50346697258426,0,0,-0.496196450465455,-0.495568546254103,-0.530903635515412,-0.547791463553879,-0.494082352823052,-0.609075424211144,-0.639003322950194,-0.687195333076587,-0.836024961041386,-0.752107613778342,-0.853283195337971
"miR200b",0.780616433942326,0.780616433942326,0.752305025872952,0.774146025854651,0.774146025854651,0.719599213838452,0.708403511791164,0.503894388244487,0.543826598347348,0.50346697258426,0,0,-0.496196450465455,-0.495568546254103,-0.530903635515412,-0.547791463553879,-0.494082352823052,-0.609075424211144,-0.639003322950194,-0.687195333076587,-0.836024961041386,-0.752107613778342,-0.853283195337971
"miR200a",0.780616433942326,0.780616433942326,0.752305025872952,0.774146025854651,0.774146025854651,0.719599213838452,0.708403511791164,0.503894388244487,0.543826598347348,0.50346697258426,0,0,-0.496196450465455,-0.495568546254103,-0.530903635515412,-0.547791463553879,-0.494082352823052,-0.609075424211144,-0.639003322950194,-0.687195333076587,-0.836024961041386,-0.752107613778342,-0.853283195337971
"miR141",0.780616433942326,0.780616433942326,0.752305025872952,0.774146025854651,0.774146025854651,0.719599213838452,0.708403511791164,0.503894388244487,0.543826598347348,0.50346697258426,0,0,-0.496196450465455,-0.495568546254103,-0.530903635515412,-0.547791463553879,-0.494082352823052,-0.609075424211144,-0.639003322950194,-0.687195333076587,-0.836024961041386,-0.752107613778342,-0.853283195337971
"miR101",0.707374277194106,0.707374277194106,0.681387431128396,0.702473848408793,0.702473848408793,0.594384271633782,0.64702254839096,0.447958377448105,0.500586519021105,0.472704901386035,0,0,-0.38278817692527,-0.393469649714422,-0.488024129476041,-0.429057941118934,-0.556448230481349,-0.530954373839219,-0.565895529353347,-0.54300836125169,-0.756649716046643,-0.599974546932798,-0.770013817087193
"miR34a",0.712639764233324,0.712639764233324,0.681697766575999,0.709452772131897,0.709452772131897,0.619980229401054,0.656456624969576,0.391637687353588,0.546759740778903,0.48895107893364,0,0,-0.496542419247123,-0.471086490435393,-0.530275458027522,-0.543117966632036,-0.502504593268147,-0.728818827164614,-0.65653120347594,-0.550277844993489,-0.763858171170026,-0.607693867536315,-0.673026648828299
"CDH1",0.564083523100821,0.564083523100821,0.707280320676663,0.56417457991121,0.56417457991121,0.499175320254395,0.528132094043783,0.234307947013163,0.582884775053302,0.398292922223193,0,0,-0.471653793935811,-0.399256812079365,-0.420007406697508,-0.521433342408586,-0.535273892196067,-0.616222788200228,-0.637409322042698,-0.596722458401777,-0.622696021890321,-0.658201272567949,-0.624369317444854
"CLDN7",0.500157658506209,0.500157658506209,0.647240679811072,0.500951817229719,0.500951817229719,0.442158101711349,0.472010937013623,0.297704416564703,0.535273892196067,0.358014723756313,0,0,-0.417491160828357,-0.360701753961322,-0.372113267262656,-0.471653793935811,-0.484268080841574,-0.562509986403484,-0.58992710417362,-0.529747653254052,-0.56417457991121,-0.596722458401777,-0.564154670699068
"GRHL2",0.643735718820367,0.643735718820367,0.556136446008431,0.63511149584042,0.63511149584042,0.603209987024005,0.509160137778699,0.389596027286644,0.323238355914909,0.419055165070303,0.0255409753580788,0.0256364332958402,-0.307570008883378,-0.357941922929918,-0.370535655900693,-0.346144492957602,-0.286357331221921,-0.394450992425538,-0.367104842110786,-0.541653448616324,-0.680393142771312,-0.589111554904123,-0.507406106418548
