"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","TWIST1","FOXC2","SNAI1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.796287937630995,0.796287937630995,0.779194462951101,0.739004582815465,0.786898950911111,0.786898950911111,0.746318227352792,0.711439473941942,0.507440307855916,0.501028714931189,0,0,-0.303066166615385,-0.341104138692317,-0.455941963750245,-0.480058298555018,-0.451127647489185,-0.65473394885435,-0.594588142854373,-0.600280972194191,-0.849968974885968,-0.661077588974037,-0.874854195245576
"miR200c",0.75718210075428,0.75718210075428,0.743140761350437,0.697681458386248,0.751402140233975,0.751402140233975,0.697291987178209,0.688130789245375,0.552141610418049,0.489586054172596,0,0,-0.262237564797922,-0.297271653858366,-0.442981372370971,-0.473690611114991,-0.49982721252172,-0.619915576288193,-0.674668042442809,-0.665781167426363,-0.810180466324667,-0.736654452769143,-0.825972432613831
"miR200b",0.75718210075428,0.75718210075428,0.743140761350437,0.697681458386248,0.751402140233975,0.751402140233975,0.697291987178209,0.688130789245375,0.552141610418049,0.489586054172596,0,0,-0.262237564797922,-0.297271653858366,-0.442981372370971,-0.473690611114991,-0.49982721252172,-0.619915576288193,-0.674668042442809,-0.665781167426363,-0.810180466324667,-0.736654452769143,-0.825972432613831
"miR200a",0.75718210075428,0.75718210075428,0.743140761350437,0.697681458386248,0.751402140233975,0.751402140233975,0.697291987178209,0.688130789245375,0.552141610418049,0.489586054172596,0,0,-0.262237564797922,-0.297271653858366,-0.442981372370971,-0.473690611114991,-0.49982721252172,-0.619915576288193,-0.674668042442809,-0.665781167426363,-0.810180466324667,-0.736654452769143,-0.825972432613831
"miR141",0.75718210075428,0.75718210075428,0.743140761350437,0.697681458386248,0.751402140233975,0.751402140233975,0.697291987178209,0.688130789245375,0.552141610418049,0.489586054172596,0,0,-0.262237564797922,-0.297271653858366,-0.442981372370971,-0.473690611114991,-0.49982721252172,-0.619915576288193,-0.674668042442809,-0.665781167426363,-0.810180466324667,-0.736654452769143,-0.825972432613831
"miR101",0.705729368710928,0.705729368710928,0.692148653396217,0.635890350671123,0.70062471455985,0.70062471455985,0.592390039923436,0.645379127931071,0.525594474351759,0.471556473890836,0,0,-0.274062540483166,-0.306722972812967,-0.460026501624443,-0.390682138149968,-0.577299820338945,-0.558183621416965,-0.544479224311083,-0.610303511034216,-0.754472643105382,-0.601529254075732,-0.768580097933477
"CDH1",0.614345408430073,0.614345408430073,0.806075932708998,0.76931455912834,0.611026401764227,0.611026401764227,0.544488881585942,0.570275475798047,0.721799094875931,0.42884063401062,0,0,-0.445134841895265,-0.485777604179461,-0.44473337665347,-0.446084453782631,-0.661817211404027,-0.785517493698711,-0.639881359560395,-0.848673530737187,-0.677797350409364,-0.710575141912012,-0.68801875101557
"miR34a",0.721601783728031,0.721601783728031,0.710137083370616,0.66221360091519,0.717449036640681,0.717449036640681,0.627635454528933,0.663565229753753,0.596292972307308,0.494024573812434,0,0,-0.417926876775889,-0.451324245549164,-0.516350985946568,-0.47881500203827,-0.546346752270431,-0.782384021815881,-0.559673873268462,-0.735895761820936,-0.773438832534766,-0.619255479384471,-0.685249803957996
"CLDN7",0.540819306058674,0.540819306058674,0.734709062414502,0.803563509753227,0.538484983485326,0.538484983485326,0.478899477612432,0.505882397201807,0.661817211404027,0.382625670940651,0,0,-0.405686632795555,-0.445134841895265,-0.395082859896196,-0.402502082237882,-0.59862245652398,-0.718616876068167,-0.562031078610603,-0.787124835458487,-0.611026401764227,-0.639881359560395,-0.618937679563142
"GRHL2",0.6378116192443,0.6378116192443,0.559170984037812,0.523223037906866,0.629294514151763,0.629294514151763,0.597336794496249,0.504037544386587,0.336476152085631,0.415410197623217,0.0255409753580788,0.0256364332958402,-0.186406798106585,-0.213130886204163,-0.337784259682511,-0.35102373501785,-0.296802750967624,-0.409566288724875,-0.539806698135407,-0.393950129408867,-0.673600108222952,-0.586598496225176,-0.500518400711285
"OVOL2",0.428010289520931,0.428010289520931,0.456958511971981,0.485727288445251,0.415227528528766,0.415227528528766,0.419183527989721,0.301333986654038,0.426586419320099,0.174465736061958,-0.0240834337367673,-0.0241428552949085,-0.212258500922072,-0.232114986067025,-0.312283120040276,-0.329108684712228,-0.396838549651411,-0.454045665381187,-0.33558969318809,-0.476734230948132,-0.448706059361949,-0.370782456636062,-0.382343365299739
"NP63",0.120507883865705,0.120507883865705,-0.0520624994621118,-0.0710423150572474,0.153153932713566,0.153153932713566,0.121441154998417,0.23493039044412,-0.258595875621941,0.17954203777626,0.0215802590359401,0.12148890048048,0.205082134516463,0.204070129579853,0.0926309297722113,0.0746598968322287,0.261685409039343,0.202136097172377,-0.0889607064428448,0.247712922899577,-0.157832987741913,-0.0954290493899718,-0.0770682321354744
"GSC",-0.433726094100015,-0.433726094100015,-0.410652668692782,-0.328331327656363,-0.439835460476021,-0.439835460476021,-0.372294037825929,-0.408515126557394,-0.288977128623589,-0.317951571347901,0,0,0.0628718313019507,0.0814141901059375,0.28137312095844,0.252262893194709,0.261893957682751,0.291297928571566,0.34416444520423,0.269800719719571,0.469716848107997,0.375513804354899,0.456434873434123
"TGFbeta",-0.512712772117418,-0.512712772117418,-0.602037855041772,-0.539406690355193,-0.512086442478433,-0.512086442478433,-0.516903160368608,-0.47820992187505,-0.484998157003847,-0.372478987058659,0,0,0.255943229954477,0.282417488570863,0.38176973359643,0.38592155935341,0.445078067813965,0.576191122340787,0.591282133989706,0.618388549407688,0.557027354165894,0.539443539358011,0.560371405026691
"SNAI1",-0.534492470266943,-0.534492470266943,-0.525266989157776,-0.562517977024797,-0.535547730031064,-0.535547730031064,-0.499865739884123,-0.498468047191932,-0.468791062078826,-0.386260533969951,0,0,0.257324279056252,0.280047162373661,0.403348617269779,0.217710914111444,0.433792200785816,0.492672906550343,0.422352071960989,0.540505084544337,0.575511363727417,0.464934549054751,0.573536839811565
