"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","OVOL2","miR101","NP63","miR205","KLF8","TCF3","SNAI1","FOXC2","TWIST1","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.807369476103811,0.807369476103811,0.790109154294669,0.755498584418826,0.796853819993679,0.796853819993679,0.757312598978477,0.718264471111936,0.504333428258494,0.444979019977412,0,0,-0.400391126298609,-0.4658364092238,-0.490661688306589,-0.505294653214547,-0.523632095626185,-0.665484461118299,-0.598028724095344,-0.616141405224061,-0.863736366054927,-0.667499188967766,-0.892062607468454
"miR200c",0.785459102920785,0.785459102920785,0.771358348434494,0.734470767253287,0.777872615993268,0.777872615993268,0.724339631892096,0.709486234076305,0.502512838508693,0.454778568998971,0,0,-0.41197359948777,-0.507493173956731,-0.498633636499042,-0.53760245314779,-0.563061572107397,-0.647212366030691,-0.689939556355349,-0.70101390013496,-0.842244663438513,-0.756884564336728,-0.863145764619489
"miR200b",0.785459102920785,0.785459102920785,0.771358348434494,0.734470767253287,0.777872615993268,0.777872615993268,0.724339631892096,0.709486234076305,0.502512838508693,0.454778568998971,0,0,-0.41197359948777,-0.507493173956731,-0.498633636499042,-0.53760245314779,-0.563061572107397,-0.647212366030691,-0.689939556355349,-0.70101390013496,-0.842244663438513,-0.756884564336728,-0.863145764619489
"miR200a",0.785459102920785,0.785459102920785,0.771358348434494,0.734470767253287,0.777872615993268,0.777872615993268,0.724339631892096,0.709486234076305,0.502512838508693,0.454778568998971,0,0,-0.41197359948777,-0.507493173956731,-0.498633636499042,-0.53760245314779,-0.563061572107397,-0.647212366030691,-0.689939556355349,-0.70101390013496,-0.842244663438513,-0.756884564336728,-0.863145764619489
"miR141",0.785459102920785,0.785459102920785,0.771358348434494,0.734470767253287,0.777872615993268,0.777872615993268,0.724339631892096,0.709486234076305,0.502512838508693,0.454778568998971,0,0,-0.41197359948777,-0.507493173956731,-0.498633636499042,-0.53760245314779,-0.563061572107397,-0.647212366030691,-0.689939556355349,-0.70101390013496,-0.842244663438513,-0.756884564336728,-0.863145764619489
"miR101",0.711449981438425,0.711449981438425,0.69793549807097,0.645678640209463,0.705555017174732,0.705555017174732,0.598200523486775,0.647791547452921,0.471790172034744,0.358088639660244,0,0,-0.41868930385623,-0.392505749812972,-0.395502686617124,-0.493990400509756,-0.442370241657388,-0.564344938923928,-0.545276654774751,-0.620187423851832,-0.761913995403758,-0.60400934513389,-0.778535310472864
"CDH1",0.626763175359034,0.626763175359034,0.819507616173003,0.788536054064961,0.622907435525767,0.622907435525767,0.562300319862851,0.57989177693332,0.434794033199366,0.422092829700982,0,0,-0.373782297312652,-0.565169028242861,-0.469424047242817,-0.492916349557509,-0.627113950790194,-0.801928576803631,-0.645906599872156,-0.8696476393208,-0.693498950419836,-0.719428616505513,-0.705575221360494
"miR34a",0.720681080287518,0.720681080287518,0.709899865944898,0.665445774636666,0.71610726440885,0.71610726440885,0.627979329283621,0.65948812061082,0.488918818283497,0.439488928930611,0,0,-0.399040971091349,-0.516529350898558,-0.477342546191928,-0.540656272156603,-0.567627659798532,-0.783897973959253,-0.55606995404413,-0.740495635448363,-0.773696136761522,-0.616321541577107,-0.687056920551291
"CLDN7",0.549996791129395,0.549996791129395,0.744860328984289,0.818816548028143,0.547341236010659,0.547341236010659,0.493930574889398,0.513185090082561,0.387194673866852,0.373782297312652,0,0,-0.320263235729074,-0.49745670995671,-0.422092829700982,-0.434753888989685,-0.565169028242861,-0.731355119676378,-0.566133204991753,-0.803999602643524,-0.622907435525767,-0.645906599872156,-0.632160710959682
"GRHL2",0.663326243009658,0.663326243009658,0.581012016394412,0.549230392874773,0.652203217544838,0.652203217544838,0.621553396979198,0.521304522696148,0.426198432546881,0.343230304263615,0.0254025490851438,0.0255115787213813,-0.309279504513229,-0.324391147802675,-0.375920614184547,-0.38820119695134,-0.367478882699996,-0.427397628349237,-0.552541359552996,-0.415835916137532,-0.701115009893065,-0.603389921853316,-0.535412445560747
"OVOL2",0.428359289767049,0.428359289767049,0.458818216508102,0.491620628707378,0.414674272204569,0.414674272204569,0.419973759916949,0.298313157985111,0.170946469407319,0.301736470003068,-0.0242753328038071,-0.0243473609864706,-0.27898950293201,-0.328414054000221,-0.32578519727233,-0.345634887091221,-0.358247603625002,-0.458455943473826,-0.333418380232128,-0.48445684219766,-0.449549452304466,-0.369543060194397,-0.38644546327439
"NP63",0.229087449023501,0.229087449023501,0.0372634871908623,0.0193313626039827,0.258859439646747,0.258859439646747,0.225648968927695,0.3230580715322,0.242686124063088,-0.0216679863216737,0.019977876815414,0.119863698563013,0.0341260493948117,0.136384087877673,0.0127379962521603,0.0283093222654148,0.121235748866988,0.133404656738394,-0.158946685176753,0.176325177898592,-0.275295652898568,-0.177591848552209,-0.198106127837311
"SNAI1",-0.532697042012436,-0.532697042012436,-0.524101238101311,-0.563840025400388,-0.533413882341374,-0.533413882341374,-0.49811587993696,-0.494692196471053,-0.382071658552322,-0.282472469848413,0,0,0.255246328259841,0.330468118845576,0.210131098814621,0.420391859067397,0.365902505144223,0.492981562416235,0.41879123540231,0.543238290086454,0.574516294031589,0.461864244457363,0.573775374949853
