"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","TWIST2","TWIST1","FOXC2","miR34a","KLF8","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR200c",0.606199255658237,0.606199255658237,0.577502226975612,0.531644356745464,0.576464646694443,0.576464646694443,0.533095167605329,0.341284063681505,0.377849356813599,0,0,-0.227918974525182,-0.248593526913726,-0.154447798400449,-0.264345482782812,-0.319853332927972,-0.337654362235386,-0.320955185038805,-0.426439711786052,-0.603050383267658,-0.580523058350404,-0.615564190974711,-0.678704971674408
"miR200b",0.606199255658237,0.606199255658237,0.577502226975612,0.531644356745464,0.576464646694443,0.576464646694443,0.533095167605329,0.341284063681505,0.377849356813599,0,0,-0.227918974525182,-0.248593526913726,-0.154447798400449,-0.264345482782812,-0.319853332927972,-0.337654362235386,-0.320955185038805,-0.426439711786052,-0.603050383267658,-0.580523058350404,-0.615564190974711,-0.678704971674408
"miR200a",0.606199255658237,0.606199255658237,0.577502226975612,0.531644356745464,0.576464646694443,0.576464646694443,0.533095167605329,0.341284063681505,0.377849356813599,0,0,-0.227918974525182,-0.248593526913726,-0.154447798400449,-0.264345482782812,-0.319853332927972,-0.337654362235386,-0.320955185038805,-0.426439711786052,-0.603050383267658,-0.580523058350404,-0.615564190974711,-0.678704971674408
"miR141",0.606199255658237,0.606199255658237,0.577502226975612,0.531644356745464,0.576464646694443,0.576464646694443,0.533095167605329,0.341284063681505,0.377849356813599,0,0,-0.227918974525182,-0.248593526913726,-0.154447798400449,-0.264345482782812,-0.319853332927972,-0.337654362235386,-0.320955185038805,-0.426439711786052,-0.603050383267658,-0.580523058350404,-0.615564190974711,-0.678704971674408
"miR205",0.581348643902389,0.581348643902389,0.548694299638606,0.502301938721503,0.547830151042879,0.547830151042879,0.501983217246285,0.20516511823432,0.352874687653006,0,0,-0.0509336893625298,-0.0565671679766964,-0.00398075735895567,-0.0700797910152863,-0.0924754861550182,-0.434215040342489,-0.186962477268051,-0.278838834442166,-0.572137302506836,-0.456510255468065,-0.488376625885459,-0.657447930941032
"miR101",0.556281007059765,0.556281007059765,0.530323953019338,0.470691329364925,0.530779388398238,0.530779388398238,0.494483635433485,0.332589667108772,0.363967063495766,0,0,-0.171559032185498,-0.180342212463901,-0.151051812452454,-0.195377730724979,-0.300742125534177,-0.301247747497106,-0.414060810474803,-0.387889303937309,-0.554025161444611,-0.451126775719152,-0.481826286908145,-0.619808592212546
"CDH1",0.539161482663828,0.539161482663828,0.720530371402521,0.679560851128417,0.518205342150331,0.518205342150331,0.487110483609821,0.607796974201369,0.369158635343511,0,0,-0.299535712718978,-0.425691273455943,-0.502634974827024,-0.450716505859662,-0.361557966144966,-0.25459486845519,-0.576885648136214,-0.709130760130861,-0.556775235140977,-0.60580665559719,-0.656695621777602,-0.613567060725261
"CLDN7",0.489608375643044,0.489608375643044,0.674702276678602,0.739254424120391,0.472515403226291,0.472515403226291,0.446552745727147,0.576885648136214,0.340050315019179,0,0,-0.28055596162028,-0.391180140832516,-0.484225373479466,-0.425691273455943,-0.332517999599772,-0.226568378388965,-0.53818798757892,-0.677315673341491,-0.518205342150331,-0.544813362140602,-0.60580665559719,-0.567433596763203
"miR34a",0.585975552940841,0.585975552940841,0.562917661713802,0.512039991701697,0.561454298774152,0.561454298774152,0.524382146187337,0.423228608155297,0.394639597162634,0,0,-0.282524845238564,-0.333584471782466,-0.415276478248428,-0.351111024182614,-0.377167383905468,-0.268072960243025,-0.402321647491499,-0.532325882423439,-0.587195393383442,-0.477305888667492,-0.511474320263652,-0.551026846968204
"GRHL2",0.467896938638869,0.467896938638869,0.380587907373181,0.343307447544578,0.443573604745947,0.443573604745947,0.344139617697445,0.133286196089742,0.302042091493508,0.0255409753580788,0.0256364332958402,-0.0758648112161806,-0.0836246675380789,-0.024479728701995,-0.093269733726876,-0.141655849089036,-0.366341693398183,-0.121128090539321,-0.170142070922827,-0.45897667963999,-0.430185164767409,-0.450374524900892,-0.331400045884046
