"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","TWIST1","SNAI1","FOXC2","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.806826912859968,0.806826912859968,0.789739892528774,0.754480916040293,0.796650465954875,0.796650465954875,0.756506620668172,0.719474395850524,0.517834971591268,0.50617865271377,0,0,-0.434295146794069,-0.484872648492603,-0.493003055006669,-0.494768279274506,-0.459175973797382,-0.664464431937573,-0.59841897985232,-0.614136647427372,-0.863267837091582,-0.667845429269935,-0.890433043043891
"miR200c",0.785978166551997,0.785978166551997,0.771804195602664,0.734133311398289,0.778665112215035,0.778665112215035,0.724400050911236,0.711767815655836,0.579267247438925,0.505341092546709,0,0,-0.445723099967992,-0.494519903833085,-0.501421439074729,-0.525842423512306,-0.5228459074321,-0.64653772704348,-0.691133080812286,-0.699326301824739,-0.842906475728596,-0.758174081229518,-0.862815545714096
"miR200b",0.785978166551997,0.785978166551997,0.771804195602664,0.734133311398289,0.778665112215035,0.778665112215035,0.724400050911236,0.711767815655836,0.579267247438925,0.505341092546709,0,0,-0.445723099967992,-0.494519903833085,-0.501421439074729,-0.525842423512306,-0.5228459074321,-0.64653772704348,-0.691133080812286,-0.699326301824739,-0.842906475728596,-0.758174081229518,-0.862815545714096
"miR200a",0.785978166551997,0.785978166551997,0.771804195602664,0.734133311398289,0.778665112215035,0.778665112215035,0.724400050911236,0.711767815655836,0.579267247438925,0.505341092546709,0,0,-0.445723099967992,-0.494519903833085,-0.501421439074729,-0.525842423512306,-0.5228459074321,-0.64653772704348,-0.691133080812286,-0.699326301824739,-0.842906475728596,-0.758174081229518,-0.862815545714096
"miR141",0.785978166551997,0.785978166551997,0.771804195602664,0.734133311398289,0.778665112215035,0.778665112215035,0.724400050911236,0.711767815655836,0.579267247438925,0.505341092546709,0,0,-0.445723099967992,-0.494519903833085,-0.501421439074729,-0.525842423512306,-0.5228459074321,-0.64653772704348,-0.691133080812286,-0.699326301824739,-0.842906475728596,-0.758174081229518,-0.862815545714096
"miR101",0.71185395001589,0.71185395001589,0.698233808453802,0.64526726236893,0.706210275289077,0.706210275289077,0.598451142742628,0.649733773792442,0.531721130755107,0.474149178333749,0,0,-0.364424048756249,-0.408598122957436,-0.398991896067365,-0.482716016979833,-0.581727440434154,-0.56364483537406,-0.546220732568768,-0.618558595039364,-0.76246717567489,-0.605073463809151,-0.778172834370561
"CDH1",0.6168520666776,0.6168520666776,0.808296028775336,0.773397536754123,0.612894350313647,0.612894350313647,0.544083535248503,0.570733320843174,0.721956318444756,0.426147583752084,0,0,-0.3877323378282,-0.441433524744935,-0.442540321797263,-0.45293792940404,-0.660846026495478,-0.786516382718488,-0.638913654357721,-0.851903650214722,-0.681428332405711,-0.710452557932023,-0.693504332902812
"miR34a",0.720363692792026,0.720363692792026,0.708521098081248,0.662068134116614,0.715810934733701,0.715810934733701,0.627271852294782,0.660454966896424,0.595055659170832,0.490549246255496,0,0,-0.437168803014708,-0.482497368642696,-0.480890212247359,-0.50593496548367,-0.544216985565395,-0.779815310129272,-0.556301714448107,-0.73466514574436,-0.77310341200134,-0.616454673549473,-0.686075498286412
"CLDN7",0.542086561317723,0.542086561317723,0.735667474530289,0.805678299469669,0.539210356404934,0.539210356404934,0.477375900127546,0.505501038095861,0.660846026495478,0.37931909378321,0,0,-0.329300033790195,-0.3877323378282,-0.396735827628305,-0.398355609858217,-0.596388902817009,-0.718351365429827,-0.560925039556962,-0.788576106344566,-0.612894350313647,-0.638913654357721,-0.622326250711031
"GRHL2",0.648720019922057,0.648720019922057,0.56998466146926,0.538241570963654,0.639457380739166,0.639457380739166,0.607847633271375,0.512397711952793,0.347087532294265,0.420897991722282,0.0255524056556958,0.0256514244692703,-0.327211036380311,-0.364123267449646,-0.363776116954556,-0.371960467452932,-0.305119838823693,-0.419484917463143,-0.544809686852753,-0.407210555283253,-0.686557237890953,-0.593845827256315,-0.51560080773005
"OVOL2",0.437959562086179,0.437959562086179,0.466649169356473,0.498229238963349,0.424428806021614,0.424428806021614,0.428407075762584,0.308927822689893,0.435374181116643,0.179283807493426,-0.024056134811325,-0.0241186824328096,-0.291322994272855,-0.317954859323116,-0.338685629019519,-0.337462394857883,-0.404279999924577,-0.4627956199587,-0.340907057830598,-0.487766720927749,-0.460041476540764,-0.377973000020562,-0.395743856189397
