"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","TWIST1","FOXC2","SNAI1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.783741524599277,0.783741524599277,0.766249065136712,0.718962990581466,0.775061562461169,0.775061562461169,0.73385801350918,0.700977367460308,0.493345126653901,0.493524369403969,0,0,-0.0548506076594948,-0.0628321570190763,-0.401759227008398,-0.461776640230893,-0.44117790717834,-0.642278625184404,-0.581817530984272,-0.589616341879929,-0.833835366513292,-0.653190377747252,-0.856654490271558
"miR200c",0.744240308157793,0.744240308157793,0.729808431798928,0.677508076817427,0.739182990381217,0.739182990381217,0.684487519290116,0.677289735470569,0.537821473212571,0.481861868313182,0,0,-0.0647971236155825,-0.0721724877991458,-0.388583641982236,-0.45548791153893,-0.489491081656071,-0.607139252330781,-0.647007159673163,-0.669487719920226,-0.793640283352172,-0.728348278051305,-0.807361601459423
"miR200b",0.744240308157793,0.744240308157793,0.729808431798928,0.677508076817427,0.739182990381217,0.739182990381217,0.684487519290116,0.677289735470569,0.537821473212571,0.481861868313182,0,0,-0.0647971236155825,-0.0721724877991458,-0.388583641982236,-0.45548791153893,-0.489491081656071,-0.607139252330781,-0.647007159673163,-0.669487719920226,-0.793640283352172,-0.728348278051305,-0.807361601459423
"miR200a",0.744240308157793,0.744240308157793,0.729808431798928,0.677508076817427,0.739182990381217,0.739182990381217,0.684487519290116,0.677289735470569,0.537821473212571,0.481861868313182,0,0,-0.0647971236155825,-0.0721724877991458,-0.388583641982236,-0.45548791153893,-0.489491081656071,-0.607139252330781,-0.647007159673163,-0.669487719920226,-0.793640283352172,-0.728348278051305,-0.807361601459423
"miR141",0.744240308157793,0.744240308157793,0.729808431798928,0.677508076817427,0.739182990381217,0.739182990381217,0.684487519290116,0.677289735470569,0.537821473212571,0.481861868313182,0,0,-0.0647971236155825,-0.0721724877991458,-0.388583641982236,-0.45548791153893,-0.489491081656071,-0.607139252330781,-0.647007159673163,-0.669487719920226,-0.793640283352172,-0.728348278051305,-0.807361601459423
"miR101",0.631350316255031,0.631350316255031,0.616218583116406,0.536553492529982,0.628555273836721,0.628555273836721,0.523115214390204,0.581332853044588,0.449031812731443,0.42501703002344,0,0,-0.0399396943271916,-0.0457852035313861,-0.282121033148119,-0.314451798806122,-0.510288691270402,-0.48219510953463,-0.520282004936661,-0.494413241784632,-0.672361674416794,-0.542238745477963,-0.680385107915295
"CDH1",0.578007214550942,0.578007214550942,0.768713220549446,0.718014049931102,0.57578865057023,0.57578865057023,0.509226622882702,0.538624984462863,0.683158092937877,0.405919477739075,0,0,-0.124218191313939,-0.132053516679145,-0.333722447397261,-0.403808598869368,-0.631166892394382,-0.748925460369917,-0.800615321775944,-0.620595984448509,-0.634417583204072,-0.684427643511054,-0.641567101835782
"miR34a",0.647556711432706,0.647556711432706,0.635580018155207,0.569765022889289,0.64611925506962,0.64611925506962,0.559046563865145,0.599795470904317,0.525296067572392,0.448084577547948,0,0,-0.0748081019436084,-0.0808366187096088,-0.359233096346523,-0.410383516796546,-0.485078258721747,-0.71101553440527,-0.650094630158422,-0.510984638200311,-0.691648176618417,-0.560841935354098,-0.596363564706236
"CLDN7",0.513053814555188,0.513053814555188,0.70583067880081,0.761342108752959,0.511651577096215,0.511651577096215,0.451769669240318,0.481692218173865,0.631166892394382,0.365058786669851,0,0,-0.115796119677927,-0.124218191313939,-0.297023719874709,-0.366165357402246,-0.574498735636819,-0.689752243076262,-0.747321306418887,-0.550267907595147,-0.57578865057023,-0.620595984448509,-0.581154285376563
"GRHL2",0.627865363398857,0.627865363398857,0.549001200615511,0.507916972554973,0.619942515041089,0.619942515041089,0.587522171656196,0.495777441035645,0.325681854942269,0.409521995300632,0.0255409753580788,0.0256364332958402,-0.0401145371470384,-0.0455599386153313,-0.295964388388052,-0.337288068213403,-0.289161761628303,-0.399958456486936,-0.379868968782348,-0.535742464936145,-0.661042201263022,-0.580305844593235,-0.486259472454491
"OVOL2",0.414749827445058,0.414749827445058,0.443421564510614,0.466770103853422,0.402607653289149,0.402607653289149,0.406317454505757,0.290127996219767,0.412636568380851,0.166471485569163,-0.0240834337367673,-0.0241428552949085,-0.0642581496452746,-0.0683675662340092,-0.266301043503102,-0.312765709057719,-0.385991250722954,-0.441096197712011,-0.459117227289635,-0.329170241770647,-0.432679704038528,-0.361571448781229,-0.364556353805611
"NP63",0.132352917226737,0.132352917226737,-0.0401970746215745,-0.0563825613302321,0.164494260380192,0.164494260380192,0.132713613529883,0.244940113238231,-0.247036419339833,0.186583103128543,0.0215802590359401,0.12148890048048,0.0710664758454992,0.0703372039953926,0.0560951328588514,0.0631376887043895,0.251973641775273,0.190996680655926,0.234347427005393,-0.0962972766781683,-0.170664125922248,-0.104319802053449,-0.0911874378186029
"SNAI1",-0.361452841112633,-0.361452841112633,-0.352934650948028,-0.363500977424231,-0.369273657680507,-0.369273657680507,-0.347415375955885,-0.345926962731077,-0.318481618923659,-0.276476205248065,0,0,0.0212452823587815,0.0243829440063477,0.183088464337795,0.0979457000038268,0.297857295518395,0.330185825287596,0.353891398573901,0.295073457829088,0.392489025725258,0.320021400414688,0.372969292415367
"TGFbeta",-0.494548609468827,-0.494548609468827,-0.583448742329807,-0.513597404018929,-0.494745723419753,-0.494745723419753,-0.499253879245859,-0.462757364517162,-0.465768762275289,-0.361485641439265,0,0,0.0611379831162952,0.0664405493132866,0.317075151643724,0.363932799927042,0.430075497911771,0.558366938316427,0.594258689557429,0.582110820638528,0.535255998044458,0.526739691678436,0.536328172814853
"TCF3",-0.513053814555188,-0.513053814555188,-0.70583067880081,-0.761342108752959,-0.511651577096215,-0.511651577096215,-0.451769669240318,-0.481692218173865,-0.631166892394382,-0.365058786669851,0,0,0.115796119677927,0.124218191313939,0.297023719874709,0.366165357402246,0.574498735636819,0.689752243076262,0.747321306418887,0.550267907595147,0.57578865057023,0.620595984448509,0.581154285376563
"KLF8",-0.513053814555188,-0.513053814555188,-0.70583067880081,-0.761342108752959,-0.511651577096215,-0.511651577096215,-0.451769669240318,-0.481692218173865,-0.631166892394382,-0.365058786669851,0,0,0.115796119677927,0.124218191313939,0.297023719874709,0.366165357402246,0.574498735636819,0.689752243076262,0.747321306418887,0.550267907595147,0.57578865057023,0.620595984448509,0.581154285376563
"FOXC2",-0.765842740955014,-0.765842740955014,-0.746214769065515,-0.696915050266122,-0.756435812844805,-0.756435812844805,-0.715755284943474,-0.675202814237824,-0.473735534371509,-0.472896157404,0,0,0.0545234501743378,0.0621338602689751,0.385010741480216,0.444028052536982,0.423914402283119,0.621879922288101,0.557347435126174,0.565565854379509,0.812590669436242,0.626358724626249,0.638898881679738
"ZEB1",-0.822707134325004,-0.822707134325004,-0.801339924879759,-0.747058271854342,-0.812590669436242,-0.812590669436242,-0.766392476896021,-0.725097997977894,-0.519993662884679,-0.508176496914872,0,0,0.0621338602689751,0.0689899420443812,0.419154396847868,0.476779558646404,0.473735534371509,0.674325055875887,0.604741686483416,0.626358724626249,0.765159147490636,0.684328277524487,0.693111391365772
"SNAI2",-0.637383205300835,-0.637383205300835,-0.826216003301224,-0.770187579131516,-0.634417583204072,-0.634417583204072,-0.561960880710524,-0.590742099652755,-0.73116544613409,-0.442761158519783,0,0,0.132053516679145,0.139185362888793,0.368813405094612,0.437972196940494,0.683158092937877,0.803399190016868,0.749871321613098,0.684427643511054,0.688875299302652,0.744225984564593,0.697704857010641
"GSC",-0.656155654881265,-0.656155654881265,-0.641142271522832,-0.57490871795559,-0.654943578679385,-0.654943578679385,-0.575571448806214,-0.605489825963362,-0.512855978819092,-0.455185537269787,0,0,0.0583706469398601,0.0645391877014241,0.424314574116311,0.407743624466931,0.471775224278598,0.51242768810992,0.547487429798443,0.516171675012154,0.701484755149973,0.567146853942666,0.705499194386271
"TWIST2",-0.669255696634945,-0.669255696634945,-0.656533812729775,-0.692537533806579,-0.666236213332835,-0.666236213332835,-0.578934729320675,-0.619205124573938,-0.549639855476129,-0.463041374644206,0,0,0.0868743933591585,0.0932334831672317,0.341685939693087,0.425887018281997,0.507377117909541,0.629593853457653,0.670922788497824,0.527351658583017,0.714046672291114,0.579594374565694,0.722688158914948
"TWIST1",-0.669778868368121,-0.669778868368121,-0.656377268091019,-0.688235152771669,-0.666622620902076,-0.666622620902076,-0.574459031148714,-0.617456599800739,-0.538740126505373,-0.459876574953117,0,0,0.141998756989769,0.0483717585337981,0.405095824945905,0.346153258340101,0.49636498334947,0.627801551194561,0.669325892269553,0.525332234919135,0.714566947361569,0.5777740374504,0.723481968338568
"ZEB2",-0.896318304711065,-0.896318304711065,-0.884466416470663,-0.838603325029069,-0.692121090807884,-0.692121090807884,-0.64315475968895,-0.638604170012683,-0.606402198122695,-0.467921777039004,0,0,0.0650899831301265,0.073109532710395,0.385483837541785,0.447887012229801,0.552007615406695,0.664965396857807,0.712979357161212,0.72040045812062,0.753973503663024,0.788670476410036,0.865871815633636
