"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.808075190686222,0.808075190686222,0.790994209029206,0.756372168774422,0.798061979135732,0.798061979135732,0.756841858473669,0.720366213959353,0.519504654759092,0.506609910371215,0,0,-0.465020519713997,-0.495309141599388,-0.522344789372232,-0.46041265044738,-0.665716805814631,-0.59886115153446,-0.616534943464061,-0.865255112012449,-0.668622228537197,-0.891400461372036
"miR200c",0.7878172465419,0.7878172465419,0.773501223452663,0.736476606991909,0.780886839145614,0.780886839145614,0.724897807080301,0.713048376894267,0.581088499322106,0.505773008396704,0,0,-0.506362122582385,-0.50396412006852,-0.561575417969482,-0.524171470292928,-0.648008619656949,-0.691922405904545,-0.702151809797865,-0.845776574345773,-0.759347250632467,-0.86400629160762
"miR200b",0.7878172465419,0.7878172465419,0.773501223452663,0.736476606991909,0.780886839145614,0.780886839145614,0.724897807080301,0.713048376894267,0.581088499322106,0.505773008396704,0,0,-0.506362122582385,-0.50396412006852,-0.561575417969482,-0.524171470292928,-0.648008619656949,-0.691922405904545,-0.702151809797865,-0.845776574345773,-0.759347250632467,-0.86400629160762
"miR200a",0.7878172465419,0.7878172465419,0.773501223452663,0.736476606991909,0.780886839145614,0.780886839145614,0.724897807080301,0.713048376894267,0.581088499322106,0.505773008396704,0,0,-0.506362122582385,-0.50396412006852,-0.561575417969482,-0.524171470292928,-0.648008619656949,-0.691922405904545,-0.702151809797865,-0.845776574345773,-0.759347250632467,-0.86400629160762
"miR141",0.7878172465419,0.7878172465419,0.773501223452663,0.736476606991909,0.780886839145614,0.780886839145614,0.724897807080301,0.713048376894267,0.581088499322106,0.505773008396704,0,0,-0.506362122582385,-0.50396412006852,-0.561575417969482,-0.524171470292928,-0.648008619656949,-0.691922405904545,-0.702151809797865,-0.845776574345773,-0.759347250632467,-0.86400629160762
"miR101",0.716054164607537,0.716054164607537,0.701675253563029,0.648857584510459,0.712100393651207,0.712100393651207,0.601304251418396,0.654201300494984,0.533922038199113,0.476648864431557,0,0,-0.391709695436189,-0.401104831811103,-0.441555425401008,-0.583192311282843,-0.566089900566122,-0.548980098149839,-0.622227763249186,-0.769317174717794,-0.608681157308141,-0.780393105954951
"CDH1",0.620743286411866,0.620743286411866,0.812123569664672,0.778573798323647,0.617943416817201,0.617943416817201,0.549596303981404,0.575384326334534,0.72741285726659,0.431527459245236,0,0,-0.543064886457645,-0.454238413038912,-0.603659560530509,-0.665526114917789,-0.790548819101876,-0.641762274162572,-0.857348222587323,-0.687766168323121,-0.71454934909454,-0.696474229422106
"miR34a",0.729257437205814,0.729257437205814,0.717201529331458,0.672232670989946,0.72607628466131,0.72607628466131,0.633522506520118,0.669888473233439,0.60243812245261,0.497368011999826,0,0,-0.516495814661002,-0.486822735910556,-0.567852544038715,-0.550325658463371,-0.78805684795665,-0.562684718955054,-0.745151699302515,-0.784954269130897,-0.624304824577758,-0.694161307639318
"CLDN7",0.545122216878839,0.545122216878839,0.738641866394257,0.809899075758912,0.543225018819704,0.543225018819704,0.482318795098546,0.509170545660751,0.665526114917789,0.384054669622454,0,0,-0.478425635041738,-0.407946311508332,-0.543064886457645,-0.600215037527804,-0.721424662654594,-0.563115459236074,-0.792902621337974,-0.617943416817201,-0.641762274162572,-0.624451001686811
"GRHL2",0.647091125937924,0.647091125937924,0.568461478008332,0.536694891747863,0.638044292634358,0.638044292634358,0.605606798036587,0.511050909974088,0.346065108263374,0.419875353407813,0.0255466645608147,0.0256466045967931,-0.313167028252226,-0.362822182048231,-0.354198681241675,-0.304168870724517,-0.41825735844738,-0.543654853748208,-0.406435044964418,-0.68523391729674,-0.592670319263667,-0.51328788247771
