"","ZEB2","ZEB1","VIM","TWIST2","TWIST1","TGFbeta","TCF3","SNAI2","SNAI1","OVOL2","NP63","miR9","miR34a","miR30c","miR205","miR200c","miR200b","miR200a","miR141","miR101","KLF8","GSC","GRHL2","FOXC2","CLDN7","CDH1"
"ZEB2",0.901583877730493,0.785670745725893,0.872883629948268,0.692199869431504,0.524554519452825,0.801111202149804,0.463031359464192,0.75266068865141,0.483585907192523,-0.481292777687226,0,0,-0.667296470851296,0,0,-0.922263034123543,-0.704325612405268,-0.922263034123543,-0.716667275144367,-0.637707220602473,0.575800069570034,0.728444564356915,-0.659034816196394,0.500462986924217,-0.716667275144367,-0.880341217449848
"ZEB1",0.729909952771987,0.797339519679622,0.779361466210988,0.702612851608959,0.556468432772058,0.696701460216442,0.503798335277942,0.643996221803002,0.512616132891089,-0.521854895250615,0,0,-0.792171677184588,0,0,-0.84972380436559,-0.815907229555216,-0.84972380436559,-0.838007888873063,-0.551239072527536,0.498131721252027,0.634214836317085,-0.74589988553071,0.534954543945228,-0.838007888873063,-0.789567328879521
"VIM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TWIST2",0.800248318696865,0.78591087314005,0.668371480682336,0.695109204842449,0.676834731221448,0.624256198344282,0.625681152127899,0.752324097756623,0.494905627101425,-0.499957886320079,0,0,-0.638632389580218,0,0,-0.732827063437089,-0.714752086994815,-0.732827063437089,-0.727744673340722,-0.617199254282049,0.56507047711125,0.563503888196293,-0.672391020742969,0.533374011979397,-0.727744673340722,-0.779251653900304
"TWIST1",0.799490913662888,0.784667351141959,0.764601829989733,0.692566392488897,0.554538890641708,0.621133456133829,0.603248311507878,0.749333668962644,0.413268762158842,-0.495717528115181,0,0,-0.632584844844249,0,0,-0.731916444345758,-0.712908751467925,-0.731916444345758,-0.726631756372094,-0.605053267656239,0.552860743177923,0.560560368336778,-0.669040038712815,0.613980831648619,-0.726631756372094,-0.775481430494825
"TGFbeta",0.650325923715281,0.641877995090206,0.625163234840604,0.654185151166117,0.528572923727596,0.600485356865968,0.48083499693584,0.711340262508989,0.446806941726656,-0.420921891554892,0,0,-0.587054811623848,0,0,-0.5908880072666,-0.676579898998188,-0.5908880072666,-0.588290495017437,-0.559663703531931,0.511330196372791,0.644420025112906,-0.546901026655295,0.504820666223037,-0.588290495017437,-0.635629420799364
"TCF3",0.619614234623951,0.611184469141756,0.699734997850327,0.719734928127011,0.540834067343068,0.636450133760581,0.477169630904571,0.790256846302264,0.404586638136179,-0.380564696595411,0,0,-0.478560021959679,0,0,-0.540854044477792,-0.731509346963332,-0.540854044477792,-0.538402587495519,-0.663886666213793,0.599400391703989,0.559749653248035,-0.5045176211101,0.413298797591071,-0.538402587495519,-0.806823334509929
"SNAI2",0.756065944392279,0.742806165700212,0.827761594445296,0.851431931394814,0.656715551685995,0.774100696462628,0.600463845095453,0.812627097105246,0.491495441637264,-0.468723510755824,0,0,-0.605477269405763,0,0,-0.683395946089896,-0.867619024972283,-0.683395946089896,-0.678855706952289,-0.781829321888775,0.724820496853384,0.706852307146309,-0.628761329582916,0.521707259329437,-0.678855706952289,-0.836912148433222
"SNAI1",0.570864516034825,0.572513707743104,0.553306933481167,0.491940540442425,0.365629527494073,0.459383287582118,0.33098619541388,0.541540623112886,0.218647142411684,-0.382155467159089,0,0,-0.4963820692622,0,0,-0.531194274456833,-0.519841715798763,-0.531194274456833,-0.532207412479564,-0.46925285338976,0.433724994700425,0.417114271559917,-0.494199941238378,0.419494127455581,-0.532207412479564,-0.56328759095375
"OVOL2",-0.395279621754788,-0.460159522030289,-0.488954828508741,-0.465251224613623,-0.363351968566053,-0.374866742218414,-0.333146594908038,-0.490963177482774,-0.340697590133283,0.179280657791944,-0.0241021221850877,0,0.428607661676126,0,-0.0241654388258521,0.43816658261132,0.455755394024819,0.43816658261132,0.424869964840039,0.438204743167084,-0.407012516700602,-0.338217143970343,0.309098993953934,-0.352154402447789,0.424869964840039,0.500880657602699
"NP63",-0.0727902390710745,-0.155553305266704,0.0468487304076486,0.203853859404913,0.178806328983195,-0.0949955992814734,0.182778235013711,0.248904919930236,0.0756174945698099,0.177780708904938,0.0216680233292707,0,0.119445918003517,0,0.121568869056888,0.11778332923007,-0.0613216927723405,0.11778332923007,0.151100324648739,-0.259666604265958,0.263057404647442,-0.0890998152155841,0.233096420579142,0.0883554872865796,0.151100324648739,-0.0724453547581628
"miR9",-0.529641949306973,-0.321212606364787,-0.344334101409623,-0.0799666131887786,-0.0627837333005784,-0.373634281791928,-0.040090954842806,-0.0880155053647868,-0.130574548803203,0.225976692621611,0,0,0.269569851697565,0,0,0.49841855746212,0.130787706717064,0.49841855746212,0.294321914779841,0.0445733790559753,-0.0204122720631411,-0.346907121552703,0.275807827935847,-0.14685179078054,0.294321914779841,0.222144166763995
"miR34a",-0.686588176377595,-0.774003650424348,-0.655977786962103,-0.784371259946393,-0.564384526803605,-0.614150945580122,-0.514255273084912,-0.740326909799254,-0.482452164578941,0.491665547976709,0,0,0.627336302599147,0,0,0.721603395717936,0.704142765226975,0.721603395717936,0.717248785633862,0.599375323557455,-0.548385437830274,-0.554869375492019,0.661905055317664,-0.539905769775304,0.717248785633862,0.66676000088114
"miR30c",-0.75135756775516,-0.635183433091785,-0.617563919181727,-0.648139538237562,-0.511458029342129,-0.598026861549405,-0.463787535391293,-0.71024558318967,-0.36671929323962,0.423219201788373,0,0,0.537935775432363,0,0,0.68783972297082,0.672421732941879,0.68783972297082,0.581807649911545,0.55036745353139,-0.502024515393789,-0.542372606264948,0.542896319410713,-0.471076373252334,0.581807649911545,0.62839495566658
"miR205",-0.881221994554573,-0.853493371665768,-0.739230988661278,-0.658710955488961,-0.515966989223071,-0.654003493302653,-0.459918842399093,-0.607854529571128,-0.487130123422285,0.497597406615674,0,0,0.748166640939559,0,0,0.79901573005205,0.770188726948268,0.79901573005205,0.788710469528536,0.513038513699867,-0.455299776127746,-0.586708938146826,0.709045363155961,-0.497557701197102,0.788710469528536,0.747610181821988
"miR200c",-0.853311393274942,-0.83387943317509,-0.719406115331579,-0.641525832425866,-0.555484881868753,-0.746306564652569,-0.501512911436937,-0.694204419240974,-0.496336135369452,0.498174963055309,0,0,0.715687403918502,0,0,0.77841380488323,0.755611739096402,0.77841380488323,0.771312886743979,0.575268817069259,-0.519705621922646,-0.681195763189834,0.703017811943591,-0.529839434420141,0.771312886743979,0.728033125511057
"miR200b",-0.853311393274942,-0.83387943317509,-0.719406115331579,-0.641525832425866,-0.555484881868753,-0.746306564652569,-0.501512911436937,-0.694204419240974,-0.496336135369452,0.498174963055309,0,0,0.715687403918502,0,0,0.77841380488323,0.755611739096402,0.77841380488323,0.771312886743979,0.575268817069259,-0.519705621922646,-0.681195763189834,0.703017811943591,-0.529839434420141,0.771312886743979,0.728033125511057
"miR200a",-0.853311393274942,-0.83387943317509,-0.719406115331579,-0.641525832425866,-0.555484881868753,-0.746306564652569,-0.501512911436937,-0.694204419240974,-0.496336135369452,0.498174963055309,0,0,0.715687403918502,0,0,0.77841380488323,0.755611739096402,0.77841380488323,0.771312886743979,0.575268817069259,-0.519705621922646,-0.681195763189834,0.703017811943591,-0.529839434420141,0.771312886743979,0.728033125511057
"miR141",-0.853311393274942,-0.83387943317509,-0.719406115331579,-0.641525832425866,-0.555484881868753,-0.746306564652569,-0.501512911436937,-0.694204419240974,-0.496336135369452,0.498174963055309,0,0,0.715687403918502,0,0,0.77841380488323,0.755611739096402,0.77841380488323,0.771312886743979,0.575268817069259,-0.519705621922646,-0.681195763189834,0.703017811943591,-0.529839434420141,0.771312886743979,0.728033125511057
"miR101",-0.765107023302917,-0.750837197777116,-0.62722423021367,-0.557463661658817,-0.432742360563562,-0.592182986812856,-0.384665390466494,-0.61208314925082,-0.390600197190252,0.465863135786077,0,0,0.588450932637316,0,0,0.701499037885941,0.681383230323017,0.701499037885941,0.696439893973553,0.526175842433348,-0.57717507379384,-0.535540382864501,0.63945705854165,-0.484444917397956,0.696439893973553,0.637548704925808
"KLF8",0.619614234623951,0.611184469141756,0.699734997850327,0.719734928127011,0.540834067343068,0.636450133760581,0.477169630904571,0.790256846302264,0.404586638136179,-0.380564696595411,0,0,-0.478560021959679,0,0,-0.540854044477792,-0.731509346963332,-0.540854044477792,-0.538402587495519,-0.663886666213793,0.599400391703989,0.559749653248035,-0.5045176211101,0.413298797591071,-0.538402587495519,-0.806823334509929
"GSC",0.786270805835406,0.774468728974812,0.654024608800603,0.580500328096019,0.632616226459335,0.613397901041379,0.582589632600744,0.63351609762163,0.483099638723904,-0.491891774826899,0,0,-0.63741830533938,0,0,-0.721736020749331,-0.701858670944024,-0.721736020749331,-0.717652118624913,-0.585914278853897,0.535033489873015,0.553943596286741,-0.659217226447227,0.615806809977634,-0.717652118624913,-0.664483941564102
"GRHL2",-0.507373594893042,-0.679573048812806,-0.520333788579574,-0.416090470571798,-0.351654563345985,-0.585311731000475,-0.311279262526538,-0.403449415760509,-0.359440124646377,0.416806224226142,0.0255623852010396,0,0.602032271666238,0,0.0256634565574172,0.642553519082113,0.551117110852519,0.642553519082113,0.633777736871429,0.343994503741871,-0.302753345474851,-0.537761569479735,0.507068216824544,-0.371050649333905,0.633777736871429,0.533355028940957
"FOXC2",0.668392445342476,0.838007888873063,0.721987996556985,0.643505076482233,0.503798335277942,0.634214836317085,0.449430443894627,0.589034073134292,0.474069798675983,-0.482713529831032,0,0,-0.735240838364397,0,0,-0.786044625108112,-0.755056627780823,-0.786044625108112,-0.775273502891711,-0.498131721252027,0.442185566438131,0.569043871873145,-0.690395640654409,0.485735816762775,-0.775273502891711,-0.731206737048211
"CLDN7",-0.619614234623951,-0.611184469141756,-0.699734997850327,-0.719734928127011,-0.540834067343068,-0.636450133760581,-0.477169630904571,-0.790256846302264,-0.404586638136179,0.380564696595411,0,0,0.478560021959679,0,0,0.540854044477792,0.731509346963332,0.540854044477792,0.538402587495519,0.663886666213793,-0.599400391703989,-0.559749653248035,0.5045176211101,-0.413298797591071,0.538402587495519,0.806823334509929
"CDH1",-0.689801896730446,-0.678855706952289,-0.765914393474474,-0.787612557190109,-0.600463845095453,-0.706852307146309,-0.540834067343068,-0.853330074505998,-0.449574512024619,0.426494720672046,0,0,0.544298280903858,0,0,0.614681427690857,0.801983975732577,0.614681427690857,0.611184469141756,0.724820496853384,-0.663886666213793,-0.636450133760581,0.568859207044797,-0.468970564651566,0.611184469141756,0.77403428209578
