"","miR200c","miR200a","miR200b","CDH1","miR141","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.807474519678111,0.807474519678111,0.790060851351808,0.751154925085565,0.797413200025415,0.757228843218034,0.720640743956595,0.517113430049592,0.507392466062351,0,0,-0.464252786627497,-0.495166226149673,-0.504732102837486,-0.521556157414014,-0.458303781721212,-0.664045278453933,-0.598660131907289,-0.61307868931592,-0.864302128622595,-0.66828508786924,-0.891097020588061
"miR200c",0.787020083374438,0.787020083374438,0.772572566504714,0.731505373661506,0.779821302821606,0.725516579691084,0.713351183893495,0.579292601239799,0.506907655747005,0,0,-0.50607736596434,-0.504350730583351,-0.537671688180384,-0.561305440335118,-0.52267450940587,-0.646622599224128,-0.691662470725772,-0.699168350515376,-0.844407475747747,-0.758989464008065,-0.863950387974061
"miR200b",0.787020083374438,0.787020083374438,0.772572566504714,0.731505373661506,0.779821302821606,0.725516579691084,0.713351183893495,0.579292601239799,0.506907655747005,0,0,-0.50607736596434,-0.504350730583351,-0.537671688180384,-0.561305440335118,-0.52267450940587,-0.646622599224128,-0.691662470725772,-0.699168350515376,-0.844407475747747,-0.758989464008065,-0.863950387974061
"miR200a",0.787020083374438,0.787020083374438,0.772572566504714,0.731505373661506,0.779821302821606,0.725516579691084,0.713351183893495,0.579292601239799,0.506907655747005,0,0,-0.50607736596434,-0.504350730583351,-0.537671688180384,-0.561305440335118,-0.52267450940587,-0.646622599224128,-0.691662470725772,-0.699168350515376,-0.844407475747747,-0.758989464008065,-0.863950387974061
"miR141",0.787020083374438,0.787020083374438,0.772572566504714,0.731505373661506,0.779821302821606,0.725516579691084,0.713351183893495,0.579292601239799,0.506907655747005,0,0,-0.50607736596434,-0.504350730583351,-0.537671688180384,-0.561305440335118,-0.52267450940587,-0.646622599224128,-0.691662470725772,-0.699168350515376,-0.844407475747747,-0.758989464008065,-0.863950387974061
"miR101",0.71283792530637,0.71283792530637,0.69888052310991,0.639521918420351,0.707311171466898,0.599433559977657,0.651244805918061,0.531298686481761,0.475649055071405,0,0,-0.391338103114503,-0.401018869027759,-0.493825764075713,-0.440796937017292,-0.581114793356119,-0.56363804065613,-0.546789876582444,-0.618182558916334,-0.763840963998018,-0.605835598873115,-0.779179784885791
"CDH1",0.619491351701038,0.619491351701038,0.811115453562249,0.774427652061069,0.615843907570204,0.549674010415069,0.574555310874861,0.726522727091123,0.4318340680614,0,0,-0.543287591652223,-0.454769779633207,-0.473446972273525,-0.603775213958805,-0.664968628730467,-0.789782829384833,-0.641247787659506,-0.855522016168004,-0.685137978799198,-0.713551880266542,-0.696379435347783
"miR34a",0.726872761476623,0.726872761476623,0.715088271235769,0.665592905818505,0.72238440961501,0.632943401143312,0.667887786237742,0.600460074663207,0.497041857081497,0,0,-0.516450134344426,-0.487142648233492,-0.544277197673079,-0.567519255765789,-0.548832367513793,-0.786191911111388,-0.561123895047197,-0.741850197423626,-0.780644392061088,-0.622190577894112,-0.693462433384961
"GRHL2",0.646512625173788,0.646512625173788,0.567073001496144,0.52024907234715,0.637523674856919,0.605814556706733,0.511226042624192,0.342887197077957,0.420476997092813,0.0255395069557928,0.0256354310536703,-0.312220028165306,-0.362410558610961,-0.37368472975047,-0.353137153784344,-0.301261166242532,-0.415649700776828,-0.543452302683076,-0.401912384703114,-0.684367832873523,-0.592180846511181,-0.512635557393351
"OVOL2",0.442436742921958,0.442436742921958,0.470896854974754,0.500196011764774,0.428947319875723,0.432703692737428,0.313465830265171,0.439073427651663,0.182940825956281,-0.0240828404403505,-0.0241424616828572,-0.334597197631855,-0.343874529759355,-0.355082673043856,-0.365449139885977,-0.407355152337412,-0.466529348668161,-0.343872148483833,-0.492111366416948,-0.46525931358663,-0.381622061888752,-0.400790115996766
