"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","FOXC2","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.807777052910018,0.807777052910018,0.790964832847089,0.756582380977543,0.797599522139067,0.797599522139067,0.757302844775319,0.72074373079527,0.519773011693005,0.507405450432653,0,0,-0.46518087516592,-0.486277834743949,-0.495820769196907,-0.52268087516592,-0.460583093829816,-0.666029393183983,-0.598912283039156,-0.616764282929855,-0.864657560789542,-0.668722006847235,-0.891667749825473
"miR200c",0.787256674978755,0.787256674978755,0.773341562664165,0.73661969326979,0.77996382363826,0.77996382363826,0.725399682656866,0.713316798215804,0.581532266763924,0.506762150033247,0,0,-0.50682048533183,-0.496295941943964,-0.504778122444285,-0.562223521847265,-0.524560162419874,-0.648388068490739,-0.691824781404631,-0.70233471463835,-0.844715226406146,-0.759357554147797,-0.864389204590935
"miR200b",0.787256674978755,0.787256674978755,0.773341562664165,0.73661969326979,0.77996382363826,0.77996382363826,0.725399682656866,0.713316798215804,0.581532266763924,0.506762150033247,0,0,-0.50682048533183,-0.496295941943964,-0.504778122444285,-0.562223521847265,-0.524560162419874,-0.648388068490739,-0.691824781404631,-0.70233471463835,-0.844715226406146,-0.759357554147797,-0.864389204590935
"miR200a",0.787256674978755,0.787256674978755,0.773341562664165,0.73661969326979,0.77996382363826,0.77996382363826,0.725399682656866,0.713316798215804,0.581532266763924,0.506762150033247,0,0,-0.50682048533183,-0.496295941943964,-0.504778122444285,-0.562223521847265,-0.524560162419874,-0.648388068490739,-0.691824781404631,-0.70233471463835,-0.844715226406146,-0.759357554147797,-0.864389204590935
"miR141",0.787256674978755,0.787256674978755,0.773341562664165,0.73661969326979,0.77996382363826,0.77996382363826,0.725399682656866,0.713316798215804,0.581532266763924,0.506762150033247,0,0,-0.50682048533183,-0.496295941943964,-0.504778122444285,-0.562223521847265,-0.524560162419874,-0.648388068490739,-0.691824781404631,-0.70233471463835,-0.844715226406146,-0.759357554147797,-0.864389204590935
"miR101",0.713313895418529,0.713313895418529,0.699903493562173,0.647821614347481,0.707731363738236,0.707731363738236,0.599420925995581,0.651399403241214,0.533802779126056,0.475634563918456,0,0,-0.39200456052647,-0.409688770017698,-0.401538765432202,-0.441632463924256,-0.583251724556253,-0.56552388514007,-0.54713964152515,-0.62150696594516,-0.764375126765346,-0.606257384699628,-0.779731988691071
"CDH1",0.619268749542607,0.619268749542607,0.811192696614804,0.778068221416105,0.615505863224249,0.615505863224249,0.548984386822261,0.573988336891101,0.727517165542637,0.431224652722526,0,0,-0.543329030631977,-0.447272485796639,-0.454646531882771,-0.603875069175874,-0.665697501430457,-0.790385552242166,-0.64111092395008,-0.85707516185402,-0.684788732076038,-0.713409117220427,-0.696238746328476
"miR34a",0.726787380776924,0.726787380776924,0.715513871241717,0.671161340780191,0.722120220848715,0.722120220848715,0.632202856109017,0.667378072865984,0.602308025421724,0.496459434747844,0,0,-0.516782362872698,-0.486486899981671,-0.487238599207549,-0.567942026470798,-0.550375307775636,-0.787467669993562,-0.561083953525955,-0.744381535058373,-0.780406704724432,-0.622144690979952,-0.69353446441601
"CLDN7",0.543915727328038,0.543915727328038,0.737916460221494,0.809563424000288,0.541213550947729,0.541213550947729,0.481828235996593,0.508059864622971,0.665697501430457,0.383930111061787,0,0,-0.478568748324846,-0.393100490911728,-0.40830537174765,-0.543329030631977,-0.6003797556271,-0.721435554014022,-0.562644306195128,-0.792813637068853,-0.615505863224249,-0.64111092395008,-0.624397915645342
"GRHL2",0.647226067629308,0.647226067629308,0.568747948132803,0.537119006665254,0.638140242356049,0.638140242356049,0.606314313881564,0.511694731332841,0.346408714120482,0.42075474522405,0.0255384175105142,0.0256348157227656,-0.313421569150522,-0.362845353969309,-0.363355991625756,-0.354578780716843,-0.304402906581272,-0.418681054364794,-0.543976943778677,-0.406790702862161,-0.685191913146073,-0.592923427497062,-0.51367257298452
