"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","FOXC2","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.442149716412618,0.442149716412618,0.471117544606049,0.504082809557128,0.428365825185457,0.428365825185457,0.43212594695983,0.312831880885384,0.440308133048738,0.182406176492735,-0.0240889458041548,-0.0241491346878152,-0.33502065393684,-0.321690553475594,-0.34399979242989,-0.365913280302621,-0.408460184732199,-0.467449115374222,-0.343674464367526,-0.49384748275551,-0.464732312919227,-0.381523519002164,-0.400891201703961
"NP63",0.124229377418088,0.124229377418088,-0.0486136296972197,-0.0668194355466755,0.157495502198634,0.157495502198634,0.125389734566565,0.23874567305296,-0.25572754441567,0.182262329872701,0.0215715281671024,0.121479187048145,0.179679178155839,0.0585938714805652,0.0717257175834816,0.174670620368253,0.259951656251439,0.199308644142396,-0.0908657912704774,0.244121780198011,-0.162879211190317,-0.0979586018182288,-0.0806822324716066
"SNAI1",-0.538159670095066,-0.538159670095066,-0.529121587254534,-0.569143679838074,-0.538654733724555,-0.538654733724555,-0.502494375489586,-0.5009416599252,-0.47331825284132,-0.387721037106645,0,0,0.334447966944722,0.322447385451542,0.223942710737516,0.370173331221951,0.436804925063208,0.496394671614382,0.423041870556971,0.546908077806854,0.580454670909488,0.467005065087093,0.579745616990431
"TCF3",-0.543915727328038,-0.543915727328038,-0.737916460221494,-0.809563424000288,-0.541213550947729,-0.541213550947729,-0.481828235996593,-0.508059864622971,-0.665697501430457,-0.383930111061787,0,0,0.478568748324846,0.393100490911728,0.40830537174765,0.543329030631977,0.6003797556271,0.721435554014022,0.562644306195128,0.792813637068853,0.615505863224249,0.64111092395008,0.624397915645342
"KLF8",-0.543915727328038,-0.543915727328038,-0.737916460221494,-0.809563424000288,-0.541213550947729,-0.541213550947729,-0.481828235996593,-0.508059864622971,-0.665697501430457,-0.383930111061787,0,0,0.478568748324846,0.393100490911728,0.40830537174765,0.543329030631977,0.6003797556271,0.721435554014022,0.562644306195128,0.792813637068853,0.615505863224249,0.64111092395008,0.624397915645342
"TGFbeta",-0.596577549795695,-0.596577549795695,-0.686888162619498,-0.640433868899678,-0.5935207762081,-0.5935207762081,-0.592186124842917,-0.552671182853215,-0.562908336740266,-0.425917762755453,0,0,0.483596290331715,0.447176201564185,0.451805042203619,0.532418621735827,0.513585061211213,0.657619303687254,0.649828585133886,0.715782110202815,0.648648006433551,0.607695681616685,0.658012070058454
"FOXC2",-0.790836201453566,-0.790836201453566,-0.771793339263319,-0.735339838175252,-0.779783020747325,-0.779783020747325,-0.739960073182396,-0.695619885488923,-0.500791785253131,-0.48727072449545,0,0,0.45171596355245,0.470638822950728,0.478683392226561,0.507032590711272,0.443940273272204,0.646313225930023,0.575662828302694,0.592782937090967,0.844113303250729,0.642651485775867,0.67500842398756
"ZEB1",-0.856148869143531,-0.856148869143531,-0.835357955032341,-0.795170434867176,-0.844113303250729,-0.844113303250729,-0.798476526985359,-0.752749075753732,-0.555094567486661,-0.527651896358194,0,0,0.507032590711272,0.519927060133645,0.518389585044344,0.561103823720161,0.500791785253131,0.706681171050073,0.642651485775867,0.64911308451221,0.805290428669914,0.707325917790629,0.738449537983311
"SNAI2",-0.689629196053178,-0.689629196053178,-0.879668148811186,-0.842432410021949,-0.684788732076038,-0.684788732076038,-0.611774702591979,-0.635553133332367,-0.785720955517768,-0.474731656559612,0,0,0.603875069175874,0.49953510898578,0.497759595479074,0.661527055991475,0.727517165542637,0.855464459239751,0.713409117220427,0.817756938942117,0.750611160002285,0.782857484445124,0.764435425834131
"GSC",-0.729803983833369,-0.729803983833369,-0.716533853832926,-0.671512682270276,-0.725049018855289,-0.725049018855289,-0.644747213184665,-0.667385841085268,-0.591028292926747,-0.498872031756479,0,0,0.587282710487743,0.592159635122839,0.490606053736939,0.638664879931781,0.538896086167303,0.585796843721035,0.562402869659643,0.64017562828946,0.783770462304947,0.62403200682543,0.797216545037742
"TWIST1",-0.735292040409544,-0.735292040409544,-0.723591273557108,-0.777101489426319,-0.729141519481443,-0.729141519481443,-0.617767951330063,-0.674332951125819,-0.606336771529997,-0.494350091440572,0,0,0.604368022902947,0.419348176667111,0.416381942210623,0.556335322481006,0.55340700137996,0.693100050680454,0.56510344977629,0.752317706881523,0.78849716064347,0.62709482671792,0.805122894454043
"TWIST2",-0.740339702443734,-0.740339702443734,-0.728839083016643,-0.78575456451788,-0.734713430698558,-0.734713430698558,-0.645649768872614,-0.680123440070034,-0.621884363243056,-0.506676246856012,0,0,0.630049663984734,0.501427594381411,0.502025187796076,0.682490069315589,0.568560034729515,0.699982729173119,0.571675353127393,0.75846044016506,0.794739524369511,0.634555691833062,0.810227735673603
"ZEB2",-0.926833254380409,-0.926833254380409,-0.915764970731183,-0.884222658008984,-0.721058666784474,-0.721058666784474,-0.672956327094701,-0.664152588089518,-0.639379905036839,-0.485739062242458,0,0,0.464473075083542,0.482609798092115,0.487368707070499,0.527337381964261,0.576410958707634,0.694734927787942,0.733954865136163,0.755684145771221,0.791792877553364,0.808711073974096,0.908056044931594
