"","miR200b","miR200c","miR200a","CDH1","miR101","miR34a","miR141","CLDN7","GRHL2","OVOL2","NP63","miR205","ZEB1","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","TGFbeta","SNAI2","ZEB2"
"miR205",0.642802543147114,0.632129958731303,0.632129958731303,0.620390969975914,0.448081178550884,0.56164262243195,0.558174581177672,0.558174581177672,0.511999401405385,0.357043792258338,0,0,-0.592199003234541,-0.411893703503784,-0.423811334759005,-0.444141975966818,-0.452291545437806,-0.406605491711908,-0.560670003903093,-0.481688704557889,-0.526203860882282,-0.516991354010445,-0.783598874620694
"miR200c",0.652778604817389,0.642827282527345,0.642827282527345,0.628131015403512,0.526090024532362,0.566045208872542,0.578777358525213,0.578777358525213,0.535533446228083,0.376959382756243,0,0,-0.613545828375071,-0.466495008758702,-0.448229363143579,-0.490889902797894,-0.507737595682109,-0.483751852276319,-0.565540632388791,-0.596878487820857,-0.642298222390441,-0.623463277873402,-0.779092394332156
"miR200b",0.652778604817389,0.642827282527345,0.642827282527345,0.628131015403512,0.526090024532362,0.566045208872542,0.578777358525213,0.578777358525213,0.535533446228083,0.376959382756243,0,0,-0.613545828375071,-0.466495008758702,-0.448229363143579,-0.490889902797894,-0.507737595682109,-0.483751852276319,-0.565540632388791,-0.596878487820857,-0.642298222390441,-0.623463277873402,-0.779092394332156
"miR141",0.652778604817389,0.642827282527345,0.642827282527345,0.628131015403512,0.526090024532362,0.566045208872542,0.578777358525213,0.578777358525213,0.535533446228083,0.376959382756243,0,0,-0.613545828375071,-0.466495008758702,-0.448229363143579,-0.490889902797894,-0.507737595682109,-0.483751852276319,-0.565540632388791,-0.596878487820857,-0.642298222390441,-0.623463277873402,-0.779092394332156
"miR101",0.596166709405841,0.587417234697755,0.587417234697755,0.555212904536384,0.48700808649586,0.461805644411183,0.532450672724602,0.532450672724602,0.495866661635336,0.363859229327143,0,0,-0.562940109460373,-0.35839804149581,-0.353608224966481,-0.454383492995606,-0.395641475255072,-0.549176786817523,-0.494972158918895,-0.464952901252816,-0.504740272656953,-0.55450829027551,-0.706804648618924
"CDH1",0.753891708996064,0.545672595734246,0.545672595734246,0.728776500188545,0.710065016775433,0.464749658607874,0.503279785975772,0.503279785975772,0.473474443177464,0.35882473749949,0,0,-0.546478194472346,-0.534668104266143,-0.432871839362756,-0.459815806547762,-0.587103695235599,-0.656624493984194,-0.758242425687725,-0.603106466546103,-0.659306724336066,-0.82619083393128,-0.662732119806007
"miR34a",0.639638735026767,0.631845057835148,0.631845057835148,0.605066519140469,0.572384584474103,0.528047122991468,0.585413354283566,0.585413354283566,0.545673482308943,0.409769273070439,0,0,-0.619299172051751,-0.497194247550378,-0.45483365463459,-0.519321520234461,-0.538622290349147,-0.530337296520815,-0.739634869945774,-0.503576589885437,-0.54774809879456,-0.698750833113016,-0.64356508171186
"CLDN7",0.697177167602422,0.490026458545532,0.490026458545532,0.774973640582143,0.656624493984194,0.41847151291251,0.455432073581375,0.455432073581375,0.431001307443932,0.328341734633626,0,0,-0.503279785975772,-0.475858810945717,-0.394846620649978,-0.409926326889479,-0.534668104266143,-0.597095362707186,-0.701146692953306,-0.540971248130298,-0.603106466546103,-0.773296981991744,-0.602806934439393
"GRHL2",0.491938015327593,0.550583753023371,0.550583753023371,0.469568449666769,0.313587885491718,0.501990096538584,0.5068549222962,0.5068549222962,0.399337216183989,0.340812401477935,0.0255409753580788,0.0256364332958402,-0.533171883998681,-0.290142545234609,-0.328878437488529,-0.346370480682197,-0.322150175733482,-0.280979936198175,-0.368717430429496,-0.483465294284453,-0.517631605254147,-0.359209808088198,-0.460555931333755
"OVOL2",0.424588493312075,0.383435183051857,0.383435183051857,0.463479556144034,0.421695239054513,0.36797943951066,0.345002940732097,0.345002940732097,0.239932798909134,0.129615327560747,-0.0240834337367673,-0.0241428552949085,-0.366446564383439,-0.322366611596114,-0.323850626319513,-0.339587646577447,-0.347643570088309,-0.395690391659713,-0.438083526682349,-0.308104481173644,-0.335999377558123,-0.465736553764965,-0.370024126719615
