"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","miR101","OVOL2","miR205","GRHL2","NP63","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.811540871246384,0.811540871246384,0.803594249236071,0.767990851150707,0.799601729061825,0.799601729061825,0.756262248176376,0.538959849116317,0.467768499832965,-0.377978672707616,-0.377978672707616,-0.422191607791321,-0.469663278523028,-0.497262419668517,-0.507097969702457,-0.528365471220455,-0.47716612178795,-0.687746019828227,-0.604909758633689,-0.652345608963468,-0.867806996074531,-0.676707248863653,-0.898007214446889
"miR200c",0.787959466542078,0.787959466542078,0.781199200649626,0.743290726339307,0.778922091632166,0.778922091632166,0.721310572121531,0.5951043595563,0.467906889543012,-0.382099975339052,-0.382099975339052,-0.425298126211084,-0.509244521138412,-0.504661876035664,-0.538390259119047,-0.565366335930209,-0.536076291725709,-0.663829596924684,-0.695382909010571,-0.729389266928609,-0.844186936821428,-0.764216013326356,-0.867594100962357
"miR200b",0.787959466542078,0.787959466542078,0.781199200649626,0.743290726339307,0.778922091632166,0.778922091632166,0.721310572121531,0.5951043595563,0.467906889543012,-0.382099975339052,-0.382099975339052,-0.425298126211084,-0.509244521138412,-0.504661876035664,-0.538390259119047,-0.565366335930209,-0.536076291725709,-0.663829596924684,-0.695382909010571,-0.729389266928609,-0.844186936821428,-0.764216013326356,-0.867594100962357
"miR200a",0.787959466542078,0.787959466542078,0.781199200649626,0.743290726339307,0.778922091632166,0.778922091632166,0.721310572121531,0.5951043595563,0.467906889543012,-0.382099975339052,-0.382099975339052,-0.425298126211084,-0.509244521138412,-0.504661876035664,-0.538390259119047,-0.565366335930209,-0.536076291725709,-0.663829596924684,-0.695382909010571,-0.729389266928609,-0.844186936821428,-0.764216013326356,-0.867594100962357
"miR141",0.787959466542078,0.787959466542078,0.781199200649626,0.743290726339307,0.778922091632166,0.778922091632166,0.721310572121531,0.5951043595563,0.467906889543012,-0.382099975339052,-0.382099975339052,-0.425298126211084,-0.509244521138412,-0.504661876035664,-0.538390259119047,-0.565366335930209,-0.536076291725709,-0.663829596924684,-0.695382909010571,-0.729389266928609,-0.844186936821428,-0.764216013326356,-0.867594100962357
"miR101",0.710144695443874,0.710144695443874,0.702936250028182,0.649994066380455,0.702040867080334,0.702040867080334,0.592766539776176,0.542968571560805,0.448447272774631,-0.375465905220892,-0.375465905220892,-0.413174155151604,-0.392832066565296,-0.40003268890738,-0.493055711140751,-0.442857884756056,-0.590940015855779,-0.575773300065667,-0.547981355821284,-0.641201152482756,-0.758722291668173,-0.607886650224544,-0.779730332197551
"CDH1",0.617997320505756,0.617997320505756,0.813716421440499,0.780046955383642,0.612930894069518,0.612930894069518,0.545337893997018,0.733685726620078,0.414503315949346,-0.324384738604922,-0.324384738604922,-0.369986557561864,-0.543915616156419,-0.454044302798046,-0.472927003044883,-0.604816852815745,-0.670233700659721,-0.797471555943627,-0.642405212763045,-0.871402869737612,-0.682099589070454,-0.71538766081065,-0.696662883196985
"miR34a",0.724639458134621,0.724639458134621,0.719034979587142,0.673939611783034,0.717942854622501,0.717942854622501,0.626783026555841,0.611244909079485,0.476697056163406,-0.401395947760302,-0.401395947760302,-0.441191843733089,-0.517797393350426,-0.486247498666141,-0.543679931707313,-0.569478514682007,-0.557670343728084,-0.797524819244613,-0.562822451569078,-0.763343441507761,-0.776305663828281,-0.624755416399995,-0.694083925488044
"CLDN7",0.542818054442111,0.542818054442111,0.739649841806035,0.810879034053664,0.53908409624616,0.53908409624616,0.478976060264146,0.670233700659721,0.367835355914425,-0.268829183049367,-0.268829183049367,-0.324384738604922,-0.478698224852071,-0.407588478176283,-0.416247349909279,-0.543915616156419,-0.602971325205031,-0.726573961865898,-0.563303122972024,-0.80388606584407,-0.612930894069518,-0.642405212763045,-0.62443210570173
"GRHL2",0.638039348591585,0.638039348591585,0.565489965121315,0.532961771123087,0.624970547498829,0.624970547498829,0.593532670572068,0.350905900054591,0.394809166141972,-0.198832644126245,-0.198832644126245,-0.229558670392041,-0.311361196833409,-0.358501298470923,-0.370173464632148,-0.352091041807461,-0.30841055095445,-0.422901154699697,-0.538608277110547,-0.418599343192692,-0.671212732428082,-0.587239734448958,-0.508838671867894
