"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","SNAI1","TCF3","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.747524929089061,0.747524929089061,0.731287455425657,0.683622501503436,0.73973406398151,0.73973406398151,0.669981106860428,0.661381577452966,0.392993279116627,0.472505533592331,0,0,-0.130784666018435,-0.286563916406158,-0.18658960793506,-0.324564822464392,-0.350643945616408,-0.600541892646004,-0.544858911191078,-0.566885523127648,-0.793384950305904,-0.625469874817856,-0.813961417484079
"miR200c",0.735918984313802,0.735918984313802,0.722041134231478,0.672689775208118,0.730327828660151,0.730327828660151,0.669448240769563,0.639110684664028,0.478189955191324,0.476198596937824,0,0,-0.276977469314277,-0.390228785886582,-0.384672017636599,-0.428004788962732,-0.436604637659535,-0.590867552907333,-0.638846372964462,-0.665274997994883,-0.782766556365875,-0.72274022842848,-0.797892200587067
"miR200b",0.735918984313802,0.735918984313802,0.722041134231478,0.672689775208118,0.730327828660151,0.730327828660151,0.669448240769563,0.639110684664028,0.478189955191324,0.476198596937824,0,0,-0.276977469314277,-0.390228785886582,-0.384672017636599,-0.428004788962732,-0.436604637659535,-0.590867552907333,-0.638846372964462,-0.665274997994883,-0.782766556365875,-0.72274022842848,-0.797892200587067
"miR200a",0.735918984313802,0.735918984313802,0.722041134231478,0.672689775208118,0.730327828660151,0.730327828660151,0.669448240769563,0.639110684664028,0.478189955191324,0.476198596937824,0,0,-0.276977469314277,-0.390228785886582,-0.384672017636599,-0.428004788962732,-0.436604637659535,-0.590867552907333,-0.638846372964462,-0.665274997994883,-0.782766556365875,-0.72274022842848,-0.797892200587067
"miR141",0.735918984313802,0.735918984313802,0.722041134231478,0.672689775208118,0.730327828660151,0.730327828660151,0.669448240769563,0.639110684664028,0.478189955191324,0.476198596937824,0,0,-0.276977469314277,-0.390228785886582,-0.384672017636599,-0.428004788962732,-0.436604637659535,-0.590867552907333,-0.638846372964462,-0.665274997994883,-0.782766556365875,-0.72274022842848,-0.797892200587067
"miR101",0.6584193764456,0.6584193764456,0.645170976587306,0.581530309485932,0.654572873543438,0.654572873543438,0.604450100472209,0.512905066080818,0.43300931573303,0.442936014923923,0,0,-0.190288129201025,-0.277789297252919,-0.328267755239514,-0.3103427928827,-0.497247559080453,-0.505299441180674,-0.555508034079742,-0.51701980542175,-0.699443181048134,-0.566198552623454,-0.710140816782455
"CDH1",0.594783821972072,0.594783821972072,0.786326896249322,0.743336947116215,0.591895833569919,0.591895833569919,0.553174602111436,0.497107417072212,0.66668042129077,0.416738222837646,0,0,-0.30588092376973,-0.480266038019619,-0.375488378571767,-0.523692332840336,-0.618888373152567,-0.760619060164044,-0.821791585800635,-0.632784089963941,-0.651710372082056,-0.698285245926868,-0.660640384707981
"CLDN7",0.527567296485373,0.527567296485373,0.721270023440294,0.784658164865104,0.525688760461628,0.525688760461628,0.494404352460428,0.442659734953007,0.618888373152567,0.374558768516716,0,0,-0.280230946359782,-0.427555486228719,-0.337774058719924,-0.480266038019619,-0.564634163645787,-0.70063871204501,-0.766930438316322,-0.558758351337876,-0.591895833569919,-0.632784089963941,-0.598800300986844
"GRHL2",0.600981418778438,0.600981418778438,0.523224256285276,0.481194071838482,0.593977216987195,0.593977216987195,0.473191346993789,0.529671453250977,0.262306123730089,0.39370206376857,0.0255409753580788,0.0256364332958402,-0.136449530437318,-0.218829446825557,-0.21505410970688,-0.245804994545079,-0.23264900854016,-0.368900203622915,-0.352911679440514,-0.519240520768751,-0.631014601776929,-0.559686315321876,-0.453587319576568
"OVOL2",0.414926173629525,0.414926173629525,0.443989194704696,0.470135374522036,0.40231182446017,0.40231182446017,0.289867899399191,0.385091299465466,0.388858783931373,0.166275718212076,-0.0240834337367673,-0.0241428552949085,-0.22695075144779,-0.280351411676581,-0.275792831103151,-0.301713184210931,-0.365355499327883,-0.437028821540387,-0.460329925703812,-0.32972791418542,-0.432035509904234,-0.362229705411169,-0.365150162305368
"miR34a",0.370670871630766,0.370670871630766,0.370720077203541,0.315078744982355,0.379214385844467,0.379214385844467,0.353674411379961,0.257782538776083,0.239828927008385,0.279455238191835,0,0,-0.0898944916190027,-0.233195741206652,-0.0902853891235186,-0.250810473556884,-0.220510395969663,-0.453778970619449,-0.389658125793609,-0.30330799314328,-0.403520766028322,-0.329933991007263,-0.282551126010362
