"","miR200c","miR200a","CDH1","miR141","CLDN7","miR101","miR34a","GRHL2","OVOL2","miR200b","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","GSC","TGFbeta","TWIST2","ZEB1","SNAI2","ZEB2"
"miR200c",0.63448121428469,0.63448121428469,0.624010795757715,0.639134042882119,0.639134042882119,0.507288973888989,0.60285954369325,0.588880687113249,0.416494895232355,0.115136346359027,0,0,-0.440608950690477,-0.419457044440833,-0.451827759721179,-0.478748767600426,-0.467056273337856,-0.479565216102636,-0.513404185287256,-0.564955176410034,-0.677885183960725,-0.606271336842681,-0.66629668456656
"miR200b",0.63448121428469,0.63448121428469,0.624010795757715,0.639134042882119,0.639134042882119,0.507288973888989,0.60285954369325,0.588880687113249,0.416494895232355,0.115136346359027,0,0,-0.440608950690477,-0.419457044440833,-0.451827759721179,-0.478748767600426,-0.467056273337856,-0.479565216102636,-0.513404185287256,-0.564955176410034,-0.677885183960725,-0.606271336842681,-0.66629668456656
"miR200a",0.63448121428469,0.63448121428469,0.624010795757715,0.639134042882119,0.639134042882119,0.507288973888989,0.60285954369325,0.588880687113249,0.416494895232355,0.115136346359027,0,0,-0.440608950690477,-0.419457044440833,-0.451827759721179,-0.478748767600426,-0.467056273337856,-0.479565216102636,-0.513404185287256,-0.564955176410034,-0.677885183960725,-0.606271336842681,-0.66629668456656
"miR141",0.63448121428469,0.63448121428469,0.624010795757715,0.639134042882119,0.639134042882119,0.507288973888989,0.60285954369325,0.588880687113249,0.416494895232355,0.115136346359027,0,0,-0.440608950690477,-0.419457044440833,-0.451827759721179,-0.478748767600426,-0.467056273337856,-0.479565216102636,-0.513404185287256,-0.564955176410034,-0.677885183960725,-0.606271336842681,-0.66629668456656
"miR205",0.622904663317872,0.622904663317872,0.616007151740108,0.627540070250863,0.627540070250863,0.425125154973856,0.605191921997408,0.572043244224525,0.400454951990732,0.0753194034626489,0,0,-0.38023417107526,-0.387108741871694,-0.396672865315522,-0.417782048016078,-0.38559702430235,-0.366197726933642,-0.399322627743037,-0.560397045249832,-0.665445810552225,-0.497077160218696,-0.653818840272582
"miR101",0.578845730321468,0.578845730321468,0.550632393680429,0.584402732208741,0.584402732208741,0.469647724423872,0.492985714147287,0.542137839423373,0.397322446268715,0.0912710707064974,0,0,-0.334396434809043,-0.326401300651694,-0.418390531419213,-0.368774401484076,-0.533827483575319,-0.352999232688097,-0.38263643933861,-0.493688352790905,-0.61831196394138,-0.538698448693561,-0.604462016709511
"CDH1",0.541669376835759,0.541669376835759,0.726929986231249,0.5451209046301,0.5451209046301,0.698866932087331,0.490396708610231,0.511178461079962,0.386156709411852,0.34077026739567,0,0,-0.520004130560218,-0.413581486800298,-0.435955603232087,-0.569093107983856,-0.647587452290495,-0.512031845575353,-0.554634705816366,-0.758160528552946,-0.593847862323703,-0.815309976900788,-0.585143169875652
"CLDN7",0.487653709043899,0.487653709043899,0.773923040931408,0.490682840043185,0.490682840043185,0.647587452290495,0.440113264901621,0.462855245808722,0.351475099868293,0.329784718561969,0,0,-0.466228719137178,-0.379182998280152,-0.391120188930157,-0.520004130560218,-0.59115771007622,-0.464560393699333,-0.512031845575353,-0.701275351686018,-0.5451209046301,-0.764410656759579,-0.537119300445
"miR34a",0.602966260654821,0.602966260654821,0.584564853783066,0.609031806284743,0.609031806284743,0.546248232680667,0.536524589845388,0.566777912071247,0.424661966558995,0.107535927145697,0,0,-0.46672112756889,-0.420403141111564,-0.476697544944685,-0.503237862076382,-0.508189305206789,-0.36036443058955,-0.391954556638702,-0.724572078202245,-0.645157625195179,-0.670915453203997,-0.529997619226228
"GRHL2",0.49437874338545,0.49437874338545,0.429676543888326,0.503197791914629,0.503197791914629,0.274870818987603,0.487383538455767,0.396101098302778,0.338528001771595,-0.10976571376697,0.0255409753580788,0.0256364332958402,-0.247452161303712,-0.280496743051928,-0.289363018866601,-0.273216656361229,-0.247932133306015,-0.338171025879173,-0.360235140027413,-0.338405038208346,-0.52859285313083,-0.31658288637401,-0.30360114003338
