"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","OVOL2","miR101","NP63","miR205","SNAI1","FOXC2","TCF3","TWIST1","KLF8","TWIST2","SNAI2","ZEB1","GSC","TGFbeta","ZEB2"
"miR205",0.731840032984769,0.731840032984769,0.71433089776112,0.655930769121104,0.723902169290161,0.723902169290161,0.655852494388689,0.609415361996952,0.46108843163286,0.362873316135054,0,0,-0.137567567268793,-0.276986835060734,-0.301181087273044,-0.336290843872854,-0.325605652326305,-0.575313230234186,-0.518529780045965,-0.770815251115232,-0.562565983094368,-0.616425687903128,-0.792089512975969
"miR101",0.661783513115763,0.661783513115763,0.647943029839991,0.579211347063671,0.657782254141421,0.657782254141421,0.60739045644822,0.499787486446931,0.444424562316012,0.423071031642404,0,0,-0.144546628144474,-0.32637241979183,-0.273739030161055,-0.303850440743424,-0.490573756474262,-0.504468574907918,-0.553537551192996,-0.699376796180246,-0.524065384321305,-0.571819620543626,-0.710629196520128
"miR200c",0.618860322397838,0.618860322397838,0.60322359946189,0.523827779751505,0.613912142448999,0.613912142448999,0.566301598594364,0.426768866035322,0.401592734739888,0.281804920653516,0,0,-0.0359093317904111,-0.200768139620879,-0.250788403350243,-0.278140992196243,-0.252609286490482,-0.446585414516329,-0.496351438611346,-0.650811667269273,-0.58614396246781,-0.62845602500758,-0.66443165625801
"miR200b",0.618860322397838,0.618860322397838,0.60322359946189,0.523827779751505,0.613912142448999,0.613912142448999,0.566301598594364,0.426768866035322,0.401592734739888,0.281804920653516,0,0,-0.0359093317904111,-0.200768139620879,-0.250788403350243,-0.278140992196243,-0.252609286490482,-0.446585414516329,-0.496351438611346,-0.650811667269273,-0.58614396246781,-0.62845602500758,-0.66443165625801
"miR200a",0.618860322397838,0.618860322397838,0.60322359946189,0.523827779751505,0.613912142448999,0.613912142448999,0.566301598594364,0.426768866035322,0.401592734739888,0.281804920653516,0,0,-0.0359093317904111,-0.200768139620879,-0.250788403350243,-0.278140992196243,-0.252609286490482,-0.446585414516329,-0.496351438611346,-0.650811667269273,-0.58614396246781,-0.62845602500758,-0.66443165625801
"miR141",0.618860322397838,0.618860322397838,0.60322359946189,0.523827779751505,0.613912142448999,0.613912142448999,0.566301598594364,0.426768866035322,0.401592734739888,0.281804920653516,0,0,-0.0359093317904111,-0.200768139620879,-0.250788403350243,-0.278140992196243,-0.252609286490482,-0.446585414516329,-0.496351438611346,-0.650811667269273,-0.58614396246781,-0.62845602500758,-0.66443165625801
"CDH1",0.581228169641852,0.581228169641852,0.772470241602723,0.723764002768521,0.578635687247789,0.578635687247789,0.541296640304506,0.465185839707959,0.407993300067475,0.635571614578037,0,0,-0.22869681108379,-0.331741950835038,-0.446871332891026,-0.4869722625059,-0.592373400350093,-0.742957682097741,-0.802162495254833,-0.633587476886973,-0.626867134442866,-0.689966342659409,-0.642004815804319
"miR34a",0.687006709510202,0.687006709510202,0.675302566225823,0.616509721020583,0.683827401565619,0.683827401565619,0.63368583173272,0.551510158447831,0.472753403461276,0.510751459166524,0,0,-0.266630473830459,-0.400714793255958,-0.419313238519518,-0.45034077113429,-0.476545481907766,-0.739758631161444,-0.689625910221965,-0.728685250850404,-0.545218919508294,-0.596772962554472,-0.637878411934115
"CLDN7",0.518894560317605,0.518894560317605,0.712179147485249,0.769674993018571,0.516934337725059,0.516934337725059,0.486526001081054,0.415320939045707,0.368684369290896,0.592373400350093,0,0,-0.22018241505964,-0.301244310593685,-0.411682562319874,-0.446871332891026,-0.549592890739006,-0.688964139144344,-0.752329579194871,-0.578635687247789,-0.556104038557421,-0.626867134442866,-0.584845099921796
"GRHL2",0.585074820793772,0.585074820793772,0.507298621683169,0.460563084288322,0.578668591853285,0.578668591853285,0.459682962116738,0.49979391337347,0.384070576424521,0.230334630715231,0.0255409753580788,0.0256364332958402,-0.0589705287348773,-0.165177827907295,-0.182390748766639,-0.205756261224006,-0.204906574902916,-0.35037880669008,-0.332625080720179,-0.611317450832207,-0.511939471783971,-0.549157939940315,-0.432457371329261
"OVOL2",0.356824524801464,0.356824524801464,0.387639832922861,0.403952905621806,0.346284281435033,0.346284281435033,0.241099607423421,0.277694016849877,0.130733677965764,0.320719849858008,-0.0240834337367673,-0.0241428552949085,-0.0368102474403112,-0.156977520412857,-0.198641553835343,-0.215388550454292,-0.302794359360876,-0.37688901175455,-0.401019359787938,-0.368995824364535,-0.289914951225769,-0.315952484294552,-0.296292935120268
"NP63",0.10996698139062,0.10996698139062,-0.0626692239877655,-0.0843837063102367,0.142730199362568,0.142730199362568,0.225709941923154,0.10030283302307,0.172958566745331,-0.281360655674026,0.0215802590359401,0.12148890048048,0.120892068895598,0.12215092343307,0.203897488025095,0.206538574079173,0.280214759517438,0.214654059437594,0.260802197919203,-0.144749273865772,-0.084082109278934,-0.0873325414717348,-0.0632646385302951
"TGFbeta",-0.117549831773028,-0.117549831773028,-0.212762237003196,-0.122785349941068,-0.109590651484146,-0.109590651484146,-0.100982889795606,-0.0283925060508342,-0.0730320343153235,-0.117854021042512,0,0,0.0168574035895866,0.103575739545957,0.133768414590807,0.140520848053472,0.110315121651192,0.172925654642729,0.21106841720944,0.119695447681359,0.285235145315971,0.196797548933647,0.138439331663041
"SNAI1",-0.50628212063517,-0.50628212063517,-0.496906109776761,-0.525978711677905,-0.50809694345003,-0.50809694345003,-0.474079555008134,-0.440244501170001,-0.368932721827007,-0.401510380065881,0,0,0.0556777476723596,0.312770362145029,0.257898570294423,0.278459169929615,0.378271710200436,0.458375876833372,0.503533709194992,0.539602593352937,0.409879791805824,0.446152539481048,0.535558677849919
"TCF3",-0.518894560317605,-0.518894560317605,-0.712179147485249,-0.769674993018571,-0.516934337725059,-0.516934337725059,-0.486526001081054,-0.415320939045707,-0.368684369290896,-0.592373400350093,0,0,0.22018241505964,0.301244310593685,0.411682562319874,0.446871332891026,0.549592890739006,0.688964139144344,0.752329579194871,0.578635687247789,0.556104038557421,0.626867134442866,0.584845099921796
"KLF8",-0.518894560317605,-0.518894560317605,-0.712179147485249,-0.769674993018571,-0.516934337725059,-0.516934337725059,-0.486526001081054,-0.415320939045707,-0.368684369290896,-0.592373400350093,0,0,0.22018241505964,0.301244310593685,0.411682562319874,0.446871332891026,0.549592890739006,0.688964139144344,0.752329579194871,0.578635687247789,0.556104038557421,0.626867134442866,0.584845099921796
"FOXC2",-0.723725912499509,-0.723725912499509,-0.704464849886156,-0.646970135404645,-0.715179265841182,-0.715179265841182,-0.638939870768073,-0.609946820420439,-0.446879155524299,-0.36416381133618,0,0,0.155598518463635,0.283422515769132,0.304392727189996,0.338676188208473,0.327614849454729,0.567686741038899,0.507005322212323,0.761311889535584,0.54407362135118,0.596981210283128,0.585696720299536
"ZEB1",-0.77066161011413,-0.77066161011413,-0.749833340954516,-0.687043568425571,-0.761311889535584,-0.761311889535584,-0.679930016151059,-0.644986262724604,-0.475862839665947,-0.394131848369135,0,0,0.166374518916885,0.304181669052423,0.338676188208473,0.364430513447195,0.36416381133618,0.609692943328975,0.544704595035015,0.703303431404062,0.596981210283128,0.645436101051806,0.628946785293769
"SNAI2",-0.637104598652874,-0.637104598652874,-0.826485308792063,-0.771512249922392,-0.633587476886973,-0.633587476886973,-0.5901450266192,-0.507093820971948,-0.442524310632844,-0.671447581419285,0,0,0.241134307466039,0.356569774088128,0.4869722625059,0.517961562469629,0.635571614578037,0.792799662114406,0.74700674036438,0.683424052148907,0.689966342659409,0.747372353647236,0.693369950747873
"GSC",-0.683032737826196,-0.683032737826196,-0.669249084429986,-0.608108289434862,-0.680104501390158,-0.680104501390158,-0.62804179773112,-0.552647528887822,-0.47131445549642,-0.485159796723661,0,0,0.240426443446769,0.45789610234781,0.474136443131175,0.504020802957395,0.451995676371334,0.529970770433009,0.576774509737619,0.724058890530429,0.542877907273088,0.593451523961452,0.732518955614401
"TWIST1",-0.691953115984616,-0.691953115984616,-0.679284175701211,-0.717648488101209,-0.687850991440408,-0.687850991440408,-0.636606497669682,-0.545418339084265,-0.474070426087773,-0.503850985720352,0,0,0.171937178463341,0.458301290945142,0.495067067985781,0.426789926972604,0.469193812987194,0.640608318861928,0.691225988938399,0.732850232525003,0.548491268415699,0.600205465495876,0.744301427846921
"TWIST2",-0.695501772731126,-0.695501772731126,-0.683398016554699,-0.724527087644274,-0.69155286167804,-0.69155286167804,-0.642177307261331,-0.556021701110715,-0.47995445164568,-0.520120888729825,0,0,0.262163162365575,0.382994580705127,0.521946249079885,0.553428231896237,0.485439425658557,0.646017168896629,0.69699310045315,0.737050180376767,0.553049591775411,0.605351796969529,0.748110727325633
"ZEB2",-0.802112945625628,-0.802112945625628,-0.788903370266008,-0.722834727302717,-0.597532776123207,-0.597532776123207,-0.554358173736484,-0.443575314484149,-0.407320680073462,-0.388874163003659,0,0,0.00151801263776199,0.182600296842291,0.231543251471268,0.258196603639745,0.357509003458282,0.543830666576054,0.596349964762672,0.642232399778197,0.664063030632734,0.715726012731275,0.754475101043672
