"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","SNAI1","FOXC2","TCF3","KLF8","TWIST1","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.809820298082314,0.809820298082314,0.792698370273005,0.759515136535855,0.799331366812653,0.799331366812653,0.759573527594564,0.721463094372878,0.520973819643383,0.507297432484158,0,0,-0.497344069334236,-0.508293602235189,-0.534663307690237,-0.460915408112514,-0.607345108382811,-0.667014458397103,-0.599072686783117,-0.618366242860166,-0.867292557972413,-0.669212190583969,-0.895448067310662
"miR200c",0.792139743626695,0.792139743626695,0.777815978130881,0.743250551980307,0.784272504700554,0.784272504700554,0.730622106421974,0.715836359410669,0.585523375880883,0.507584478363444,0,0,-0.509959264396553,-0.539828854776271,-0.62562872074356,-0.527181456724327,-0.696281280567461,-0.651862979373814,-0.693271246266352,-0.706810243732356,-0.850345255280641,-0.761511658274647,-0.871867395750341
"miR200b",0.792139743626695,0.792139743626695,0.777815978130881,0.743250551980307,0.784272504700554,0.784272504700554,0.730622106421974,0.715836359410669,0.585523375880883,0.507584478363444,0,0,-0.509959264396553,-0.539828854776271,-0.62562872074356,-0.527181456724327,-0.696281280567461,-0.651862979373814,-0.693271246266352,-0.706810243732356,-0.850345255280641,-0.761511658274647,-0.871867395750341
"miR200a",0.792139743626695,0.792139743626695,0.777815978130881,0.743250551980307,0.784272504700554,0.784272504700554,0.730622106421974,0.715836359410669,0.585523375880883,0.507584478363444,0,0,-0.509959264396553,-0.539828854776271,-0.62562872074356,-0.527181456724327,-0.696281280567461,-0.651862979373814,-0.693271246266352,-0.706810243732356,-0.850345255280641,-0.761511658274647,-0.871867395750341
"miR141",0.792139743626695,0.792139743626695,0.777815978130881,0.743250551980307,0.784272504700554,0.784272504700554,0.730622106421974,0.715836359410669,0.585523375880883,0.507584478363444,0,0,-0.509959264396553,-0.539828854776271,-0.62562872074356,-0.527181456724327,-0.696281280567461,-0.651862979373814,-0.693271246266352,-0.706810243732356,-0.850345255280641,-0.761511658274647,-0.871867395750341
"miR101",0.724105543768358,0.724105543768358,0.709798335629655,0.659063393060018,0.717387194221196,0.717387194221196,0.61161931672769,0.657809675160274,0.543556343264188,0.478455546648919,0,0,-0.418603675061958,-0.442771108147866,-0.475215622513132,-0.591449711681943,-0.53845847529006,-0.572484601381716,-0.552013703065285,-0.630643144971369,-0.776226942073625,-0.613114772213812,-0.794708557760848
"miR34a",0.737136958289822,0.737136958289822,0.725265019893424,0.683723024999412,0.731668819969345,0.731668819969345,0.643186477679959,0.673930596813608,0.611241286899267,0.499549594017103,0,0,-0.497793274475143,-0.55382292870998,-0.686834881730188,-0.557655947952468,-0.751988148362309,-0.795394627863035,-0.565678229290658,-0.75436720494831,-0.79220441608598,-0.628719800643059,-0.707669301775274
"CDH1",0.624871514767875,0.624871514767875,0.816504397173851,0.78573955594113,0.620589235177301,0.620589235177301,0.555080348631091,0.577351378760639,0.732268024013009,0.432574568760646,0,0,-0.45983724813694,-0.478592770038057,-0.658953363961216,-0.669136110346018,-0.735437499068688,-0.794654194342154,-0.642643659405153,-0.863009762566118,-0.691740190728085,-0.716376552069794,-0.704830413713357
"CLDN7",0.547869154237808,0.547869154237808,0.741642239332345,0.815392714730875,0.544806102647181,0.544806102647181,0.486400285358492,0.510350952684797,0.669136110346018,0.38464710762075,0,0,-0.411941720139947,-0.419589788158708,-0.576927033108325,-0.602180442098022,-0.658953363961216,-0.724149956890043,-0.563406043306082,-0.797203713519155,-0.620589235177301,-0.642643659405153,-0.63080749129213
"GRHL2",0.648295021620443,0.648295021620443,0.569577526823632,0.538664186108612,0.638964175335308,0.638964175335308,0.607566491700461,0.511824188056219,0.346849663842671,0.420350820006698,0.0255446054252993,0.0256445963352166,-0.364227128542731,-0.375800799732043,-0.350903734801603,-0.304408219392926,-0.402188907961776,-0.419019959325785,-0.543729703914731,-0.407484943962017,-0.686705424348889,-0.593025890397535,-0.516035481010941
