"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","SNAI1","FOXC2","TCF3","KLF8","TWIST1","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.442069091135882,0.442069091135882,0.47078211000469,0.504201425461488,0.428275123010022,0.428275123010022,0.432464600769657,0.312135476085434,0.439638165307447,0.181414339951544,-0.0240535731654206,-0.0241171797758821,-0.343670997704773,-0.351181768401374,-0.382198181796744,-0.407306689965297,-0.421353111374209,-0.466579345800222,-0.342748961478381,-0.493056596020031,-0.464971636734998,-0.380520433136127,-0.401450627252911
"NP63",0.128615622144783,0.128615622144783,-0.0438685661894158,-0.0602019876052921,0.160994965211517,0.160994965211517,0.129423390059987,0.24176329342442,-0.250311998987741,0.18435871105294,0.0215666045046262,0.121470775868775,0.0659766675666673,0.0642061739847612,0.177428850620258,0.255242237086524,0.17047607897831,0.194298516541181,-0.0933703889064927,0.237912253071192,-0.167176491067132,-0.101221180491832,-0.0871085988179143
"SNAI1",-0.534568373959162,-0.534568373959162,-0.525449794951005,-0.567078034631461,-0.536794651434367,-0.536794651434367,-0.50725125132139,-0.49680654344493,-0.475472297503864,-0.382138952707212,0,0,0.239380370090874,0.368383083564519,0.418398822229711,0.437984000840987,0.463871918090954,0.490942962148507,0.417514986569259,0.542930676194245,0.579303435867688,0.461475851814234,0.572897678010801
"TCF3",-0.547869154237808,-0.547869154237808,-0.741642239332345,-0.815392714730875,-0.544806102647181,-0.544806102647181,-0.486400285358492,-0.510350952684797,-0.669136110346018,-0.38464710762075,0,0,0.411941720139947,0.419589788158708,0.576927033108325,0.602180442098022,0.658953363961216,0.724149956890043,0.563406043306082,0.797203713519155,0.620589235177301,0.642643659405153,0.63080749129213
"KLF8",-0.547869154237808,-0.547869154237808,-0.741642239332345,-0.815392714730875,-0.544806102647181,-0.544806102647181,-0.486400285358492,-0.510350952684797,-0.669136110346018,-0.38464710762075,0,0,0.411941720139947,0.419589788158708,0.576927033108325,0.602180442098022,0.658953363961216,0.724149956890043,0.563406043306082,0.797203713519155,0.620589235177301,0.642643659405153,0.63080749129213
"TGFbeta",-0.60751157985224,-0.60751157985224,-0.697352352375045,-0.654225121500303,-0.603843988816011,-0.603843988816011,-0.604175227396506,-0.560189189978602,-0.572558543157035,-0.429197665461608,0,0,0.463238575159483,0.517776550165264,0.662916047375395,0.521474394363188,0.725124380708729,0.666006963695112,0.654467625665905,0.726842268985968,0.661526902673017,0.61476107939051,0.672741844984974
"FOXC2",-0.792730722332948,-0.792730722332948,-0.773332312270934,-0.737948534718614,-0.781376820621507,-0.781376820621507,-0.742079648007804,-0.696194583252767,-0.501735292578333,-0.487060259446359,0,0,0.47997218723457,0.492379137386785,0.519998076931725,0.44410597584497,0.589754945878157,0.647083268136035,0.575741450179773,0.594062472615538,0.846572322758407,0.643059467053063,0.678586911189087
"ZEB1",-0.859013975273081,-0.859013975273081,-0.837805687784375,-0.798981330304187,-0.846572322758407,-0.846572322758407,-0.801557047157058,-0.753890515883521,-0.556819473914336,-0.52768054675365,0,0,0.520689261002749,0.545123459332867,0.589754945878157,0.501735292578333,0.657104906019371,0.708276188413519,0.643059467053063,0.651345591099,0.808925289790057,0.708461683382006,0.743470657764019
"SNAI2",-0.697220649439916,-0.697220649439916,-0.88684510750502,-0.852197242829041,-0.691740190728085,-0.691740190728085,-0.619816263211509,-0.640345675338586,-0.79209392684797,-0.476926061198071,0,0,0.504376704485142,0.5355022681279,0.735437499068688,0.732268024013009,0.808436918589378,0.861284190059211,0.716376552069794,0.825375586911424,0.75946543075344,0.78719228321572,0.775269349092691
"GSC",-0.741413937280259,-0.741413937280259,-0.727339355480025,-0.685152104531305,-0.735939480945753,-0.735939480945753,-0.65721514415232,-0.675217270194371,-0.600028636563608,-0.503064209492179,0,0,0.50017164508841,0.618891901937065,0.588427401364101,0.546128329345687,0.654027385313702,0.594480956381908,0.567910987682308,0.650338406967129,0.796932770479534,0.631475407130758,0.812385408149903
"TWIST1",-0.750913623569227,-0.750913623569227,-0.738094874014067,-0.795138972116421,-0.744373286789067,-0.744373286789067,-0.652151638210126,-0.684681106301046,-0.620248944137987,-0.506589045969512,0,0,0.435804188672213,0.557020945947597,0.696209415603389,0.565200989141906,0.663108953945507,0.706185156180008,0.574248589890623,0.766219018484205,0.806556822042068,0.638935085322761,0.824616415748536
"TWIST2",-0.751805082390843,-0.751805082390843,-0.739651295573811,-0.799445328163872,-0.74551275529718,-0.74551275529718,-0.657857097598766,-0.688083231385745,-0.631565706458099,-0.510904229103521,0,0,0.512642013648989,0.535097277417309,0.697650639204036,0.576435885434656,0.764662494653258,0.708921600057392,0.577141619912861,0.769382720124032,0.807840223497324,0.641970595739637,0.825312141768951
"ZEB2",-0.930082332563756,-0.930082332563756,-0.918739113094813,-0.889016131956046,-0.723868461865495,-0.723868461865495,-0.67640649997465,-0.665658828247894,-0.641860236164092,-0.485962417285125,0,0,0.49068726956002,0.510200523743965,0.557017318200607,0.578031602758452,0.635077549507145,0.697004819897817,0.734441559031192,0.758933350608541,0.79603389609286,0.810146321805629,0.913749033578125
