"","miR200c","miR200a","miR200b","miR141","CLDN7","miR34a","CDH1","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","KLF8","SNAI1","FOXC2","TWIST1","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.80591479564864,0.80591479564864,0.787219900635922,0.795859138441513,0.795859138441513,0.755720156954196,0.735710033680658,0.718714604281532,0.51022000616253,0.505665330464408,0,0,-0.461675688393039,-0.452770550486014,-0.492266483664537,-0.502596317189073,-0.518204578243721,-0.658672738605929,-0.604111223628354,-0.597432006699898,-0.862273202330088,-0.66664315657155,-0.889050599510352
"miR200c",0.785521210712491,0.785521210712491,0.769921161665246,0.778361854105819,0.778361854105819,0.724022602087363,0.717108106946043,0.711656422535292,0.570052566306371,0.505402989495443,0,0,-0.503551994663646,-0.514682997727432,-0.501513779429526,-0.535574969593601,-0.558081724393375,-0.641682547966228,-0.691095318278553,-0.690553186048449,-0.842508987524232,-0.757499049891537,-0.861945484664493
"miR200b",0.785521210712491,0.785521210712491,0.769921161665246,0.778361854105819,0.778361854105819,0.724022602087363,0.717108106946043,0.711656422535292,0.570052566306371,0.505402989495443,0,0,-0.503551994663646,-0.514682997727432,-0.501513779429526,-0.535574969593601,-0.558081724393375,-0.641682547966228,-0.691095318278553,-0.690553186048449,-0.842508987524232,-0.757499049891537,-0.861945484664493
"miR200a",0.785521210712491,0.785521210712491,0.769921161665246,0.778361854105819,0.778361854105819,0.724022602087363,0.717108106946043,0.711656422535292,0.570052566306371,0.505402989495443,0,0,-0.503551994663646,-0.514682997727432,-0.501513779429526,-0.535574969593601,-0.558081724393375,-0.641682547966228,-0.691095318278553,-0.690553186048449,-0.842508987524232,-0.757499049891537,-0.861945484664493
"miR141",0.785521210712491,0.785521210712491,0.769921161665246,0.778361854105819,0.778361854105819,0.724022602087363,0.717108106946043,0.711656422535292,0.570052566306371,0.505402989495443,0,0,-0.503551994663646,-0.514682997727432,-0.501513779429526,-0.535574969593601,-0.558081724393375,-0.641682547966228,-0.691095318278553,-0.690553186048449,-0.842508987524232,-0.757499049891537,-0.861945484664493
"miR101",0.711046023068806,0.711046023068806,0.695572184585958,0.705605133528295,0.705605133528295,0.597783674811256,0.625112871470128,0.649420942892429,0.524139432001518,0.47411342237842,0,0,-0.388149104713705,-0.575033394024133,-0.398699501805818,-0.491862121766806,-0.436991018567552,-0.556182524064753,-0.608110050243086,-0.545406740687253,-0.761668569693571,-0.604018455101015,-0.776789441799471
"CDH1",0.618897289338136,0.618897289338136,0.809653644905988,0.615282329221824,0.615282329221824,0.549056257486135,0.765199900354458,0.57387624868036,0.721899578878657,0.431179256129331,0,0,-0.54187121354712,-0.661418196447059,-0.453458607982966,-0.472508348450803,-0.601842754702987,-0.786308772603592,-0.849892198052731,-0.64088875841077,-0.684270545659934,-0.712930562728333,-0.695422222682606
"miR34a",0.726385887236137,0.726385887236137,0.7138530364285,0.721924954068059,0.721924954068059,0.632447646841629,0.656174674131742,0.667352455134095,0.596719226259546,0.496547676394097,0,0,-0.515397062126531,-0.545917853057303,-0.486104613092541,-0.54357573604773,-0.566070842268261,-0.783405570294401,-0.736994666071093,-0.560800091811231,-0.779939884077572,-0.621655254071215,-0.692680852698645
"CLDN7",0.543828695564506,0.543828695564506,0.736920244164499,0.541276235738878,0.541276235738878,0.482119099531804,0.799252814233805,0.508261543185565,0.661418196447059,0.384162921505594,0,0,-0.477507396449704,-0.597234410967993,-0.407381250605365,-0.415995628055464,-0.54187121354712,-0.718388805330729,-0.787102079627806,-0.562682570950933,-0.615282329221824,-0.64088875841077,-0.623907706480063
"GRHL2",0.646659632518934,0.646659632518934,0.567103693760392,0.637662408217797,0.637662408217797,0.605911331793484,0.522199284447653,0.511336528466172,0.342038606759657,0.42052005864338,0.0255411799708762,0.0256370773084174,-0.312239082591879,-0.301029589418616,-0.362279827883269,-0.373683558477755,-0.352934917342215,-0.415037806015992,-0.400547860412675,-0.543611438952402,-0.684462860663416,-0.592362027240428,-0.512734565283712
"OVOL2",0.44217858444918,0.44217858444918,0.470040073770261,0.428717496316073,0.428717496316073,0.432421905099069,0.490816039102579,0.31322158660301,0.436412984395882,0.182722582401721,-0.0240836045507937,-0.0241433592306716,-0.334064472286375,-0.405338761698922,-0.343248712642206,-0.35465747847712,-0.364611090151716,-0.464376785052773,-0.488495289191824,-0.343745269611648,-0.464881591861885,-0.381408313658383,-0.400323720527134
"NP63",0.121564776264818,0.121564776264818,-0.051637538443695,0.154184465806843,0.154184465806843,0.122656425179738,-0.078648983005776,0.235833982918101,-0.259634919120487,0.180155428949842,0.0215821659477967,0.121489844887734,0.18133063860372,0.263675484133164,0.073394697901606,0.0857939228399265,0.176653722640248,0.203659576819868,0.249758104288373,-0.0890429787684714,-0.159099853272346,-0.0955689974789468,-0.0784051421853734
"SNAI1",-0.537733178492572,-0.537733178492572,-0.527237594924141,-0.538581404512656,-0.538581404512656,-0.503158513832561,-0.549689750556458,-0.500958414478355,-0.466692131703716,-0.387864213458015,0,0,0.332951441532689,0.431111614811701,0.222703019036774,0.424069912626038,0.368154392000182,0.491961819357859,0.53895546560632,0.422768585791097,0.580008682934178,0.466309142994982,0.578665763982018
"TCF3",-0.543828695564506,-0.543828695564506,-0.736920244164499,-0.541276235738878,-0.541276235738878,-0.482119099531804,-0.799252814233805,-0.508261543185565,-0.661418196447059,-0.384162921505594,0,0,0.477507396449704,0.597234410967993,0.407381250605365,0.415995628055464,0.54187121354712,0.718388805330729,0.787102079627806,0.562682570950933,0.615282329221824,0.64088875841077,0.623907706480063
