"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.805808081499918,0.805808081499918,0.788972497060633,0.754391789803118,0.79443418802998,0.79443418802998,0.752956875093859,0.715941555899652,0.518540472193953,0.502728225909985,0,0,-0.464328736759106,-0.493779525882825,-0.503922789161712,-0.521233447908115,-0.459803684696384,-0.664297100012562,-0.597650177578391,-0.615334085116909,-0.860508636333668,-0.666842372434091,-0.889969930112827
"miR200c",0.784563406743349,0.784563406743349,0.770819597205978,0.733977087814091,0.775886236459039,0.775886236459039,0.720336081438625,0.707926007266839,0.580057436570532,0.501580163530264,0,0,-0.505786827604677,-0.502487872500639,-0.536468552349173,-0.560522617159327,-0.523608182951149,-0.64630714509789,-0.690146554924382,-0.700581246281149,-0.839593459156776,-0.756967130950087,-0.862288571511537
"miR200b",0.784563406743349,0.784563406743349,0.770819597205978,0.733977087814091,0.775886236459039,0.775886236459039,0.720336081438625,0.707926007266839,0.580057436570532,0.501580163530264,0,0,-0.505786827604677,-0.502487872500639,-0.536468552349173,-0.560522617159327,-0.523608182951149,-0.64630714509789,-0.690146554924382,-0.700581246281149,-0.839593459156776,-0.756967130950087,-0.862288571511537
"miR200a",0.784563406743349,0.784563406743349,0.770819597205978,0.733977087814091,0.775886236459039,0.775886236459039,0.720336081438625,0.707926007266839,0.580057436570532,0.501580163530264,0,0,-0.505786827604677,-0.502487872500639,-0.536468552349173,-0.560522617159327,-0.523608182951149,-0.64630714509789,-0.690146554924382,-0.700581246281149,-0.839593459156776,-0.756967130950087,-0.862288571511537
"miR141",0.784563406743349,0.784563406743349,0.770819597205978,0.733977087814091,0.775886236459039,0.775886236459039,0.720336081438625,0.707926007266839,0.580057436570532,0.501580163530264,0,0,-0.505786827604677,-0.502487872500639,-0.536468552349173,-0.560522617159327,-0.523608182951149,-0.64630714509789,-0.690146554924382,-0.700581246281149,-0.839593459156776,-0.756967130950087,-0.862288571511537
"miR101",0.710458302127044,0.710458302127044,0.697285571084685,0.645085844510681,0.703420723838328,0.703420723838328,0.594110154378164,0.646002093026714,0.532294531224685,0.470721317517072,0,0,-0.390912776793108,-0.39928221777773,-0.492667249365199,-0.439942831437917,-0.582243514711993,-0.563370247152013,-0.545332145501072,-0.619679377580079,-0.759098205738453,-0.603805060844507,-0.77759435341174
"CDH1",0.61300852043785,0.61300852043785,0.806040451303799,0.772398376886993,0.607879743252724,0.607879743252724,0.534936858076389,0.569348382009664,0.723278456754492,0.432157852130319,0,0,-0.538247130915569,-0.446896821018883,-0.467103011633783,-0.597956615743537,-0.662267111048579,-0.785684354316569,-0.640329389325932,-0.853967838207758,-0.675615663063805,-0.711498615566058,-0.690129625381802
"miR34a",0.715395977349103,0.715395977349103,0.705365863782128,0.660111501456074,0.708084134431221,0.708084134431221,0.606600602911177,0.654422441780658,0.594739409811369,0.479796020398983,0,0,-0.509714393986641,-0.477657005962664,-0.536253422449684,-0.559357764426112,-0.544170986464048,-0.777898564420879,-0.552917748981057,-0.736380799551027,-0.764393510281549,-0.612204180749466,-0.683411743149617
"CLDN7",0.538972893115025,0.538972893115025,0.733964926284812,0.805052680477546,0.535099433316534,0.535099433316534,0.469405135631629,0.504888507958316,0.662267111048579,0.386004895312006,0,0,-0.474661230277212,-0.401640995892772,-0.411162861320055,-0.538247130915569,-0.597824948146457,-0.717833254485773,-0.562979007892603,-0.790634340232849,-0.607879743252724,-0.640329389325932,-0.619441140153699
"GRHL2",0.650386477935533,0.650386477935533,0.570657793374841,0.538384501215112,0.642327960013161,0.642327960013161,0.607477252738327,0.512885660874711,0.347021697059761,0.420807509785861,0.025314096817305,0.0254204078253267,-0.313790107156303,-0.363196796645569,-0.374754784143741,-0.3549806808957,-0.304906401418047,-0.419692132998684,-0.546317621595496,-0.407976080285131,-0.689180452576873,-0.595405806966595,-0.514846878794915
"OVOL2",0.434225420753663,0.434225420753663,0.464203226777976,0.497405898017517,0.416991955443712,0.416991955443712,0.421591117527427,0.301149452844106,0.436099639888518,0.173505725539871,-0.0242551827577914,-0.0243226748734852,-0.331524961577093,-0.339231985589005,-0.35111285759477,-0.361405746585663,-0.40516446423072,-0.461840669439603,-0.338026515605802,-0.488761254233764,-0.452038607300265,-0.3746609893957,-0.395106428653129
