"","miR200c","miR200a","miR200b","CDH1","miR141","GRHL2","CLDN7","miR34a","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"OVOL2",0.469346336947749,0.469346336947749,0.495158843215376,0.527948611033744,0.462822313213516,0.462822313213516,0.462822313213516,0.459204244387964,0.455941815306969,0.221552300211463,-0.0211097689685276,-0.0211109746739256,-0.345952218882106,-0.356354917837684,-0.367139717562003,-0.379508653892775,-0.421247163644306,-0.48756380589871,-0.37036437121902,-0.515709057324585,-0.502587534562093,-0.411452187001153,-0.419535983379137
"NP63",-0.0758290928540842,-0.0758290928540842,-0.264573282128744,-0.291696834665368,-0.0655452533015494,-0.0655452533015494,-0.0655452533015494,-0.0747162272772437,-0.435508140354792,-0.00752572277028616,0,0.1,0.30657660152842,0.204615771189248,0.219757441101744,0.321919617072109,0.418864037961591,0.407813049168523,0.152952270937442,0.476049863621409,0.0839836792515416,0.170575484359173,0.107412292521834
"SNAI1",-0.540691773855987,-0.540691773855987,-0.531489568557835,-0.571667382898755,-0.542213094786956,-0.542213094786956,-0.542213094786956,-0.506121634277546,-0.474833031879452,-0.393922705354588,0,0,0.335404211346141,0.225334218334766,0.426032389992239,0.371408981892132,0.437904809049586,0.498398870544652,0.425154045355524,0.549285381937921,0.584779870891092,0.469638896716736,0.58140230838402
"TCF3",-0.544701604619554,-0.544701604619554,-0.738596895882027,-0.810362284148676,-0.542482119292323,-0.542482119292323,-0.542482119292323,-0.483082285290314,-0.666008518194796,-0.387653237087165,0,0,0.478639807469471,0.408709093298826,0.416701670027917,0.543547842319423,0.600461421613217,0.721909122864677,0.563069779198985,0.793566935366267,0.617560622377033,0.641947125654243,0.624756430641023
"KLF8",-0.544701604619554,-0.544701604619554,-0.738596895882027,-0.810362284148676,-0.542482119292323,-0.542482119292323,-0.542482119292323,-0.483082285290314,-0.666008518194796,-0.387653237087165,0,0,0.478639807469471,0.408709093298826,0.416701670027917,0.543547842319423,0.600461421613217,0.721909122864677,0.563069779198985,0.793566935366267,0.617560622377033,0.641947125654243,0.624756430641023
"TGFbeta",-0.598649153535212,-0.598649153535212,-0.688783181142852,-0.642520621143218,-0.596543950475778,-0.596543950475778,-0.596543950475778,-0.595242978800134,-0.564074992836098,-0.431944728333871,0,0,0.484234203780908,0.452939980503433,0.510479777573756,0.533392843943032,0.514347691613655,0.659220849232845,0.651284026103669,0.717760194274848,0.652693638408299,0.610012484315343,0.659342430952921
"FOXC2",-0.796576284441336,-0.796576284441336,-0.777139956824312,-0.740861267850918,-0.787969182012158,-0.787969182012158,-0.787969182012158,-0.746039856010599,-0.504035203538113,-0.501432549685199,0,0,0.452905442918627,0.480866473293234,0.491240252576059,0.509156515757215,0.44607826115164,0.650787125788575,0.581063989465473,0.598654163761694,0.854085898376636,0.649624473560293,0.678334320620512
"ZEB1",-0.863405927628935,-0.863405927628935,-0.842209344793566,-0.802182977693573,-0.854085898376636,-0.854085898376636,-0.854085898376636,-0.806069542052523,-0.559553404935392,-0.543882129929345,0,0,0.509156515757215,0.521443475999138,0.542921730544677,0.564299951732806,0.504035203538113,0.712623707741651,0.649624473560293,0.65649976051969,0.817190569277064,0.716025524451087,0.743096186165779
"SNAI2",-0.69164097683598,-0.69164097683598,-0.881512207561749,-0.844457031178944,-0.687801134256468,-0.687801134256468,-0.687801134256468,-0.614417082221312,-0.786796160541578,-0.481488369207418,0,0,0.604322763816043,0.498731427954124,0.528193780480007,0.66229823091966,0.728141193455374,0.856968667789731,0.714919095210582,0.819807005907774,0.754708803354041,0.785167713152721,0.765573067173087
"GSC",-0.733917047533469,-0.733917047533469,-0.720360027926234,-0.675525605295648,-0.730628460012091,-0.730628460012091,-0.730628460012091,-0.649718235758204,-0.593460475121994,-0.508560185582925,0,0,0.588739783358475,0.492815660059504,0.62471817087718,0.640669359463274,0.540635727577654,0.58905865699327,0.565679443482995,0.644026003290833,0.790681972507357,0.628430428192855,0.799959904719324
"TWIST1",-0.743030205261072,-0.743030205261072,-0.730644248824624,-0.785488924704132,-0.738635369477706,-0.738635369477706,-0.738635369477706,-0.643842338307907,-0.611940394881425,-0.511542658818686,0,0,0.609055347465605,0.422683810073809,0.622210226263125,0.562076862130955,0.557948779234654,0.700285312112779,0.571599420400619,0.758927966977675,0.799786110523275,0.635338858385423,0.811807416346619
"TWIST2",-0.743902549092575,-0.743902549092575,-0.732118156064534,-0.789218257077933,-0.739654462727839,-0.739654462727839,-0.739654462727839,-0.650075800795651,-0.623982969623117,-0.515472062559831,0,0,0.631317412926737,0.5039873338944,0.541649597846804,0.684242563485957,0.570043963513209,0.702781551510176,0.574426907375326,0.761797655588116,0.800923471079633,0.638328078445604,0.812585006910046
"ZEB2",-0.928968311392607,-0.928968311392607,-0.917732422599166,-0.886367842241096,-0.724367479114019,-0.724367479114019,-0.724367479114019,-0.675470964699193,-0.640439415663152,-0.493403007392316,0,0,0.464687749648149,0.48812309288287,0.505374238365017,0.527925947458237,0.576952425251274,0.696300665245661,0.735678379247473,0.758004423991399,0.796362237958469,0.811426962503397,0.909130061536704
