"","miR200c","miR200a","miR200b","CDH1","miR141","GRHL2","CLDN7","miR34a","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.812414555585492,0.812414555585492,0.795309039112092,0.761106135996072,0.804320836688969,0.804320836688969,0.804320836688969,0.762300329058055,0.522373848587144,0.519729190265608,0,0,-0.466082640239705,-0.497567601288506,-0.506466669205537,-0.524340936054279,-0.462259541100003,-0.669640479879295,-0.603211444953469,-0.621602742650029,-0.87297649062044,-0.674385603438176,-0.894305947299364
"miR200c",0.790760693429854,0.790760693429854,0.776638561528644,0.740094057521757,0.78507232265141,0.78507232265141,0.78507232265141,0.729345550612951,0.583522465830154,0.516901934381776,0,0,-0.50754610051955,-0.506197142925657,-0.538992993132491,-0.563517864663594,-0.525830718699529,-0.651129634055857,-0.694986607714427,-0.706030397677047,-0.851147040699733,-0.763570734698554,-0.866390491465223
"miR200b",0.790760693429854,0.790760693429854,0.776638561528644,0.740094057521757,0.78507232265141,0.78507232265141,0.78507232265141,0.729345550612951,0.583522465830154,0.516901934381776,0,0,-0.50754610051955,-0.506197142925657,-0.538992993132491,-0.563517864663594,-0.525830718699529,-0.651129634055857,-0.694986607714427,-0.706030397677047,-0.851147040699733,-0.763570734698554,-0.866390491465223
"miR200a",0.790760693429854,0.790760693429854,0.776638561528644,0.740094057521757,0.78507232265141,0.78507232265141,0.78507232265141,0.729345550612951,0.583522465830154,0.516901934381776,0,0,-0.50754610051955,-0.506197142925657,-0.538992993132491,-0.563517864663594,-0.525830718699529,-0.651129634055857,-0.694986607714427,-0.706030397677047,-0.851147040699733,-0.763570734698554,-0.866390491465223
"miR141",0.790760693429854,0.790760693429854,0.776638561528644,0.740094057521757,0.78507232265141,0.78507232265141,0.78507232265141,0.729345550612951,0.583522465830154,0.516901934381776,0,0,-0.50754610051955,-0.506197142925657,-0.538992993132491,-0.563517864663594,-0.525830718699529,-0.651129634055857,-0.694986607714427,-0.706030397677047,-0.851147040699733,-0.763570734698554,-0.866390491465223
"miR101",0.7159012379417,0.7159012379417,0.702348396091303,0.650455508962814,0.711583024954926,0.711583024954926,0.711583024954926,0.602595599995587,0.535314449272828,0.483822096237887,0,0,-0.392562626979174,-0.402639857988817,-0.494970669515493,-0.442643478838767,-0.584218411663695,-0.567606787606117,-0.549428082737233,-0.624329243376666,-0.769386827164763,-0.609548944087135,-0.7812400605256
"CDH1",0.620589978302752,0.620589978302752,0.812374071816909,0.779410925268976,0.617560622377033,0.617560622377033,0.617560622377033,0.550864689731912,0.728141193455374,0.436411664188242,0,0,-0.543547842319423,-0.455296116985746,-0.47367792742879,-0.604322763816043,-0.666008518194796,-0.791293423591104,-0.641947125654243,-0.858408598249174,-0.687801134256468,-0.714919095210582,-0.696921954658977
"miR34a",0.729528669843516,0.729528669843516,0.718067699402553,0.673898644815956,0.726136068510836,0.726136068510836,0.726136068510836,0.635691018506574,0.603881274684152,0.50460334778381,0,0,-0.517475422885057,-0.488524526082215,-0.54523348885626,-0.569098323418494,-0.551394963689337,-0.789628529122025,-0.563355566370058,-0.747183472536727,-0.785600189416709,-0.625409492796208,-0.695198498098102
"CLDN7",0.544701604619554,0.544701604619554,0.738596895882027,0.810362284148676,0.542482119292323,0.542482119292323,0.542482119292323,0.483082285290314,0.666008518194796,0.387653237087165,0,0,-0.478639807469471,-0.408709093298826,-0.416701670027917,-0.543547842319423,-0.600461421613217,-0.721909122864677,-0.563069779198985,-0.793566935366267,-0.617560622377033,-0.641947125654243,-0.624756430641023
"GRHL2",0.654638880615754,0.654638880615754,0.576755451855273,0.544969632664464,0.648077767070128,0.648077767070128,0.648077767070128,0.613091326489659,0.353391969760827,0.43742095742032,0.0217185738440665,0.021720566868481,-0.315829777466056,-0.365851500623705,-0.376564028770654,-0.358176930057361,-0.310099442948951,-0.427411170768633,-0.551493176372413,-0.418571807906992,-0.697115205169136,-0.602367637321143,-0.518413726518742
