"","miR200b","miR200c","miR200a","CDH1","miR141","CLDN7","miR101","miR34a","OVOL2","miR205","NP63","TCF3","SNAI1","FOXC2","TWIST1","KLF8","GRHL2","TWIST2","ZEB1","GSC","SNAI2","TGFbeta","ZEB2"
"OVOL2",0.42781842701259,0.389287610486865,0.389287610486865,0.459309851074621,0.356409527480956,0.356409527480956,0.418817747645954,0.375613966064672,0.0539063886904652,-0.18464417401227,-0.202385290489328,-0.319240866237806,-0.321702278683992,-0.335584086617889,-0.344370353325066,-0.392834834164274,-0.318309113084957,-0.437507374840772,-0.380749583105275,-0.293419416438873,-0.463299719706197,-0.321341181209596,-0.368814574406308
"NP63",-0.0757773164246026,0.0922626288155996,0.0922626288155996,-0.0946519171915258,0.11498983667107,0.11498983667107,-0.270591164879254,0.0906273578172091,0.122980747217957,0.0622905035603505,-0.0407511989332007,0.191014790842305,0.0867468590925301,0.0980251727601451,0.189634784110565,0.271320371524356,0.0342106920727111,0.219781471064631,-0.115638206924073,-0.061292539460138,0.264555744051898,-0.0634783224565607,-0.059046752233325
"SNAI1",-0.483109935834434,-0.482478672808404,-0.482478672808404,-0.521242257842462,-0.460836417866561,-0.460836417866561,-0.451567944610223,-0.442421207805658,-0.238077185657974,0.290007943766554,0.311213530632518,0.319332341262099,0.200914550998432,0.405362433786896,0.348516528796268,0.421579394075031,0.458515266243783,0.465192339899132,0.48873524078737,0.374242104141287,0.514925905199533,0.406577808599587,0.54643869102245
"FOXC2",-0.645689626271497,-0.6413066001414,-0.6413066001414,-0.605245834009213,-0.587925465734114,-0.587925465734114,-0.433235897323002,-0.582261314240088,-0.213587033332716,0.285754148662519,0.312834658285724,0.399828124306145,0.410667998536823,0.427472130631317,0.439277200466577,0.392489958223674,0.57490492688404,0.554996175984291,0.625913112235302,0.434342109548338,0.501216998428107,0.477877242688447,0.576827284851664
"TCF3",-0.712182291080131,-0.510326097548022,-0.510326097548022,-0.780952600399813,-0.48817126703412,-0.48817126703412,-0.658833360422101,-0.442511884125549,-0.239622843594304,0.256449275362319,0.302345229119544,0.475858810945717,0.397540895223751,0.410604797906327,0.536555809977663,0.59751612007044,0.484912705946416,0.708273814562578,0.544057599916393,0.536807379092571,0.778002394815563,0.602241491835004,0.609555736774932
"KLF8",-0.712182291080131,-0.510326097548022,-0.510326097548022,-0.780952600399813,-0.48817126703412,-0.48817126703412,-0.658833360422101,-0.442511884125549,-0.239622843594304,0.256449275362319,0.302345229119544,0.475858810945717,0.397540895223751,0.410604797906327,0.536555809977663,0.59751612007044,0.484912705946416,0.708273814562578,0.544057599916393,0.536807379092571,0.778002394815563,0.602241491835004,0.609555736774932
"ZEB1",-0.687573691924651,-0.68321539795777,-0.68321539795777,-0.644058394863429,-0.625913112235302,-0.625913112235302,-0.471422458181226,-0.618296292531533,-0.227410243035164,0.312834658285724,0.339852131558514,0.439277200466577,0.437068821939592,0.463163010116747,0.477266587932249,0.433235897323002,0.611676737164721,0.596002060208209,0.560446119943599,0.477877242688447,0.539064606315507,0.518195983641102,0.619927926212227
"TGFbeta",-0.644476175246227,-0.54405897103497,-0.54405897103497,-0.595495993575325,-0.517280076226106,-0.517280076226106,-0.545458811277702,-0.534038934065616,-0.267200316718808,0.314764634030609,0.343720752864079,0.473028536518113,0.431701629247298,0.494138567761956,0.515115528554053,0.502883799678862,0.514039362439182,0.63095368646978,0.555878322017704,0.605846539656567,0.687860286135613,0.550481492285333,0.629291639297383
"SNAI2",-0.829444125345509,-0.627685549936578,-0.627685549936578,-0.789087261474436,-0.594626337783586,-0.594626337783586,-0.764574473000846,-0.542593981448838,-0.280441442960714,0.338760226551491,0.374676235341269,0.5906062747851,0.473481180229553,0.508672840285748,0.640477058245383,0.714092006211626,0.588673557896277,0.823298399345394,0.640665837379952,0.660139889854522,0.784169303229739,0.713771259023972,0.72996543657427
"GSC",-0.646806961470977,-0.645942101592451,-0.645942101592451,-0.598751058932112,-0.609083452270308,-0.609083452270308,-0.557540526964152,-0.553462740672751,-0.287072115928623,0.361461509771255,0.390552105376535,0.563789754553419,0.455440886710884,0.592842609665941,0.605367508195126,0.515242803057378,0.603187236700755,0.538048720365384,0.647816483944517,0.489079253694779,0.59142771032189,0.533923426763827,0.746355759065547
"TWIST1",-0.660742148228394,-0.658995222601932,-0.658995222601932,-0.712525943517742,-0.621255269388738,-0.621255269388738,-0.577998404898935,-0.551784363113186,-0.286449584933693,0.361959192737263,0.391517681228111,0.585644998144823,0.387281356978186,0.592114135550962,0.528708711821329,0.534155353561984,0.614486629353262,0.651936546970931,0.661331555812049,0.496851184158011,0.70893146345214,0.543044729714823,0.761170694488555
"TWIST2",-0.666811405694007,-0.665171275597676,-0.665171275597676,-0.720836951460921,-0.628781932598239,-0.628781932598239,-0.592806850124041,-0.56343369917284,-0.293823122569168,0.368945378232357,0.399174911121801,0.610108542634802,0.47113894053649,0.514065557427287,0.653621929067413,0.548459348972598,0.622239011998026,0.658053920126881,0.669426757842828,0.504848261314533,0.715374029592749,0.551766965759578,0.765720394778203
"ZEB2",-0.85627030466854,-0.854637022045978,-0.854637022045978,-0.820789091621785,-0.616678380156704,-0.616678380156704,-0.613172568739764,-0.591658684423549,-0.270431234423018,0.331395945287498,0.369844969148669,0.447320870861304,0.457806083166293,0.481473154649975,0.501184510915212,0.559124023988504,0.607971113196862,0.655528152089746,0.665459125432752,0.670826115381409,0.715113729811573,0.727833055506664,0.866445351782552
