"","miR200b","miR200c","miR200a","CDH1","miR141","CLDN7","miR101","miR34a","OVOL2","miR205","NP63","TCF3","SNAI1","FOXC2","TWIST1","KLF8","GRHL2","TWIST2","ZEB1","GSC","SNAI2","TGFbeta","ZEB2"
"miR205",0.687929915136337,0.686571888887765,0.686571888887765,0.648203278187548,0.634229077591512,0.634229077591512,0.465307965891954,0.623976938438505,0.237713114876984,-0.311611771013322,-0.341579068605235,-0.424590807815137,-0.440439139119539,-0.455884984290761,-0.468361657450654,-0.420039801426092,-0.619558966356034,-0.590965002904466,-0.676434143367093,-0.48508211154361,-0.541384824210157,-0.533372859044007,-0.813137117692962
"miR200c",0.689982183943418,0.688496984160651,0.688496984160651,0.649385109800625,0.644223516664522,0.644223516664522,0.539248426273111,0.617424227548302,0.252129214638546,-0.326710035928125,-0.357401345684656,-0.47598665151087,-0.461106887328441,-0.499724298975358,-0.520000730810455,-0.493805178551487,-0.632815571621361,-0.589402525983794,-0.686556919187952,-0.596581195860688,-0.642456463458638,-0.645159734175387,-0.802335993338519
"miR200b",0.689982183943418,0.688496984160651,0.688496984160651,0.649385109800625,0.644223516664522,0.644223516664522,0.539248426273111,0.617424227548302,0.252129214638546,-0.326710035928125,-0.357401345684656,-0.47598665151087,-0.461106887328441,-0.499724298975358,-0.520000730810455,-0.493805178551487,-0.632815571621361,-0.589402525983794,-0.686556919187952,-0.596581195860688,-0.642456463458638,-0.645159734175387,-0.802335993338519
"miR200a",0.689982183943418,0.688496984160651,0.688496984160651,0.649385109800625,0.644223516664522,0.644223516664522,0.539248426273111,0.617424227548302,0.252129214638546,-0.326710035928125,-0.357401345684656,-0.47598665151087,-0.461106887328441,-0.499724298975358,-0.520000730810455,-0.493805178551487,-0.632815571621361,-0.589402525983794,-0.686556919187952,-0.596581195860688,-0.642456463458638,-0.645159734175387,-0.802335993338519
"miR141",0.689982183943418,0.688496984160651,0.688496984160651,0.649385109800625,0.644223516664522,0.644223516664522,0.539248426273111,0.617424227548302,0.252129214638546,-0.326710035928125,-0.357401345684656,-0.47598665151087,-0.461106887328441,-0.499724298975358,-0.520000730810455,-0.493805178551487,-0.632815571621361,-0.589402525983794,-0.686556919187952,-0.596581195860688,-0.642456463458638,-0.645159734175387,-0.802335993338519
"miR101",0.627620078561036,0.626910530290369,0.626910530290369,0.572500324344342,0.589032705226506,0.589032705226506,0.497738977029512,0.505509614919638,0.255327250805744,-0.329710699649619,-0.356652752977354,-0.366004298516622,-0.364135298478138,-0.461564189682949,-0.405683270178396,-0.557265255042113,-0.582640397060883,-0.51480749551981,-0.626078287112403,-0.468605533222249,-0.570055544259489,-0.511187427930849,-0.726153985931302
"CDH1",0.773680360806639,0.571891178328439,0.571891178328439,0.737491889193529,0.544057599916393,0.544057599916393,0.714092006211626,0.494919831145416,0.262011529257996,-0.302345229119544,-0.338760226551491,-0.536555809977663,-0.43780458274172,-0.461569610619153,-0.5906062747851,-0.658833360422101,-0.539676852295798,-0.768534903838266,-0.594626337783586,-0.602241491835004,-0.833697390677747,-0.660139889854522,-0.672602651784618
"miR34a",0.650767932483512,0.648290374752835,0.648290374752835,0.603926904314568,0.612764157781732,0.612764157781732,0.571381569141545,0.547401764216514,0.284429611352435,-0.359409140125622,-0.388494991734985,-0.495035165152315,-0.454524514803132,-0.51632686150977,-0.537111960440986,-0.528616894894465,-0.606854295244999,-0.743348229802779,-0.651811282760612,-0.490854637629244,-0.699227786899054,-0.535956581163568,-0.646494211470226
"CLDN7",0.712182291080131,0.510326097548022,0.510326097548022,0.780952600399813,0.48817126703412,0.48817126703412,0.658833360422101,0.442511884125549,0.239622843594304,-0.256449275362319,-0.302345229119544,-0.475858810945717,-0.397540895223751,-0.410604797906327,-0.536555809977663,-0.59751612007044,-0.484912705946416,-0.708273814562578,-0.544057599916393,-0.536807379092571,-0.778002394815563,-0.602241491835004,-0.609555736774932
"GRHL2",0.487987123220377,0.548787297348223,0.548787297348223,0.454041153779143,0.509874887684912,0.509874887684912,0.304792984671334,0.502049765525794,0.234029277462229,-0.192291034771182,-0.213113014395251,-0.282053865105557,-0.320893706126541,-0.336195689922019,-0.312769513408927,-0.273350579635901,-0.387300065172388,-0.361607941309,-0.538625212489975,-0.456114059244674,-0.349311315618891,-0.488997643783219,-0.451930177438739
