"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.843263803995685,0.843263803995685,0.82924980328913,0.80526841404513,0.841793086186438,0.841793086186438,0.823390523835808,0.790939361810587,0.545899391014733,0.440911225751418,0.440911225751418,0.392295659868064,-0.479239827076972,-0.511283195960156,-0.521851412293385,-0.542308895294246,-0.480893457650972,-0.70265496502897,-0.666133316854394,-0.664236440654221,-0.917939149410382,-0.748036477248083,-0.921810520366352
"miR200c",0.810661129253063,0.810661129253063,0.798682476510428,0.769806430342432,0.809763553727506,0.809763553727506,0.796796054020935,0.74613394777135,0.59375358319372,0.439290390399266,0.439290390399266,0.392627304592901,-0.513789390433425,-0.512803984891288,-0.546387906156462,-0.572924462672347,-0.532748945055976,-0.671635760437134,-0.746010487314347,-0.734438056195311,-0.881488767298862,-0.823082042866158,-0.883994967693261
"miR200b",0.810661129253063,0.810661129253063,0.798682476510428,0.769806430342432,0.809763553727506,0.809763553727506,0.796796054020935,0.74613394777135,0.59375358319372,0.439290390399266,0.439290390399266,0.392627304592901,-0.513789390433425,-0.512803984891288,-0.546387906156462,-0.572924462672347,-0.532748945055976,-0.671635760437134,-0.746010487314347,-0.734438056195311,-0.881488767298862,-0.823082042866158,-0.883994967693261
"miR200a",0.810661129253063,0.810661129253063,0.798682476510428,0.769806430342432,0.809763553727506,0.809763553727506,0.796796054020935,0.74613394777135,0.59375358319372,0.439290390399266,0.439290390399266,0.392627304592901,-0.513789390433425,-0.512803984891288,-0.546387906156462,-0.572924462672347,-0.532748945055976,-0.671635760437134,-0.746010487314347,-0.734438056195311,-0.881488767298862,-0.823082042866158,-0.883994967693261
"miR141",0.810661129253063,0.810661129253063,0.798682476510428,0.769806430342432,0.809763553727506,0.809763553727506,0.796796054020935,0.74613394777135,0.59375358319372,0.439290390399266,0.439290390399266,0.392627304592901,-0.513789390433425,-0.512803984891288,-0.546387906156462,-0.572924462672347,-0.532748945055976,-0.671635760437134,-0.746010487314347,-0.734438056195311,-0.881488767298862,-0.823082042866158,-0.883994967693261
"miR101",0.727555134470709,0.727555134470709,0.714874271243063,0.666433390408329,0.726429280178414,0.726429280178414,0.717503276435622,0.612022195690038,0.538951017935606,0.424187219077926,0.424187219077926,0.38377431669379,-0.392563944350056,-0.403190599479771,-0.49685173128569,-0.444973387391246,-0.585465226719218,-0.576680648133904,-0.584758400391937,-0.638885302006576,-0.788370272540893,-0.65140543756529,-0.791415380987681
"miR34a",0.739994561989594,0.739994561989594,0.729633938684654,0.6904598864296,0.739558819937907,0.739558819937907,0.731548387432489,0.643878495070107,0.607446248752767,0.45086432417292,0.45086432417292,0.408598041752171,-0.517495057962241,-0.489258317012475,-0.546405418473526,-0.571110963359427,-0.55279977695717,-0.799112381177191,-0.595425102385304,-0.76222364103304,-0.802972970987439,-0.66371479000422,-0.704407162104518
"CDH1",0.626316177075468,0.626316177075468,0.819074572190478,0.790592043398242,0.625514296664726,0.625514296664726,0.619835547105202,0.555060181166858,0.729451012826725,0.375188220385906,0.375188220385906,0.327318037830125,-0.542418514481246,-0.454630679283007,-0.47336676911234,-0.604609920488335,-0.665743985020009,-0.796787964600277,-0.662598965706361,-0.868748149924211,-0.699318858147949,-0.742026607100637,-0.701753170442873
"CLDN7",0.548268051999128,0.548268051999128,0.742768283336419,0.817988547758794,0.547751029937113,0.547751029937113,0.543429176173596,0.485289912160281,0.665743985020009,0.327318037830125,0.327318037830125,0.270664045434688,-0.477629012020885,-0.407519817293876,-0.415310678928123,-0.542418514481246,-0.599598336707398,-0.724895506499718,-0.57906408198543,-0.800693219712595,-0.625514296664726,-0.662598965706361,-0.627362756620941
"GRHL2",0.654924324184857,0.654924324184857,0.573846020719716,0.538666452209779,0.649153666490829,0.649153666490829,0.566036811165545,0.61188302893378,0.338623040783803,0.305053598396959,0.305053598396959,0.272566423445605,-0.307489237113979,-0.358996005790139,-0.370387190892143,-0.350206101002282,-0.294963506291028,-0.417140405203882,-0.565863810049248,-0.403948298025062,-0.699726886947577,-0.620050321289881,-0.518301995571553
