"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR34a","miR101","NP63","miR205","OVOL2","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","TGFbeta","ZEB1","ZEB2"
"miR205",0.686040766548412,0.686040766548412,0.634819941589755,0.520410202396084,0.652501834836657,0.652501834836657,0.636550383111093,0.621218399632474,0.316144355627608,0.352617767235199,0.322482002692537,-0.24304827471743,-0.356246060935298,-0.379648816366825,-0.393058187180564,-0.391825320438613,-0.283723052667473,-0.453429506050685,-0.338468244089608,-0.42410134448007,-0.462658716325808,-0.692978971766633,-0.779726945355584
"miR200c",0.68818249977795,0.68818249977795,0.64565122535785,0.547534496286258,0.659062636374496,0.659062636374496,0.64714888897122,0.615445660171797,0.424580759891502,0.366918744037626,0.335729833428065,-0.257353888719153,-0.421132525962789,-0.413182918165488,-0.448694977531727,-0.457107206886225,-0.391683890182198,-0.479766167148158,-0.474542963892452,-0.530741574726358,-0.569932330112232,-0.700297032333794,-0.775510692292821
"miR200b",0.68818249977795,0.68818249977795,0.64565122535785,0.547534496286258,0.659062636374496,0.659062636374496,0.64714888897122,0.615445660171797,0.424580759891502,0.366918744037626,0.335729833428065,-0.257353888719153,-0.421132525962789,-0.413182918165488,-0.448694977531727,-0.457107206886225,-0.391683890182198,-0.479766167148158,-0.474542963892452,-0.530741574726358,-0.569932330112232,-0.700297032333794,-0.775510692292821
"miR200a",0.68818249977795,0.68818249977795,0.64565122535785,0.547534496286258,0.659062636374496,0.659062636374496,0.64714888897122,0.615445660171797,0.424580759891502,0.366918744037626,0.335729833428065,-0.257353888719153,-0.421132525962789,-0.413182918165488,-0.448694977531727,-0.457107206886225,-0.391683890182198,-0.479766167148158,-0.474542963892452,-0.530741574726358,-0.569932330112232,-0.700297032333794,-0.775510692292821
"miR141",0.68818249977795,0.68818249977795,0.64565122535785,0.547534496286258,0.659062636374496,0.659062636374496,0.64714888897122,0.615445660171797,0.424580759891502,0.366918744037626,0.335729833428065,-0.257353888719153,-0.421132525962789,-0.413182918165488,-0.448694977531727,-0.457107206886225,-0.391683890182198,-0.479766167148158,-0.474542963892452,-0.530741574726358,-0.569932330112232,-0.700297032333794,-0.775510692292821
"miR101",0.626393705755525,0.626393705755525,0.588917843703829,0.487881895434912,0.60144242795612,0.60144242795612,0.594594495689587,0.50389710313273,0.400736364896803,0.36473887565324,0.337460899587735,-0.259838104793985,-0.317017158821712,-0.321012823899497,-0.415664119415211,-0.349509547765767,-0.471362677468247,-0.423292167113814,-0.42927748665833,-0.393368087648175,-0.427707270503737,-0.637542754247277,-0.702889596658471
"CDH1",0.575135856680592,0.575135856680592,0.749865825972678,0.680024199362478,0.555419503952369,0.555419503952369,0.550396925147314,0.49689204356225,0.649905423580645,0.345410434183676,0.306863952416855,-0.266761041389121,-0.509917563958321,-0.409509647210803,-0.433879108598718,-0.555957404595771,-0.607975366319476,-0.707178005912836,-0.73042786349536,-0.536746156266989,-0.585646457021946,-0.606808058604148,-0.660855884558846
"miR34a",0.648222242983821,0.648222242983821,0.614944538814973,0.529308186324451,0.62442466848591,0.62442466848591,0.618118072332048,0.546321536135282,0.483813579538816,0.396059096656886,0.366564517967462,-0.289024228595461,-0.450868728668305,-0.415356110150342,-0.474096096650619,-0.485292764003271,-0.452646170196468,-0.66030206060318,-0.569375340425789,-0.397319081364219,-0.433779809420262,-0.662808336205192,-0.625613398149709
"CLDN7",0.51427561423319,0.51427561423319,0.694207388236941,0.732708041354537,0.498223878015201,0.498223878015201,0.494353682606003,0.44487085150927,0.607975366319476,0.306863952416855,0.259927536231884,-0.244311776494785,-0.459675550405562,-0.375940829697351,-0.389521620098808,-0.509917563958321,-0.561797449466548,-0.659599398388973,-0.691759716293886,-0.483220689527819,-0.536746156266989,-0.555419503952369,-0.601721151419972
"GRHL2",0.547080334833477,0.547080334833477,0.445826181446294,0.367017791626964,0.521438285474053,0.521438285474053,0.447108078269352,0.499134464243861,0.20538480297537,0.271549017446437,0.251237303889674,-0.0902040820139998,-0.228930857809412,-0.275019489679115,-0.286620679721145,-0.253397589990463,-0.183264991363944,-0.269864290294105,-0.21529913743399,-0.380770606735412,-0.406573142254295,-0.548668413409035,-0.425599049815868
"OVOL2",0.389035235559566,0.389035235559566,0.404350089587411,0.409047377798684,0.363911935559248,0.363911935559248,0.279117834210236,0.374564773489355,0.363648288295473,0.158996168860887,0.140734303456118,-0.206887714876714,-0.291048945295218,-0.296813652078216,-0.30908004139165,-0.311788460438013,-0.344604168229233,-0.384376071414006,-0.383041322234326,-0.248039618417887,-0.270674511495488,-0.387797920649105,-0.354788306159886
"NP63",0.0911899432678527,0.0911899432678527,-0.0888255807588612,-0.118874434759793,0.118351902718796,0.118351902718796,0.214749937962576,0.0891775666844841,-0.302578498013163,0.0862294915291753,0.184423816550671,0.0342231399042871,0.208388840686795,0.100163852887345,0.114495443796955,0.209297625607697,0.301468239775321,0.248840212431865,0.304987420915917,-0.0444942742390774,-0.0443522069025832,-0.117848067121878,-0.0503451926980511
"SNAI1",-0.482306597303102,-0.482306597303102,-0.457188840443364,-0.468392028177133,-0.469048105382531,-0.469048105382531,-0.466435970197814,-0.441591875337015,-0.387257766390905,-0.316516904551785,-0.295129989579964,0.241337111803775,0.287587912871026,0.172816914912985,0.374769551723332,0.311126250998648,0.365643235865758,0.404882832288503,0.419834592777141,0.307430022582172,0.333373642499622,0.496427453800288,0.531387738288074
