"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TWIST2","TCF3","TWIST1","SNAI1","FOXC2","KLF8","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.743858361964108,0.743858361964108,0.726119909353707,0.671558909074467,0.739091132197394,0.739091132197394,0.696432187093743,0.669373186304945,0.452675300702017,0.472208872837,0,0,-0.108608610362677,-0.252329375461126,-0.2864012835374,-0.417260796366105,-0.426213105865402,-0.406448377865794,-0.534239532953501,-0.565731801680429,-0.791684888796691,-0.623065558227009,-0.804102742505771
"miR200c",0.732810563411674,0.732810563411674,0.717564412718609,0.662253476638191,0.729966467431906,0.729966467431906,0.673770032658501,0.669115517908754,0.523336225865455,0.47602375233853,0,0,-0.200430171066339,-0.35988153061745,-0.393371629261283,-0.437736625504749,-0.468674191927937,-0.478429702325236,-0.629432499967743,-0.664344728919287,-0.781578931469796,-0.72084413806391,-0.78919078987363
"miR200b",0.732810563411674,0.732810563411674,0.717564412718609,0.662253476638191,0.729966467431906,0.729966467431906,0.673770032658501,0.669115517908754,0.523336225865455,0.47602375233853,0,0,-0.200430171066339,-0.35988153061745,-0.393371629261283,-0.437736625504749,-0.468674191927937,-0.478429702325236,-0.629432499967743,-0.664344728919287,-0.781578931469796,-0.72084413806391,-0.78919078987363
"miR200a",0.732810563411674,0.732810563411674,0.717564412718609,0.662253476638191,0.729966467431906,0.729966467431906,0.673770032658501,0.669115517908754,0.523336225865455,0.47602375233853,0,0,-0.200430171066339,-0.35988153061745,-0.393371629261283,-0.437736625504749,-0.468674191927937,-0.478429702325236,-0.629432499967743,-0.664344728919287,-0.781578931469796,-0.72084413806391,-0.78919078987363
"miR141",0.732810563411674,0.732810563411674,0.717564412718609,0.662253476638191,0.729966467431906,0.729966467431906,0.673770032658501,0.669115517908754,0.523336225865455,0.47602375233853,0,0,-0.200430171066339,-0.35988153061745,-0.393371629261283,-0.437736625504749,-0.468674191927937,-0.478429702325236,-0.629432499967743,-0.664344728919287,-0.781578931469796,-0.72084413806391,-0.78919078987363
"miR101",0.654987974758926,0.654987974758926,0.640354374755655,0.57074671905522,0.653931403525877,0.653931403525877,0.544163310750581,0.603864739699544,0.472213166822452,0.442607892020313,0,0,-0.145776283813777,-0.245588656535125,-0.275060629299002,-0.330944981790697,-0.421178321113745,-0.533036730636684,-0.545791870049269,-0.515904610044831,-0.697782627941683,-0.563865102712666,-0.701084376721196
"CDH1",0.593788483104782,0.593788483104782,0.784504396120488,0.73749143112684,0.592551851821398,0.592551851821398,0.524151360371411,0.55375787821624,0.697523495586394,0.417173726252791,0,0,-0.493376707708112,-0.461078570497699,-0.500839526672998,-0.414149208558833,-0.434073261950797,-0.644729991655754,-0.81648534600105,-0.632874718928958,-0.651822519707362,-0.697807100212588,-0.655890211013199
"CLDN7",0.526958344897024,0.526958344897024,0.720104260039904,0.78010695714092,0.526139973095582,0.526139973095582,0.464765929907835,0.494805828091252,0.644729991655754,0.374863793588936,0,0,-0.468489004170773,-0.415676828000119,-0.461078570497699,-0.377627255135413,-0.387361988875942,-0.588181042169835,-0.763195520836847,-0.558758351337876,-0.592551851821398,-0.632874718928958,-0.595537513455808
"GRHL2",0.598120901932233,0.598120901932233,0.519177408903426,0.472234395356273,0.593561068922041,0.593561068922041,0.560180674912011,0.472796461198918,0.295910641204569,0.393450041003921,0.0255409753580788,0.0256364332958402,-0.0929482855184935,-0.191665527335645,-0.215886580575717,-0.303545198515385,-0.312436525837119,-0.263640734958695,-0.344868239381123,-0.518328120778356,-0.629808440457545,-0.557881439292522,-0.445807353377654
"OVOL2",0.413265501649442,0.413265501649442,0.441585782102087,0.464577359249663,0.402156197331185,0.402156197331185,0.404948597001451,0.289725163816792,0.409621878136553,0.166194324794002,-0.0240834337367673,-0.0241428552949085,-0.260028148715874,-0.264015172136768,-0.282920286876715,-0.308176201825098,-0.317881102564419,-0.384283821700594,-0.455286921225174,-0.329246397161414,-0.431427986127246,-0.361193597337781,-0.360403273639622
"miR34a",0.342857712475226,0.342857712475226,0.337505108979547,0.26027368463039,0.363174024948797,0.363174024948797,0.290776547935186,0.339406962963908,0.26123865525041,0.270392538598911,0,0,-0.0658940274328664,-0.0964318534331615,-0.110355625015598,-0.174153780120265,-0.217840191344571,-0.242298504666514,-0.340820317581439,-0.286050502809541,-0.383695747938733,-0.308005018917163,-0.233803371995488
"NP63",0.109275761588956,0.109275761588956,-0.0634126800485169,-0.0848034303379002,0.142795018056744,0.142795018056744,0.110902473228819,0.225788751909201,-0.269946112031174,0.173119516337418,0.0215802590359401,0.12148890048048,0.27697260545842,0.212955307890884,0.210341148797425,0.0867981273939513,0.101016300844816,0.271377111537726,0.261021840404184,-0.0820628309443449,-0.145883513301689,-0.0870762674333988,-0.0628233308344426
"SNAI1",-0.474887272309139,-0.474887272309139,-0.464320234176785,-0.488882907099169,-0.479857975503511,-0.479857975503511,-0.44381352484638,-0.448581728316845,-0.406893406684127,-0.350762923727138,0,0,0.147339076520837,0.206163090736799,0.2262638474339,0.153626825153347,0.347474125638959,0.38076585278273,0.467109212671433,0.384507838618465,0.510807089702197,0.418939890763698,0.498601210298281
"FOXC2",-0.71145875785756,-0.71145875785756,-0.692634566043524,-0.634424919538877,-0.708453936000209,-0.708453936000209,-0.666209266637863,-0.633555798746248,-0.421404227476808,-0.444630126991163,0,0,0.0852639393245277,0.228039121435525,0.259477832566665,0.386207902292541,0.395120598119866,0.378768621636642,0.49671628900052,0.532891718437438,0.756810699604574,0.585532267280807,0.565090750525116
"TCF3",-0.526958344897024,-0.526958344897024,-0.720104260039904,-0.78010695714092,-0.526139973095582,-0.526139973095582,-0.464765929907835,-0.494805828091252,-0.644729991655754,-0.374863793588936,0,0,0.468489004170773,0.415676828000119,0.461078570497699,0.377627255135413,0.387361988875942,0.588181042169835,0.763195520836847,0.558758351337876,0.592551851821398,0.632874718928958,0.595537513455808
"KLF8",-0.526958344897024,-0.526958344897024,-0.720104260039904,-0.78010695714092,-0.526139973095582,-0.526139973095582,-0.464765929907835,-0.494805828091252,-0.644729991655754,-0.374863793588936,0,0,0.468489004170773,0.415676828000119,0.461078570497699,0.377627255135413,0.387361988875942,0.588181042169835,0.763195520836847,0.558758351337876,0.592551851821398,0.632874718928958,0.595537513455808
"TGFbeta",-0.55375623120811,-0.55375623120811,-0.642534082621993,-0.580782984500127,-0.554292769366786,-0.554292769366786,-0.55188788306172,-0.517905100115503,-0.515561874876309,-0.401559208692027,0,0,0.308059326123278,0.3741717771652,0.404616720781473,0.396514574684263,0.451274398961144,0.476130668112281,0.656299821438288,0.628624301960602,0.598639795909781,0.577610197018442,0.598321682401249
"ZEB1",-0.760144920284871,-0.760144920284871,-0.739756042162266,-0.677004648761411,-0.756810699604574,-0.756810699604574,-0.70959824725304,-0.676522155559682,-0.4606481379805,-0.475011168652822,0,0,0.102770300647683,0.259477832566665,0.290697072141923,0.413316927617842,0.430410145235881,0.421404227476808,0.536719907513407,0.585532267280807,0.702153682927349,0.636380116385391,0.611180621773434
"SNAI2",-0.653512285346441,-0.653512285346441,-0.842246576184692,-0.789500711202395,-0.651822519707362,-0.651822519707362,-0.577032137500555,-0.606445452197614,-0.745149315016868,-0.454418665360783,0,0,0.514736054909169,0.500839526672998,0.53830552232044,0.447741981070154,0.47665215772817,0.697523495586394,0.765363634857219,0.697807100212588,0.707004206538602,0.759345396022133,0.711961838375841
"GSC",-0.67717087917744,-0.67717087917744,-0.662266345409155,-0.599043366735446,-0.676980929763569,-0.676980929763569,-0.5951972186627,-0.625256417781595,-0.533461886408763,-0.469478822871053,0,0,0.169021745670097,0.444245922956734,0.475457589197469,0.423872492283747,0.55250001485768,0.492730925305014,0.568958632848666,0.535374299346608,0.723357279688154,0.586573790823342,0.724408106777647
"TWIST1",-0.688892618277093,-0.688892618277093,-0.675348528710038,-0.712908343846795,-0.687269831353039,-0.687269831353039,-0.591699014523712,-0.636003427286614,-0.555243901607087,-0.473996715037889,0,0,0.317965704723814,0.478718631558991,0.410882641787164,0.357357380640451,0.555023106150635,0.51291158073869,0.687311485320239,0.542962633575009,0.734961186010867,0.59536558034575,0.739639493518121
"TWIST2",-0.692668679479209,-0.692668679479209,-0.679659450518099,-0.719684459239791,-0.691013463711875,-0.691013463711875,-0.600640062083835,-0.641564791509488,-0.569934036211431,-0.479742891493863,0,0,0.332084854940694,0.506476185933744,0.538850122642064,0.441600951238631,0.477129977032361,0.527454045249173,0.693194255708231,0.547711169213242,0.739232870887624,0.600797649607727,0.744001603371113
"ZEB2",-0.890543433250021,-0.890543433250021,-0.878075130711281,-0.830098600361943,-0.687947008263658,-0.687947008263658,-0.637693223676145,-0.634895479974692,-0.598205853086175,-0.465289975002883,0,0,0.312014805838314,0.357185697389543,0.398507729636608,0.436081743501776,0.453758317071865,0.546231547399419,0.70220431524934,0.718817165154614,0.747583085339509,0.785460225953067,0.854753156842258
