"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","GRHL2","miR101","OVOL2","miR34a","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","SNAI2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.789483263429971,0.789483263429971,0.770118254426557,0.733807103007453,0.775275063084149,0.775275063084149,0.701166686204992,0.491730208441468,0.493659439056199,0.536339566608361,0,0,-0.437636834665582,-0.456890135694903,-0.479171464425865,-0.486699888081833,-0.439978534369248,-0.593402120378076,-0.581383057564533,-0.591664437394196,-0.834170604754438,-0.656074848440062,-0.872654948366376
"miR200c",0.752842566690023,0.752842566690023,0.735492582858868,0.696682387138289,0.739606220741173,0.739606220741173,0.677666821658644,0.535453014169287,0.482121606612342,0.40813840747165,0,0,-0.46114062343295,-0.448688872378096,-0.496065134440511,-0.506698693149145,-0.487459426042058,-0.537655843304247,-0.646437312051535,-0.67322648496322,-0.794242961575159,-0.732958554775055,-0.829800394285292
"miR200b",0.752842566690023,0.752842566690023,0.735492582858868,0.696682387138289,0.739606220741173,0.739606220741173,0.677666821658644,0.535453014169287,0.482121606612342,0.40813840747165,0,0,-0.46114062343295,-0.448688872378096,-0.496065134440511,-0.506698693149145,-0.487459426042058,-0.537655843304247,-0.646437312051535,-0.67322648496322,-0.794242961575159,-0.732958554775055,-0.829800394285292
"miR200a",0.752842566690023,0.752842566690023,0.735492582858868,0.696682387138289,0.739606220741173,0.739606220741173,0.677666821658644,0.535453014169287,0.482121606612342,0.40813840747165,0,0,-0.46114062343295,-0.448688872378096,-0.496065134440511,-0.506698693149145,-0.487459426042058,-0.537655843304247,-0.646437312051535,-0.67322648496322,-0.794242961575159,-0.732958554775055,-0.829800394285292
"miR141",0.752842566690023,0.752842566690023,0.735492582858868,0.696682387138289,0.739606220741173,0.739606220741173,0.677666821658644,0.535453014169287,0.482121606612342,0.40813840747165,0,0,-0.46114062343295,-0.448688872378096,-0.496065134440511,-0.506698693149145,-0.487459426042058,-0.537655843304247,-0.646437312051535,-0.67322648496322,-0.794242961575159,-0.732958554775055,-0.829800394285292
"miR101",0.641707415438845,0.641707415438845,0.623614246057308,0.568800056558797,0.629483849033404,0.629483849033404,0.582149362307461,0.445267002804528,0.425640301752858,0.339952545933507,0,0,-0.294351828769588,-0.304090208894429,-0.404068561129171,-0.331102044279775,-0.506773768362654,-0.391736552519892,-0.519538028061083,-0.499918272079932,-0.673401650028757,-0.548257740005378,-0.705798781402113
"CDH1",0.586053227873609,0.586053227873609,0.77422343958626,0.738520076106486,0.576229953844173,0.576229953844173,0.539017351762654,0.680658779107595,0.406206851099441,0.274212936102602,0,0,-0.495835552276265,-0.396883351367118,-0.429561883753127,-0.544977650549837,-0.629029909126035,-0.684592781800779,-0.799980410586456,-0.624241512922015,-0.634958355442094,-0.688711509034707,-0.662122213292355
"miR34a",0.659356939644595,0.659356939644595,0.643550134666087,0.597329700629108,0.647025183267697,0.647025183267697,0.600600306878972,0.52176775298076,0.448670391368608,0.301091055446313,0,0,-0.433966368037371,-0.400844774773565,-0.46862066156977,-0.472284492953718,-0.481793874677134,-0.629921416355489,-0.649354884914204,-0.517124755073084,-0.692684273798201,-0.567540192323052,-0.625410071778519
"CLDN7",0.519915189956704,0.519915189956704,0.71053328915805,0.779642315278735,0.511888074752632,0.511888074752632,0.481902784999676,0.629029909126035,0.365215681687292,0.238345386433728,0,0,-0.440898475799982,-0.359967098851407,-0.381906707219284,-0.495835552276265,-0.572659770547582,-0.632571445472874,-0.746749248122204,-0.553007146418481,-0.576229953844173,-0.624241512922015,-0.599271241370108
"GRHL2",0.632266543361437,0.632266543361437,0.551949020044924,0.518945427148014,0.620135780759362,0.620135780759362,0.49594868246403,0.324456966250794,0.409644478772562,0.443426336400259,0.0255409753580788,0.0256364332958402,-0.291887242199491,-0.333602817002785,-0.353821474863621,-0.326409468917798,-0.288208011631312,-0.3647409843945,-0.379545457401733,-0.537442578374107,-0.661294859906986,-0.582482684362566,-0.498314664526785
