"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","FOXC2","TCF3","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.803490845261418,0.803490845261418,0.787775036135268,0.753917333742358,0.790992826356909,0.790992826356909,0.752585444146311,0.715069262413707,0.518973100368793,0.503623153779629,0,0,-0.309881125527548,-0.464895120941595,-0.494770069504549,-0.521890302359164,-0.46023225300663,-0.664341551055456,-0.597022885972812,-0.615167044579641,-0.856147917598012,-0.665435836298157,-0.889831497596735
"miR200c",0.776378469229898,0.776378469229898,0.764763443432738,0.729272515757573,0.764425753892173,0.764425753892173,0.714012422954434,0.699680257591098,0.578024500108392,0.497837055901541,0,0,-0.275438646758203,-0.504473575209128,-0.501232345366147,-0.558745429920221,-0.522104324322218,-0.642855564977397,-0.684980016596188,-0.697127553420178,-0.82666760229444,-0.750387706806169,-0.858566128700424
"miR200b",0.776378469229898,0.776378469229898,0.764763443432738,0.729272515757573,0.764425753892173,0.764425753892173,0.714012422954434,0.699680257591098,0.578024500108392,0.497837055901541,0,0,-0.275438646758203,-0.504473575209128,-0.501232345366147,-0.558745429920221,-0.522104324322218,-0.642855564977397,-0.684980016596188,-0.697127553420178,-0.82666760229444,-0.750387706806169,-0.858566128700424
"miR200a",0.776378469229898,0.776378469229898,0.764763443432738,0.729272515757573,0.764425753892173,0.764425753892173,0.714012422954434,0.699680257591098,0.578024500108392,0.497837055901541,0,0,-0.275438646758203,-0.504473575209128,-0.501232345366147,-0.558745429920221,-0.522104324322218,-0.642855564977397,-0.684980016596188,-0.697127553420178,-0.82666760229444,-0.750387706806169,-0.858566128700424
"miR141",0.776378469229898,0.776378469229898,0.764763443432738,0.729272515757573,0.764425753892173,0.764425753892173,0.714012422954434,0.699680257591098,0.578024500108392,0.497837055901541,0,0,-0.275438646758203,-0.504473575209128,-0.501232345366147,-0.558745429920221,-0.522104324322218,-0.642855564977397,-0.684980016596188,-0.697127553420178,-0.82666760229444,-0.750387706806169,-0.858566128700424
"miR101",0.710376963625702,0.710376963625702,0.697755185351709,0.646090309980714,0.70317828315271,0.70317828315271,0.596485117763984,0.647645513457514,0.5334160121234,0.473171949968639,0,0,-0.348738539779838,-0.391971293992658,-0.401030507240077,-0.441313851525693,-0.583166125104233,-0.564541515818828,-0.54590256911477,-0.620514001946399,-0.758475735444988,-0.604212775455059,-0.778659920546693
"CDH1",0.617518066811542,0.617518066811542,0.809990555421849,0.777201530744834,0.61259261106965,0.61259261106965,0.547325438829426,0.571668789148022,0.727513880337673,0.429837169285812,0,0,-0.347878425491637,-0.543451036898319,-0.454649807100201,-0.603929124547722,-0.665772105564938,-0.790043865359922,-0.64066188916311,-0.856699495212167,-0.680518683168606,-0.712247706623266,-0.695821591746139
"miR34a",0.725023051763434,0.725023051763434,0.714327589915994,0.670328828062625,0.719207983509603,0.719207983509603,0.630695839607729,0.665127333498899,0.602377191582499,0.495136122873133,0,0,-0.418064220350288,-0.517044447397745,-0.487282864902779,-0.568104575101208,-0.550579404243838,-0.787190737547452,-0.56056866237005,-0.744035210353478,-0.77637548743014,-0.621090357426437,-0.693199357275449
"CLDN7",0.542747882322231,0.542747882322231,0.737147506625127,0.809094954029117,0.539246599293327,0.539246599293327,0.48080358452479,0.506561494404004,0.665772105564938,0.38310961272578,0,0,-0.312207238443427,-0.478639807469471,-0.408430560375759,-0.543451036898319,-0.600461421613217,-0.721381596971376,-0.56239471497424,-0.792716297885511,-0.61259261106965,-0.64066188916311,-0.624304591456678
"GRHL2",0.643727105856796,0.643727105856796,0.566083709698057,0.534867122777659,0.63292081017855,0.63292081017855,0.602508273994633,0.507251082422447,0.345611616521112,0.417692848754479,0.0255409753580788,0.0256364332958402,-0.192145809040351,-0.31300893919621,-0.362399124095339,-0.353808985441658,-0.303973340188527,-0.417207745571319,-0.542176018350764,-0.405371380439554,-0.678732189601085,-0.590334801479087,-0.512098197251541
