"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","FOXC2","NP63","miR205","TCF3","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.798342907314043,0.798342907314043,0.783839352309038,0.750578840641066,0.783087823127525,0.783087823127525,0.746614597103712,0.708094659709443,0.517958542769731,0.498582582333908,0.109599158665721,0,0,-0.464397486292941,-0.49338990738837,-0.520927283253527,-0.459728365662277,-0.662340423379925,-0.594729942671792,-0.61324049932717,-0.845831143086283,-0.6619367352444,-0.887705603052463
"miR200c",0.770631955613314,0.770631955613314,0.76037536674213,0.725542008415711,0.75559745605092,0.75559745605092,0.707381130444029,0.691847246008111,0.576853376315275,0.492261594801825,0.00310702345615346,0,0,-0.5039526245782,-0.499662739490684,-0.557612207227534,-0.521541968224788,-0.640539315511989,-0.682355376869857,-0.694917194432342,-0.815289537802367,-0.746251840827679,-0.856099758341108
"miR200b",0.770631955613314,0.770631955613314,0.76037536674213,0.725542008415711,0.75559745605092,0.75559745605092,0.707381130444029,0.691847246008111,0.576853376315275,0.492261594801825,0.00310702345615346,0,0,-0.5039526245782,-0.499662739490684,-0.557612207227534,-0.521541968224788,-0.640539315511989,-0.682355376869857,-0.694917194432342,-0.815289537802367,-0.746251840827679,-0.856099758341108
"miR200a",0.770631955613314,0.770631955613314,0.76037536674213,0.725542008415711,0.75559745605092,0.75559745605092,0.707381130444029,0.691847246008111,0.576853376315275,0.492261594801825,0.00310702345615346,0,0,-0.5039526245782,-0.499662739490684,-0.557612207227534,-0.521541968224788,-0.640539315511989,-0.682355376869857,-0.694917194432342,-0.815289537802367,-0.746251840827679,-0.856099758341108
"miR141",0.770631955613314,0.770631955613314,0.76037536674213,0.725542008415711,0.75559745605092,0.75559745605092,0.707381130444029,0.691847246008111,0.576853376315275,0.492261594801825,0.00310702345615346,0,0,-0.5039526245782,-0.499662739490684,-0.557612207227534,-0.521541968224788,-0.640539315511989,-0.682355376869857,-0.694917194432342,-0.815289537802367,-0.746251840827679,-0.856099758341108
"miR101",0.683245986113549,0.683245986113549,0.674292920806607,0.624378768816251,0.66735090186598,0.66735090186598,0.5671654939909,0.615831496410848,0.520972050773407,0.449030641417241,0.0969815819542414,0,0,-0.382069659875472,-0.388959702924645,-0.429107622403979,-0.573278188955612,-0.547011491482517,-0.526383097025402,-0.603824151557488,-0.718572021802699,-0.581775529258421,-0.760782160554776
"CDH1",0.603554871065669,0.603554871065669,0.798766744733491,0.767319866260859,0.591961130779093,0.591961130779093,0.53149341017369,0.553093662999449,0.723319317475051,0.416136768485694,0.049833936056509,0,0,-0.540975151319411,-0.449820778325256,-0.599870237640792,-0.663279202305693,-0.783079567127665,-0.632198044999021,-0.849996418649732,-0.656340011271945,-0.701594693729508,-0.688696159279529
"miR34a",0.697289224737459,0.697289224737459,0.691211300509667,0.649698971173954,0.681609721832995,0.681609721832995,0.601371469360153,0.631448000734266,0.590940613860973,0.470466599539457,0.109890977277968,0,0,-0.50823347492644,-0.476001773470321,-0.556832437237384,-0.54176556008101,-0.770779668833817,-0.540904265051434,-0.728396789236419,-0.734477127948319,-0.598169438919616,-0.676220204114089
"CLDN7",0.532177251805749,0.532177251805749,0.728867178120566,0.801762110360197,0.522806319675702,0.522806319675702,0.468362284345876,0.491706785097945,0.663279202305693,0.372079358014807,0.0463988443544957,0,0,-0.47771280862822,-0.405170513405553,-0.540975151319411,-0.599339401977873,-0.71648776476944,-0.557374771480804,-0.788045464857083,-0.591961130779093,-0.632198044999021,-0.619187575636323
"GRHL2",0.639590232871648,0.639590232871648,0.562947741236175,0.532231155555982,0.626608445303029,0.626608445303029,0.597767198302715,0.501684964309159,0.344793840054294,0.413715466834164,0.0425113075355123,0.0255409753580788,0.0256364332958402,-0.312631518859587,-0.361298926458278,-0.353032698118504,-0.303586920735662,-0.415620021101621,-0.540236010661168,-0.40383922558426,-0.670717955376899,-0.587535577727139,-0.510408454629812
"OVOL2",0.43199835195408,0.43199835195408,0.463193483501634,0.497261806295468,0.413608394700481,0.413608394700481,0.42115354162145,0.299897568670185,0.437345793707018,0.173434549594122,0.0155650926339393,-0.0240834337367673,-0.0241428552949085,-0.333175999737802,-0.340777111951084,-0.362983207852327,-0.406530839165053,-0.462554347443806,-0.33781308695849,-0.489193236551488,-0.446972253022865,-0.373437811385298,-0.395708964310811
"NP63",0.12626814163621,0.12626814163621,-0.0469463696508493,-0.0653593450272735,0.160163389188994,0.160163389188994,0.12749589849785,0.241107706772786,-0.254891224378657,0.183851516235825,-0.0159652487043829,0.0215802590359401,0.12148890048048,0.17903790378582,0.0708789105442958,0.173856707779986,0.259340481465121,0.19812111600454,-0.0925896243767499,0.242990133500331,-0.165542046238112,-0.0996330832884799,-0.0818964231187162
