"","miR200b","miR200c","miR200a","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB2","ZEB1","TGFbeta"
"miR205",0.755037071700112,0.75822575372826,0.75822575372826,0.732539879861909,0.788633822137687,0.788633822137687,0.75010242293296,0.712981980910599,0.514839715000731,0.502043971102949,0,0,-0.463031927049366,-0.490355497042764,-0.501078235962096,-0.518503283253805,-0.457861180674427,-0.660685682084663,-0.580353266174712,-0.60784767928812,-0.766640992686539,-0.851621238443074,-0.643706702137258
"miR200c",0.720841260813224,0.718332134247098,0.718332134247098,0.699562651418026,0.762127668715145,0.762127668715145,0.710562372561782,0.697762847484497,0.570561272878194,0.495773547658279,0,0,-0.499989912445909,-0.493795710574552,-0.528249358487025,-0.552362836414733,-0.516955494988349,-0.636366309612954,-0.660412552857632,-0.685332532787936,-0.706311574593993,-0.82159298550535,-0.720552540131516
"miR200b",0.720841260813224,0.718332134247098,0.718332134247098,0.699562651418026,0.762127668715145,0.762127668715145,0.710562372561782,0.697762847484497,0.570561272878194,0.495773547658279,0,0,-0.499989912445909,-0.493795710574552,-0.528249358487025,-0.552362836414733,-0.516955494988349,-0.636366309612954,-0.660412552857632,-0.685332532787936,-0.706311574593993,-0.82159298550535,-0.720552540131516
"miR200a",0.720841260813224,0.718332134247098,0.718332134247098,0.699562651418026,0.762127668715145,0.762127668715145,0.710562372561782,0.697762847484497,0.570561272878194,0.495773547658279,0,0,-0.499989912445909,-0.493795710574552,-0.528249358487025,-0.552362836414733,-0.516955494988349,-0.636366309612954,-0.660412552857632,-0.685332532787936,-0.706311574593993,-0.82159298550535,-0.720552540131516
"miR141",0.720841260813224,0.718332134247098,0.718332134247098,0.699562651418026,0.762127668715145,0.762127668715145,0.710562372561782,0.697762847484497,0.570561272878194,0.495773547658279,0,0,-0.499989912445909,-0.493795710574552,-0.528249358487025,-0.552362836414733,-0.516955494988349,-0.636366309612954,-0.660412552857632,-0.685332532787936,-0.706311574593993,-0.82159298550535,-0.720552540131516
"CDH1",0.75477935788336,0.541737765163096,0.541737765163096,0.740092273707948,0.598007908838256,0.598007908838256,0.534796333958117,0.558594013997923,0.717117107541478,0.420660469807793,0,0,-0.53778640542635,-0.444244044324648,-0.463858389727294,-0.594344174350653,-0.659108631594404,-0.779092768375229,-0.606313455842245,-0.84040633859739,-0.524770039994899,-0.66118193139525,-0.669379928825448
"miR101",0.592903598552297,0.579602449871964,0.579602449871964,0.575028219756505,0.665440109953883,0.665440109953883,0.563767008953682,0.614011307413886,0.50624721728805,0.450207832454521,0,0,-0.371757049613022,-0.376409331050758,-0.468318051423554,-0.415257371514313,-0.561565291562979,-0.535360781729345,-0.473032194888493,-0.584047448023261,-0.518637107333606,-0.714105282492692,-0.521408554210697
"CLDN7",0.690805213194201,0.477956265046331,0.477956265046331,0.778777499074874,0.528640977631,0.528640977631,0.4720413670707,0.497018842748369,0.659108631594404,0.376467921053162,0,0,-0.475395311525091,-0.400883466019313,-0.410957977516289,-0.53778640542635,-0.596658922162128,-0.714297709419586,-0.534825328236663,-0.780841699634881,-0.47383597039057,-0.598007908838256,-0.606313455842245
"miR34a",0.621696837109752,0.599429458715218,0.599429458715218,0.606866259460725,0.684365765250833,0.684365765250833,0.600440900911897,0.633998066744006,0.577524046472998,0.473248111659413,0,0,-0.49889341245249,-0.464363353037174,-0.521005124341826,-0.544300575498792,-0.531207973946877,-0.760311193496475,-0.493807842134708,-0.710038593952901,-0.417288690453155,-0.734895840948737,-0.54445437955423
"GRHL2",0.541055448230667,0.608609286758573,0.608609286758573,0.518577971815299,0.630716137304822,0.630716137304822,0.600296357758443,0.505268592734837,0.342219551582963,0.416305932011559,0.0255409753580788,0.0256364332958402,-0.311502496708324,-0.358890952482457,-0.370789392906496,-0.35087471475561,-0.301984506026381,-0.414132864097446,-0.529114461899363,-0.399543102490542,-0.415410595333483,-0.674565366616105,-0.572921731421584
