"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR101","miR34a","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","ZEB1","GSC","SNAI2","TGFbeta","ZEB2"
"miR205",0.759215123178476,0.759215123178476,0.753539778168344,0.724659801490676,0.725107953531474,0.725107953531474,0.507821158708375,0.702715625628052,0.657042966550297,0.463354824517591,0,0,-0.458600297623083,-0.481545837767232,-0.495543087438114,-0.510991055829088,-0.453681350209721,-0.644781036654743,-0.775381242062051,-0.573495593912876,-0.596620590249759,-0.632502100816543,-0.869186314848573
"miR200c",0.734419392674462,0.734419392674462,0.732118474297401,0.701287513903902,0.701725573172727,0.701725573172727,0.567461728044077,0.666618728825888,0.643984581876361,0.458585029075298,0,0,-0.498661122770346,-0.488547414759467,-0.526490879073725,-0.548448898033963,-0.516053277339852,-0.624187276805568,-0.749703548402673,-0.662741832845511,-0.679354329960757,-0.719159431245657,-0.83892115291236
"miR200b",0.734419392674462,0.734419392674462,0.732118474297401,0.701287513903902,0.701725573172727,0.701725573172727,0.567461728044077,0.666618728825888,0.643984581876361,0.458585029075298,0,0,-0.498661122770346,-0.488547414759467,-0.526490879073725,-0.548448898033963,-0.516053277339852,-0.624187276805568,-0.749703548402673,-0.662741832845511,-0.679354329960757,-0.719159431245657,-0.83892115291236
"miR200a",0.734419392674462,0.734419392674462,0.732118474297401,0.701287513903902,0.701725573172727,0.701725573172727,0.567461728044077,0.666618728825888,0.643984581876361,0.458585029075298,0,0,-0.498661122770346,-0.488547414759467,-0.526490879073725,-0.548448898033963,-0.516053277339852,-0.624187276805568,-0.749703548402673,-0.662741832845511,-0.679354329960757,-0.719159431245657,-0.83892115291236
"miR141",0.734419392674462,0.734419392674462,0.732118474297401,0.701287513903902,0.701725573172727,0.701725573172727,0.567461728044077,0.666618728825888,0.643984581876361,0.458585029075298,0,0,-0.498661122770346,-0.488547414759467,-0.526490879073725,-0.548448898033963,-0.516053277339852,-0.624187276805568,-0.749703548402673,-0.662741832845511,-0.679354329960757,-0.719159431245657,-0.83892115291236
"miR101",0.663667503956265,0.663667503956265,0.660974848662399,0.614343641043971,0.634686655689088,0.634686655689088,0.520113958931244,0.544217223468498,0.586761083374848,0.430661474202842,0,0,-0.383910417085831,-0.386011296088789,-0.482947592208862,-0.428235679244425,-0.574815290775889,-0.542328389485214,-0.676258456223019,-0.519225533901171,-0.599456891015628,-0.56816532546478,-0.7553451588429
"miR34a",0.546477464160273,0.546477464160273,0.568522648308069,0.544297918096764,0.479434463057303,0.479434463057303,0.528516205231581,0.45048647550259,0.443438415814331,0.34447689900237,0,0,-0.458075723429359,-0.417399668960644,-0.479154651244806,-0.494669615393173,-0.491102637315171,-0.6846113945124,-0.513756953734872,-0.429068026117145,-0.646612446549206,-0.469432717872964,-0.585255661515521
"CDH1",0.430770419654238,0.430770419654238,0.654258209142757,0.636226912220292,0.342969585976794,0.342969585976794,0.645862046979338,0.348512149277777,0.317779877187469,0.232732888938187,0,0,-0.48036556162604,-0.375798399301899,-0.402320431090269,-0.5230375403777,-0.602424435772972,-0.673972377859166,-0.382822949471684,-0.504154663603065,-0.745514850864169,-0.551438662211818,-0.57863320454695
"CLDN7",0.382431672652985,0.382431672652985,0.606025038021424,0.690851269093107,0.298837632643217,0.298837632643217,0.602424435772972,0.307044599608903,0.278605121481856,0.20461713600825,0,0,-0.434286181180735,-0.344521445262387,-0.362085052632774,-0.48036556162604,-0.555501473472271,-0.627102641755853,-0.342969585976794,-0.451571738100075,-0.701889705516854,-0.504154663603065,-0.52940918370573
"GRHL2",0.610330017733798,0.610330017733798,0.54033831817704,0.512808275616186,0.583868907025684,0.583868907025684,0.337059530371634,0.56519637256204,0.464293032629249,0.387354010740694,0.0255409753580788,0.0256364332958402,-0.308155012645144,-0.352253790781068,-0.366856856061121,-0.345425953161937,-0.298949578349098,-0.402361838078282,-0.618869900547051,-0.52424793597691,-0.391209454060826,-0.565425450015392,-0.496322052242324
