"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","FOXC2","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.807561491172405,0.807561491172405,0.790801073981522,0.756441393430111,0.797258894347622,0.797258894347622,0.757043361297237,0.720448270854033,0.51971414688412,0.507237288510646,0,0,-0.465141049705148,-0.481227713741397,-0.495735793173358,-0.522600868735847,-0.460533343508889,-0.665921919125981,-0.598854584563168,-0.616674995736681,-0.864111332878067,-0.668517820410036,-0.891543692277105
"miR200c",0.786558768202659,0.786558768202659,0.772783337684109,0.736157406062337,0.778946657476096,0.778946657476096,0.724647257266033,0.712387119948786,0.581285210149664,0.506052080406647,0,0,-0.50661977396105,-0.512619085811949,-0.504491433501436,-0.561925887283352,-0.524364199793789,-0.648019012474066,-0.69141898992968,-0.702011894902989,-0.843416480618296,-0.758672670987111,-0.863960515352697
"miR200b",0.786558768202659,0.786558768202659,0.772783337684109,0.736157406062337,0.778946657476096,0.778946657476096,0.724647257266033,0.712387119948786,0.581285210149664,0.506052080406647,0,0,-0.50661977396105,-0.512619085811949,-0.504491433501436,-0.561925887283352,-0.524364199793789,-0.648019012474066,-0.69141898992968,-0.702011894902989,-0.843416480618296,-0.758672670987111,-0.863960515352697
"miR200a",0.786558768202659,0.786558768202659,0.772783337684109,0.736157406062337,0.778946657476096,0.778946657476096,0.724647257266033,0.712387119948786,0.581285210149664,0.506052080406647,0,0,-0.50661977396105,-0.512619085811949,-0.504491433501436,-0.561925887283352,-0.524364199793789,-0.648019012474066,-0.69141898992968,-0.702011894902989,-0.843416480618296,-0.758672670987111,-0.863960515352697
"miR141",0.786558768202659,0.786558768202659,0.772783337684109,0.736157406062337,0.778946657476096,0.778946657476096,0.724647257266033,0.712387119948786,0.581285210149664,0.506052080406647,0,0,-0.50661977396105,-0.512619085811949,-0.504491433501436,-0.561925887283352,-0.524364199793789,-0.648019012474066,-0.69141898992968,-0.702011894902989,-0.843416480618296,-0.758672670987111,-0.863960515352697
"miR101",0.712901327003696,0.712901327003696,0.699625270322115,0.64763728951116,0.707115838281869,0.707115838281869,0.599288692089619,0.651031148811466,0.533821005620245,0.475478126020479,0,0,-0.392093319216334,-0.465231697275236,-0.401592274799362,-0.441698103350849,-0.583316264516473,-0.565454148472369,-0.54693514288176,-0.621389210558266,-0.76362920491816,-0.606021836974018,-0.77965501976551
"CDH1",0.619394292718259,0.619394292718259,0.811362239394872,0.778315717891755,0.615604868610291,0.615604868610291,0.549440212169814,0.57427675227464,0.727755410532071,0.431587070375444,0,0,-0.543530848631699,-0.449658373105661,-0.455011281385248,-0.604160434933943,-0.665870695506165,-0.790655403032746,-0.641248265690161,-0.857274641312986,-0.684814613978977,-0.713530293794361,-0.696499603366891
"miR34a",0.726961709315603,0.726961709315603,0.715747520879793,0.671485029120355,0.722277255869488,0.722277255869488,0.632873781936694,0.66776113016305,0.602632625389269,0.496932236797507,0,0,-0.517111477892801,-0.520381502587849,-0.487669344074528,-0.568342372035117,-0.550661857563893,-0.787819906260776,-0.561262828831408,-0.744640909686451,-0.780531461140694,-0.622380924421492,-0.693892682605152
"CLDN7",0.54406040556892,0.54406040556892,0.738080713641858,0.809793768942892,0.541383332637349,0.541383332637349,0.482276191850124,0.508418001662994,0.665870695506165,0.384302717844821,0,0,-0.478639807469471,-0.396354408347952,-0.408606509686359,-0.543530848631699,-0.600461421613217,-0.72165726680178,-0.562805151917706,-0.792994399906532,-0.615604868610291,-0.641248265690161,-0.624604309800579
"GRHL2",0.646800421013763,0.646800421013763,0.568416091428515,0.536834429671341,0.637522405427576,0.637522405427576,0.605858183043358,0.511183666230471,0.346290844023467,0.420412470753604,0.0255441465852375,0.025640349205447,-0.313338332235706,-0.354410949707562,-0.363214919517986,-0.354458527052196,-0.304326589846645,-0.418484042707521,-0.543749615146902,-0.406605574518547,-0.684432487435819,-0.592618549893137,-0.513463736022612
"OVOL2",0.44192129023857,0.44192129023857,0.470984545638662,0.50399967866067,0.428010215197122,0.428010215197122,0.431993814983217,0.312610333239875,0.440226435219008,0.182281669196047,-0.0240434155057958,-0.0241034231431315,-0.334924412127873,-0.355744670543176,-0.343956151921993,-0.365805688065704,-0.408356400869526,-0.467340126500978,-0.343574692846622,-0.493765426305193,-0.46423084681081,-0.381236128275924,-0.400746272703118
"NP63",0.122218711854666,0.122218711854666,-0.0502160859583651,-0.0682313262707714,0.154565492153889,0.154565492153889,0.123140106915767,0.23617521875719,-0.256348923199191,0.180416182507954,0.0215812064216916,0.121489329428772,0.18000558582149,0.100634942307606,0.0724290391321323,0.175275355040159,0.260291703463325,0.200329304553356,-0.0895579939299615,0.245103908381127,-0.159698827539325,-0.0963817619562253,-0.0796328777649685
"SNAI1",-0.538902773566075,-0.538902773566075,-0.529893836938021,-0.570015517229572,-0.5395020321886,-0.5395020321886,-0.504153629152452,-0.501910263953913,-0.474009297220049,-0.388652606980897,0,0,0.335184950234147,0.406541636985897,0.22475362997296,0.370917653285285,0.437441349703648,0.497181643571941,0.423757695076253,0.547570324854324,0.581200976953555,0.467563577924836,0.580514611945168
"TCF3",-0.54406040556892,-0.54406040556892,-0.738080713641858,-0.809793768942892,-0.541383332637349,-0.541383332637349,-0.482276191850124,-0.508418001662994,-0.665870695506165,-0.384302717844821,0,0,0.478639807469471,0.396354408347952,0.408606509686359,0.543530848631699,0.600461421613217,0.72165726680178,0.562805151917706,0.792994399906532,0.615604868610291,0.641248265690161,0.624604309800579
"KLF8",-0.54406040556892,-0.54406040556892,-0.738080713641858,-0.809793768942892,-0.541383332637349,-0.541383332637349,-0.482276191850124,-0.508418001662994,-0.665870695506165,-0.384302717844821,0,0,0.478639807469471,0.396354408347952,0.408606509686359,0.543530848631699,0.600461421613217,0.72165726680178,0.562805151917706,0.792994399906532,0.615604868610291,0.641248265690161,0.624604309800579
"TGFbeta",-0.593944603325512,-0.593944603325512,-0.684709157623276,-0.638585770828257,-0.590237692083218,-0.590237692083218,-0.589937670683132,-0.550143208449824,-0.561762494888435,-0.42398251234461,0,0,0.482515510981458,0.48740936748898,0.45057234597244,0.531248465724059,0.512627979326664,0.656072163773591,0.64802713725388,0.714333209378244,0.645117572095259,0.605773878573678,0.656277946831049
"FOXC2",-0.790677512196091,-0.790677512196091,-0.771678626181625,-0.735246998696322,-0.779532811830904,-0.779532811830904,-0.739792565725069,-0.695426409433834,-0.50075574182356,-0.487186840736417,0,0,0.451686476368601,0.466461069588934,0.478636613882767,0.506980926305051,0.443903699255761,0.646243348489859,0.575633584941757,0.592725520111261,0.843685878314326,0.642503570294066,0.674923972159057
"ZEB1",-0.855863097880442,-0.855863097880442,-0.835149187889641,-0.79501991650763,-0.843685878314326,-0.843685878314326,-0.798195910229359,-0.752418503933559,-0.555039875481449,-0.527451327962212,0,0,0.506980926305051,0.513448888495629,0.518329791362212,0.56105209638949,0.50075574182356,0.706596763812777,0.642503570294066,0.649035892222041,0.804788692809854,0.707182259429456,0.738356831628828
"SNAI2",-0.689732469200155,-0.689732469200155,-0.879829925400459,-0.842685291891475,-0.684814613978977,-0.684814613978977,-0.612214388118365,-0.635780003810587,-0.785995794145123,-0.475029647562647,0,0,0.604160434933943,0.500030633064727,0.498152684706084,0.661868855783408,0.727755410532071,0.855751659636747,0.713530293794361,0.817968990932945,0.75056844328363,0.782955216271125,0.764724419457886
"GSC",-0.725353106635114,-0.725353106635114,-0.712496492815226,-0.666618848255762,-0.720295123287631,-0.720295123287631,-0.633419785385542,-0.664571522528122,-0.587463892861732,-0.493608681645771,0,0,0.583942133726557,0.492403367926203,0.486458697495899,0.634742785509148,0.535815575519019,0.581189405199347,0.559420234188434,0.636520495623167,0.77836181625497,0.620326798056999,0.792616990201303
"TWIST1",-0.740265832578682,-0.740265832578682,-0.728141074633058,-0.782884702636491,-0.734482872662088,-0.734482872662088,-0.640788745325963,-0.677907358338955,-0.610586778745901,-0.503425354647891,0,0,0.608658792087031,0.59501074798315,0.421743830053092,0.561245492795694,0.557152322956633,0.698324790414782,0.569334579997718,0.756194338274961,0.794356606766825,0.632075010032105,0.810385099966561
"TWIST2",-0.741359299270261,-0.741359299270261,-0.729823734530036,-0.786828336203786,-0.735813365927528,-0.735813365927528,-0.647261852857516,-0.681412955469856,-0.622762247545317,-0.507820325032807,0,0,0.630970968717195,0.515559060053658,0.503139343363082,0.683505698619516,0.56933662423985,0.701004020140491,0.57238202793884,0.759289909949985,0.795852478366021,0.635336502363259,0.811300891735319
"ZEB2",-0.926389873075789,-0.926389873075789,-0.915411652471604,-0.883933700503955,-0.720406708074728,-0.720406708074728,-0.672397961780187,-0.663560307299973,-0.639236429013067,-0.485254444878269,0,0,0.464340599081637,0.478676194804489,0.487160796358626,0.52718300333904,0.576316799816775,0.694537961563268,0.733697826331849,0.75552110684791,0.791044676193708,0.808463346653421,0.907849215890794
