"","CDH1","miR200b","miR200c","miR200a","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","ZEB2","TWIST1","KLF8","GSC","TWIST2","TGFbeta","SNAI2","ZEB1"
"miR200c",0.663014628379992,0.669352402001153,0.650825071484844,0.650825071484844,0.743864341147234,0.743864341147234,0.694998285921743,0.681572658102654,0.55910842988694,0.484172842901025,0,0,-0.492815154615483,-0.482427363391297,-0.517865700920865,-0.55426577160452,-0.541839808178936,-0.508940928716233,-0.628736919254684,-0.623794646621409,-0.681373043243413,-0.667991613263643,-0.798018536857001
"miR200a",0.663014628379992,0.669352402001153,0.650825071484844,0.650825071484844,0.743864341147234,0.743864341147234,0.694998285921743,0.681572658102654,0.55910842988694,0.484172842901025,0,0,-0.492815154615483,-0.482427363391297,-0.517865700920865,-0.55426577160452,-0.541839808178936,-0.508940928716233,-0.628736919254684,-0.623794646621409,-0.681373043243413,-0.667991613263643,-0.798018536857001
"miR141",0.663014628379992,0.669352402001153,0.650825071484844,0.650825071484844,0.743864341147234,0.743864341147234,0.694998285921743,0.681572658102654,0.55910842988694,0.484172842901025,0,0,-0.492815154615483,-0.482427363391297,-0.517865700920865,-0.55426577160452,-0.541839808178936,-0.508940928716233,-0.628736919254684,-0.623794646621409,-0.681373043243413,-0.667991613263643,-0.798018536857001
"miR205",0.671266376381773,0.673519371969844,0.655148009211097,0.655148009211097,0.754597514346604,0.754597514346604,0.720630411677415,0.68300730294731,0.492458485144619,0.480336222568731,0,0,-0.447483356367276,-0.468904858950028,-0.480666429561094,-0.547685352665931,-0.497744877721421,-0.441059774336684,-0.52697237546302,-0.635976785417997,-0.580782881731866,-0.575910484428477,-0.809943410670873
"miR101",0.584552836150626,0.609727513655523,0.59361568938973,0.59361568938973,0.676675955629451,0.676675955629451,0.573561618632881,0.624154953648294,0.514837226966285,0.456337591526936,0,0,-0.380371028214062,-0.382516570466256,-0.477151747020896,-0.504970955159083,-0.424371115509327,-0.570248344280265,-0.492283224246736,-0.544689511628744,-0.538418431215856,-0.592219547469715,-0.724112098142882
"miR34a",0.61180329322761,0.629192231179465,0.610554559950393,0.610554559950393,0.694152181154022,0.694152181154022,0.609231107644169,0.642859185356501,0.585459030015527,0.479266830044235,0,0,-0.506962842804939,-0.470177640441021,-0.52920892774768,-0.422486109292241,-0.552702255306021,-0.539182332105262,-0.509188357619587,-0.769053168542975,-0.557179354970684,-0.717714356450509,-0.743419355963588
"CDH1",0.683035940015967,0.676726278984215,0.440033652028458,0.440033652028458,0.563482006962951,0.563482006962951,0.505050137740615,0.52757503550319,0.694382146774055,0.397795380170037,0,0,-0.521339958509168,-0.422327283830562,-0.443103209328451,-0.326077870052716,-0.573244340979288,-0.641756867747172,-0.551103934146587,-0.753862695881673,-0.605401456498614,-0.807892267942013,-0.619340247645758
"CLDN7",0.730686571536069,0.624150362289198,0.389852134927636,0.389852134927636,0.502526735046922,0.502526735046922,0.449352124495582,0.47346666943495,0.641756867747172,0.358961763356971,0,0,-0.46543482782185,-0.384310279682207,-0.394778936671781,-0.293526824651812,-0.521339958509168,-0.584939701900055,-0.491886968404336,-0.69522288678566,-0.551103934146587,-0.754920897434685,-0.563482006962951
"GRHL2",0.490953080601734,0.501881541574226,0.555336029355887,0.555336029355887,0.616512354914865,0.616512354914865,0.588239605411987,0.492763458729344,0.333490803443094,0.407352787374401,0.0255409753580788,0.0256364332958402,-0.30565923024493,-0.350082155131074,-0.362848144846367,-0.282085774292197,-0.34285791224967,-0.295740022158706,-0.504364082401026,-0.404519933413258,-0.543316504004489,-0.386460440181822,-0.656679659545985
"OVOL2",0.461768546450292,0.410044362138511,0.358840337143943,0.358840337143943,0.407609888170437,0.407609888170437,0.414690920462136,0.294562734355695,0.427286906315023,0.169462218523275,-0.0240834337367673,-0.0241428552949085,-0.326739993806389,-0.3309831740965,-0.34333477160161,-0.205401514189298,-0.353952064880412,-0.399348584478715,-0.305215448336132,-0.453241132303784,-0.334528857727666,-0.474000530812516,-0.437881664738387
"NP63",-0.0545256058239504,-0.0310568886466342,0.147509281519948,0.147509281519948,0.165268033450108,0.165268033450108,0.132247136274824,0.245620152999699,-0.249649554113903,0.187006444475075,0.0215802590359401,0.12148890048048,0.174255016094801,0.0660817430160928,0.0785671013483904,-0.125380236649091,0.168876355711092,0.254655311008469,-0.10597436067958,0.192858980095051,-0.112583059308545,0.236474421033759,-0.17111761562281
"miR200b",0.345470742034936,0.306132147392722,0.256725536647704,0.256725536647704,0.518048932637521,0.518048932637521,0.490962798441468,0.481836034906004,0.383131803593511,0.337289669061027,0,0,-0.349295751185434,-0.335830619424453,-0.359837113974558,0.00893214488407187,-0.378153878579432,-0.35369482365763,-0.351385758568897,-0.4285738875055,-0.382338626489995,-0.448131038496962,-0.549795804017596
"TCF3",-0.730686571536069,-0.624150362289198,-0.389852134927636,-0.389852134927636,-0.502526735046922,-0.502526735046922,-0.449352124495582,-0.47346666943495,-0.641756867747172,-0.358961763356971,0,0,0.46543482782185,0.384310279682207,0.394778936671781,0.293526824651812,0.521339958509168,0.584939701900055,0.491886968404336,0.69522288678566,0.551103934146587,0.754920897434685,0.563482006962951
"KLF8",-0.730686571536069,-0.624150362289198,-0.389852134927636,-0.389852134927636,-0.502526735046922,-0.502526735046922,-0.449352124495582,-0.47346666943495,-0.641756867747172,-0.358961763356971,0,0,0.46543482782185,0.384310279682207,0.394778936671781,0.293526824651812,0.521339958509168,0.584939701900055,0.491886968404336,0.69522288678566,0.551103934146587,0.754920897434685,0.563482006962951
"FOXC2",-0.666564197734212,-0.673950330736738,-0.66052532397954,-0.66052532397954,-0.746792876213403,-0.746792876213403,-0.712045592894438,-0.666792136265707,-0.480415594976266,-0.466679855966906,0,0,0.43898500572772,0.458110398048746,0.471343102383625,0.35453859722231,0.488528719112128,0.429827641601739,0.51789921521732,0.623947129217641,0.570795948861115,0.561470474443517,0.801214161980523
"SNAI2",-0.731056019471481,-0.724940962234469,-0.486131263039069,-0.486131263039069,-0.619340247645758,-0.619340247645758,-0.55589695008054,-0.577229194860854,-0.742302094053026,-0.432895993122695,0,0,0.573244340979288,0.457206862791054,0.487426150527387,0.355913406853557,0.620573865825135,0.694382146774055,0.605401456498614,0.807606756056884,0.655451224892452,0.756529002709743,0.670649445193444
"SNAI1",-0.523590826595771,-0.463010824436997,-0.449887940055438,-0.449887940055438,-0.51705684536858,-0.51705684536858,-0.485213930226955,-0.48203729237057,-0.460085345836305,-0.374588070391091,0,0,0.326625766015252,0.210769895926047,0.413044690059915,0.376285956076637,0.358149021294504,0.427875536733512,0.382741755633504,0.48197573867467,0.416859999634948,0.526168416199915,0.552004863173399
"ZEB1",-0.713413050819215,-0.720916890306939,-0.705437108464686,-0.705437108464686,-0.801214161980523,-0.801214161980523,-0.761795485880435,-0.715146993130133,-0.527337230598442,-0.500871047166117,0,0,0.488528719112128,0.491760848465169,0.514880908027952,0.383675953383133,0.535166781212881,0.480415594976266,0.570795948861115,0.676218121584053,0.619753031574141,0.608830937038039,0.751265014383129
"TGFbeta",-0.58643355633852,-0.607830733498319,-0.490672445003578,-0.490672445003578,-0.56881719216489,-0.56881719216489,-0.572233075670601,-0.531001797724615,-0.548069287096496,-0.410850610976284,0,0,0.475324982281294,0.436746793295067,0.49643103979534,0.411236824924161,0.519102351645758,0.503954226609414,0.602961514390721,0.641489196337908,0.548553882865502,0.691902745277475,0.615571666459887
"ZEB2",-0.734348875573351,-0.725657948632206,-0.694463602534353,-0.694463602534353,-0.634720275349939,-0.634720275349939,-0.597908843273224,-0.587513267931259,-0.579620345333118,-0.430536711529843,0,0,0.422090020082402,0.433225720454465,0.451089396804515,0.470308403904428,0.471835908013297,0.529658628268872,0.605445377289046,0.628742997029113,0.657283248080786,0.672855955281515,0.687791795631572
"TWIST1",-0.714087260579811,-0.629818767659595,-0.609512077374494,-0.609512077374494,-0.700643908766604,-0.700643908766604,-0.612196678920959,-0.64797264953847,-0.589517724033471,-0.482128827646006,0,0,0.595545926655692,0.400647421270075,0.602507955199489,0.512393037805548,0.541919908535813,0.542575534121605,0.508703237049869,0.675254868398609,0.557360363165014,0.723999998033772,0.750606580000748
