"","miR200c","miR200a","CDH1","miR141","CLDN7","miR34a","miR101","GRHL2","miR200b","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","GSC","TWIST2","TGFbeta","ZEB1","SNAI2","ZEB2"
"miR205",0.754415259326615,0.754415259326615,0.722152053344894,0.749964735573815,0.749964735573815,0.717520661468987,0.501023003004842,0.678825482448135,0.439269687907998,0.477615016138754,0,0,-0.450463021111531,-0.468061974195443,-0.480347345222084,-0.499550785206914,-0.449221263221377,-0.511311749043312,-0.644967121674762,-0.557993228173609,-0.801706949956245,-0.589093739885399,-0.812420792895842
"miR200c",0.718914129168178,0.718914129168178,0.691528493054326,0.718364849087781,0.718364849087781,0.674052627284032,0.555102054434065,0.658834225051436,0.352012736380828,0.468637726604676,0,0,-0.484818762031654,-0.469137752245521,-0.504190248263412,-0.530409367944369,-0.506901341203273,-0.576674314489906,-0.618704731423391,-0.620232854622622,-0.76664368964032,-0.66538206530755,-0.767743867254912
"miR200b",0.718914129168178,0.718914129168178,0.691528493054326,0.718364849087781,0.718364849087781,0.674052627284032,0.555102054434065,0.658834225051436,0.352012736380828,0.468637726604676,0,0,-0.484818762031654,-0.469137752245521,-0.504190248263412,-0.530409367944369,-0.506901341203273,-0.576674314489906,-0.618704731423391,-0.620232854622622,-0.76664368964032,-0.66538206530755,-0.767743867254912
"miR200a",0.718914129168178,0.718914129168178,0.691528493054326,0.718364849087781,0.718364849087781,0.674052627284032,0.555102054434065,0.658834225051436,0.352012736380828,0.468637726604676,0,0,-0.484818762031654,-0.469137752245521,-0.504190248263412,-0.530409367944369,-0.506901341203273,-0.576674314489906,-0.618704731423391,-0.620232854622622,-0.76664368964032,-0.66538206530755,-0.767743867254912
"miR141",0.718914129168178,0.718914129168178,0.691528493054326,0.718364849087781,0.718364849087781,0.674052627284032,0.555102054434065,0.658834225051436,0.352012736380828,0.468637726604676,0,0,-0.484818762031654,-0.469137752245521,-0.504190248263412,-0.530409367944369,-0.506901341203273,-0.576674314489906,-0.618704731423391,-0.620232854622622,-0.76664368964032,-0.66538206530755,-0.767743867254912
"miR101",0.653504305480903,0.653504305480903,0.608281136265356,0.653775337199421,0.653775337199421,0.554435366545965,0.510808051383274,0.603791055553275,0.344358461931761,0.442151370929137,0,0,-0.372948742400598,-0.370382669622564,-0.464802678540404,-0.414024438307541,-0.567993632370593,-0.450099136948647,-0.539634371971561,-0.488450259201705,-0.696031689989375,-0.589156970277851,-0.695289108407582
"miR34a",0.61447066902903,0.61447066902903,0.592090667504113,0.619389451888191,0.619389451888191,0.545210178163197,0.550471268272123,0.57598356230246,0.176507733658045,0.431228296966729,0,0,-0.47019755021775,-0.426455385154629,-0.482208959941925,-0.508370808073245,-0.510882492918712,-0.379234989381621,-0.72933089909308,-0.414907683961326,-0.658411590133837,-0.677019558015249,-0.546433252065261
"GRHL2",0.606576012126739,0.606576012126739,0.511035144940582,0.601895806626243,0.601895806626243,0.576098550105275,0.332064542725538,0.479869855308634,0.308912767190238,0.398170523558809,0.0255409753580788,0.0256364332958402,-0.301864534192564,-0.342330558541633,-0.355436781602722,-0.336938815942955,-0.295519800439345,-0.476819967988488,-0.402545968221927,-0.509525057319242,-0.637945784026362,-0.385796944860347,-0.45397463213657
"CDH1",0.266959824447707,0.266959824447707,0.513977746706038,0.268994935722438,0.268994935722438,0.261921395292102,0.537546817841237,0.251225333220257,-0.142733566820595,0.184423139711974,0,0,-0.367430196883134,-0.25910334638205,-0.264311887029651,-0.394548390774236,-0.509598838157629,0.0586717518196861,-0.575439025419221,0.0342492217953393,-0.295813051908605,-0.619283366804762,-0.291199757201325
"OVOL2",0.33874724083509,0.33874724083509,0.431444881728489,0.334705072780229,0.334705072780229,0.352025076199507,0.391404511203848,0.230827663341552,0.036703953710141,0.123564888358818,-0.0240834337367673,-0.0241428552949085,-0.290352167280264,-0.289270902516731,-0.297903336168334,-0.310383100306665,-0.370001398781576,-0.183387271579331,-0.41238402720439,-0.202525829780389,-0.356157935449028,-0.431725613024462,-0.266609685426254
"CLDN7",0.237405443622707,0.237405443622707,0.585151436053104,0.239367608801471,0.239367608801471,0.23432934231197,0.509598838157629,0.224925946796857,-0.153970568906178,0.165548049425621,0,0,-0.339937457289717,-0.240883442492453,-0.239788319313539,-0.367430196883134,-0.479931128427335,0.0852260385697314,-0.54503475815364,0.0586717518196861,-0.268994935722438,-0.591842841354578,-0.264348874344118
"NP63",0.266041558042293,0.266041558042293,0.0375487956662136,0.287237633653889,0.287237633653889,0.239959781813208,-0.179087660778478,0.351867947669761,0.306527787859066,0.258815385253872,0.0215802590359401,0.12148890048048,0.103668380604731,-0.0109611586482542,-0.00796410465449859,0.0882369882564757,0.194603862324616,-0.302202207222194,0.11411092403192,-0.318298607612451,-0.303593460334443,0.153432145994039,-0.250935260625736
