"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","miR101","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","ZEB1","SNAI2","TGFbeta","ZEB2"
"miR205",0.781841156457954,0.781841156457954,0.770464459939708,0.73876521927771,0.759416211126356,0.759416211126356,0.728040827619289,0.512736017856154,0.687350518280341,0.483241135038756,0,0,-0.461213053283291,-0.487508763674662,-0.499661658595523,-0.515877193969424,-0.456568548052036,-0.6539747365791,-0.584216446462143,-0.818945285299347,-0.605158795587329,-0.649566390915404,-0.879122851907928
"miR200c",0.733380144787239,0.733380144787239,0.727485425212542,0.694848807653431,0.706232642766068,0.706232642766068,0.666136029138703,0.559146628264136,0.648483945607673,0.458503530064559,0,0,-0.489895229709287,-0.482523942210532,-0.518925452725116,-0.540259783002098,-0.507525649192777,-0.615835511462513,-0.654958824065244,-0.760992586610493,-0.671259248259963,-0.715253342745364,-0.831047292833606
"miR200b",0.733380144787239,0.733380144787239,0.727485425212542,0.694848807653431,0.706232642766068,0.706232642766068,0.666136029138703,0.559146628264136,0.648483945607673,0.458503530064559,0,0,-0.489895229709287,-0.482523942210532,-0.518925452725116,-0.540259783002098,-0.507525649192777,-0.615835511462513,-0.654958824065244,-0.760992586610493,-0.671259248259963,-0.715253342745364,-0.831047292833606
"miR200a",0.733380144787239,0.733380144787239,0.727485425212542,0.694848807653431,0.706232642766068,0.706232642766068,0.666136029138703,0.559146628264136,0.648483945607673,0.458503530064559,0,0,-0.489895229709287,-0.482523942210532,-0.518925452725116,-0.540259783002098,-0.507525649192777,-0.615835511462513,-0.654958824065244,-0.760992586610493,-0.671259248259963,-0.715253342745364,-0.831047292833606
"miR141",0.733380144787239,0.733380144787239,0.727485425212542,0.694848807653431,0.706232642766068,0.706232642766068,0.666136029138703,0.559146628264136,0.648483945607673,0.458503530064559,0,0,-0.489895229709287,-0.482523942210532,-0.518925452725116,-0.540259783002098,-0.507525649192777,-0.615835511462513,-0.654958824065244,-0.760992586610493,-0.671259248259963,-0.715253342745364,-0.831047292833606
"miR101",0.695310766537023,0.695310766537023,0.685930092736514,0.635890378035127,0.680786153171634,0.680786153171634,0.579391660840082,0.529519058001251,0.627815813198848,0.458885325773049,0,0,-0.389834930796826,-0.396326351807038,-0.490915622962022,-0.437555978776486,-0.580998442322169,-0.557749295319819,-0.537556957011657,-0.731484877669838,-0.613985865115842,-0.593230266924543,-0.771582151911798
"CDH1",0.605753902688148,0.605753902688148,0.800916255505648,0.769500007869671,0.594458834270092,0.594458834270092,0.533668480860316,0.725065345565702,0.555434142567569,0.417976995431593,0,0,-0.542261496819417,-0.451406275668064,-0.471604169549248,-0.6016346707902,-0.664585257571137,-0.785388169435841,-0.635025918438028,-0.657690612999777,-0.852182734939278,-0.704422567168515,-0.690971312497482
"miR34a",0.712913907263288,0.712913907263288,0.705002870028585,0.662386590207255,0.700829992358318,0.700829992358318,0.61684086784073,0.599672639987604,0.648791751416992,0.483480716744336,0,0,-0.515722077312431,-0.483817104907978,-0.54241883796537,-0.565503595739679,-0.549203986023252,-0.782140622520836,-0.554498882886289,-0.753497028669991,-0.739191081275888,-0.612432014685793,-0.687877681632154
"CLDN7",0.535021677564483,0.535021677564483,0.731318432794982,0.804071114285309,0.52673766248938,0.52673766248938,0.471480401390117,0.664585257571137,0.495319867983925,0.374832933361182,0,0,-0.478176308048846,-0.406546539355582,-0.415680876640472,-0.542261496819417,-0.599900411795545,-0.71848053327638,-0.560112015954795,-0.594458834270092,-0.789980369575413,-0.635025918438028,-0.621144321337187
"GRHL2",0.62584571949512,0.62584571949512,0.552127910580348,0.522836149781247,0.6075220413922,0.6075220413922,0.582964090219525,0.340274998486009,0.485161878660659,0.402200254535923,0.0255409753580788,0.0256364332958402,-0.309633064318666,-0.35653475905312,-0.369367952134309,-0.348548608569778,-0.300531171733071,-0.408655801762788,-0.531470701226729,-0.649007781631125,-0.397222771403042,-0.576705932411283,-0.503058701305725
