"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","FOXC2","SNAI1","TWIST1","KLF8","TWIST2","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.804277942717976,0.804277942717976,0.787406911468796,0.752641997381858,0.793711103641105,0.793711103641105,0.753996624388952,0.715259803771419,0.517443192513579,0.502183672967736,0,0,-0.448745769794145,-0.467330499840158,-0.485907658364322,-0.502300821710025,-0.45921170638154,-0.663511354394944,-0.613376732993561,-0.859501251158069,-0.665596369040886,-0.887723140458941
"miR200c",0.781683841454824,0.781683841454824,0.767783980462656,0.730637200736275,0.773684824759239,0.773684824759239,0.720806109226481,0.70415682271347,0.577519989298097,0.498325254508122,0,0,-0.484922257380992,-0.478533859342058,-0.468173002489779,-0.536170007340082,-0.521714016079075,-0.644167408056551,-0.696949452631537,-0.836937143081562,-0.754014998003049,-0.858553662074907
"miR200b",0.781683841454824,0.781683841454824,0.767783980462656,0.730637200736275,0.773684824759239,0.773684824759239,0.720806109226481,0.70415682271347,0.577519989298097,0.498325254508122,0,0,-0.484922257380992,-0.478533859342058,-0.468173002489779,-0.536170007340082,-0.521714016079075,-0.644167408056551,-0.696949452631537,-0.836937143081562,-0.754014998003049,-0.858553662074907
"miR200a",0.781683841454824,0.781683841454824,0.767783980462656,0.730637200736275,0.773684824759239,0.773684824759239,0.720806109226481,0.70415682271347,0.577519989298097,0.498325254508122,0,0,-0.484922257380992,-0.478533859342058,-0.468173002489779,-0.536170007340082,-0.521714016079075,-0.644167408056551,-0.696949452631537,-0.836937143081562,-0.754014998003049,-0.858553662074907
"miR141",0.781683841454824,0.781683841454824,0.767783980462656,0.730637200736275,0.773684824759239,0.773684824759239,0.720806109226481,0.70415682271347,0.577519989298097,0.498325254508122,0,0,-0.484922257380992,-0.478533859342058,-0.468173002489779,-0.536170007340082,-0.521714016079075,-0.644167408056551,-0.696949452631537,-0.836937143081562,-0.754014998003049,-0.858553662074907
"miR101",0.70780997058781,0.70780997058781,0.69497800591916,0.64268682338916,0.702130999480246,0.702130999480246,0.59452624533031,0.645405515204805,0.530517467717398,0.470550928313422,0,0,-0.367845235756642,-0.452599921364022,-0.393213265010432,-0.414248840344299,-0.580962151381505,-0.562225663132424,-0.617326865632404,-0.757345322653278,-0.602166313139948,-0.773212484439184
"CDH1",0.616916876565479,0.616916876565479,0.809129296985334,0.775775153546652,0.61317035588203,0.61317035588203,0.546979591869197,0.571153341976192,0.726256366352475,0.428518235126991,0,0,-0.526199475744366,-0.440037173217112,-0.448622426185718,-0.583282809077699,-0.665052560505812,-0.789300776115996,-0.855284252646485,-0.68136360851813,-0.711839964588861,-0.69301712604118
"miR34a",0.723235995892711,0.723235995892711,0.712376162328979,0.667831967251333,0.718633851628694,0.718633851628694,0.629278152106303,0.66353699897902,0.600255370253801,0.493125943153925,0,0,-0.498789731346213,-0.509998823071263,-0.480401737885533,-0.546973576279378,-0.54897795382274,-0.785546699886357,-0.741698751737517,-0.775760195616071,-0.619640918492779,-0.689026744355033
"CLDN7",0.542490226394791,0.542490226394791,0.736690553877228,0.808184001754128,0.539880581812912,0.539880581812912,0.480798129352656,0.506383618865019,0.665052560505812,0.382259664124308,0,0,-0.464840539259876,-0.389311170548562,-0.402978841240823,-0.526199475744366,-0.599801233624763,-0.720825476108634,-0.791736152224357,-0.61317035588203,-0.640293812731583,-0.62212133884723
"GRHL2",0.640798075533452,0.640798075533452,0.562821565527846,0.530966698610762,0.631759355222391,0.631759355222391,0.600272709775911,0.504595455576938,0.342170186130615,0.414929633132945,0.0254904767053542,0.0255949064241535,-0.289743754153597,-0.340176933801788,-0.353500143791256,-0.328108395037575,-0.301153540903936,-0.414499550562488,-0.401812122361214,-0.677380770136349,-0.58779879039743,-0.505834559163795
