"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","KLF8","SNAI1","TWIST1","FOXC2","SNAI2","TWIST2","GSC","ZEB1","TGFbeta","ZEB2"
"miR205",0.781643227442269,0.781643227442269,0.714372320375245,0.694335863338717,0.774386598046927,0.774386598046927,0.733534221322641,0.700343656277729,0.386664308552378,0.493156154364962,0,0,-0.425080026281102,-0.35013761727007,-0.461698059660834,-0.469892842886679,-0.478214248757877,-0.401077440111069,-0.528808935753644,-0.580023478429312,-0.83143557880493,-0.640464678238866,-0.849787098622227
"miR200c",0.752433457281586,0.752433457281586,0.685000331704593,0.662619384636457,0.748581242713679,0.748581242713679,0.693828176255582,0.685728724793646,0.425708239822583,0.487280278318382,0,0,-0.456226330109938,-0.391617248864044,-0.462493704059423,-0.498300068962593,-0.502614707364772,-0.45428354375835,-0.484902663667616,-0.666122812092156,-0.802435465876292,-0.723458508846996,-0.812291071599725
"miR200b",0.752433457281586,0.752433457281586,0.685000331704593,0.662619384636457,0.748581242713679,0.748581242713679,0.693828176255582,0.685728724793646,0.425708239822583,0.487280278318382,0,0,-0.456226330109938,-0.391617248864044,-0.462493704059423,-0.498300068962593,-0.502614707364772,-0.45428354375835,-0.484902663667616,-0.666122812092156,-0.802435465876292,-0.723458508846996,-0.812291071599725
"miR200a",0.752433457281586,0.752433457281586,0.685000331704593,0.662619384636457,0.748581242713679,0.748581242713679,0.693828176255582,0.685728724793646,0.425708239822583,0.487280278318382,0,0,-0.456226330109938,-0.391617248864044,-0.462493704059423,-0.498300068962593,-0.502614707364772,-0.45428354375835,-0.484902663667616,-0.666122812092156,-0.802435465876292,-0.723458508846996,-0.812291071599725
"miR141",0.752433457281586,0.752433457281586,0.685000331704593,0.662619384636457,0.748581242713679,0.748581242713679,0.693828176255582,0.685728724793646,0.425708239822583,0.487280278318382,0,0,-0.456226330109938,-0.391617248864044,-0.462493704059423,-0.498300068962593,-0.502614707364772,-0.45428354375835,-0.484902663667616,-0.666122812092156,-0.802435465876292,-0.723458508846996,-0.812291071599725
"miR101",0.682650256288896,0.682650256288896,0.621998276329481,0.582833863592452,0.680063193740122,0.680063193740122,0.571820652566299,0.627141590361838,0.399907257696153,0.458553786176888,0,0,-0.34743123066918,-0.46927084330904,-0.364597768513012,-0.385346837971429,-0.463401435954024,-0.408951298774883,-0.426001673791405,-0.524532857935389,-0.727059337571901,-0.574581906724261,-0.733898301456451
"miR34a",0.661962896590705,0.661962896590705,0.577115586575623,0.55768599529879,0.662745561854305,0.662745561854305,0.574186372261316,0.61478156350029,0.39710455561027,0.459548849485789,0,0,-0.432766891273619,-0.368104670853049,-0.420414388406364,-0.468743523586847,-0.48314458014345,-0.426835597741867,-0.575086115634602,-0.507623250638892,-0.707154839785308,-0.554946290058668,-0.605797319206552
"GRHL2",0.62732086769611,0.62732086769611,0.512584199335244,0.491341818866485,0.620410223970536,0.620410223970536,0.588248308037721,0.496138253474028,0.251277660250668,0.409836283148246,0.0255409753580788,0.0256364332958402,-0.283340280531223,-0.225141826807295,-0.337695548245198,-0.315388375796845,-0.353905311060546,-0.254423776070289,-0.319921153908175,-0.52968541937512,-0.660044302408502,-0.571553632261143,-0.482121676794984
"CDH1",0.381214588811157,0.381214588811157,0.339093944067976,0.420473096885712,0.383424806025699,0.383424806025699,0.333916443271107,0.358762214694812,0.241834251621154,0.285813043240228,0,0,-0.305645464821194,-0.21780720623278,-0.258748530944017,-0.333964189920796,-0.282040892661967,-0.266761169795966,-0.296299583633452,-0.279071716596343,-0.417946953913588,-0.313621709435511,-0.413453679402603
"CLDN7",0.338438120221046,0.338438120221046,0.302220543384614,0.48634448092384,0.340763064446502,0.340763064446502,0.29600386048965,0.320892526677411,0.21780720623278,0.258633938414859,0,0,-0.273167246040942,-0.194070058266755,-0.235764179689242,-0.305645464821194,-0.2536700222396,-0.24659272404325,-0.269818674032105,-0.229642679075952,-0.383424806025699,-0.279071716596343,-0.37845111878271
"OVOL2",0.380974966228809,0.380974966228809,0.349749956004779,0.403485005789918,0.372406315896175,0.372406315896175,0.377858065735881,0.263348140311873,0.283946876858728,0.147609377998566,-0.0240834337367673,-0.0241428552949085,-0.261542307359178,-0.268164329673397,-0.286046541587485,-0.28099774221998,-0.300400591368345,-0.27672692659807,-0.304672895572602,-0.290148031173397,-0.397788750078366,-0.316960613845355,-0.320414047067669
"NP63",0.21063495981297,0.21063495981297,0.083072881412232,0.0536675929698855,0.236916721831317,0.236916721831317,0.203702193795538,0.308128394844607,0.0193478958387566,0.232037368785668,0.0215802590359401,0.12148890048048,0.049224047420641,-0.0104630885576556,-0.0154885068059702,0.0365302294020165,-0.0048482588762659,-0.0322967917039764,-0.073069418076669,-0.160487504389054,-0.252826730347326,-0.179866858410587,-0.187621488740372
"TCF3",-0.338438120221046,-0.338438120221046,-0.302220543384614,-0.48634448092384,-0.340763064446502,-0.340763064446502,-0.29600386048965,-0.320892526677411,-0.21780720623278,-0.258633938414859,0,0,0.273167246040942,0.194070058266755,0.235764179689242,0.305645464821194,0.2536700222396,0.24659272404325,0.269818674032105,0.229642679075952,0.383424806025699,0.279071716596343,0.37845111878271
"KLF8",-0.338438120221046,-0.338438120221046,-0.302220543384614,-0.48634448092384,-0.340763064446502,-0.340763064446502,-0.29600386048965,-0.320892526677411,-0.21780720623278,-0.258633938414859,0,0,0.273167246040942,0.194070058266755,0.235764179689242,0.305645464821194,0.2536700222396,0.24659272404325,0.269818674032105,0.229642679075952,0.383424806025699,0.279071716596343,0.37845111878271
"SNAI2",-0.415937924817572,-0.415937924817572,-0.369334470613008,-0.450050873979119,-0.417946953913588,-0.417946953913588,-0.36519773725574,-0.389450045382643,-0.262953879799156,-0.307506324956495,0,0,0.333964189920796,0.241834251621154,0.279125934800874,0.361385299822863,0.310018181880711,0.185691727519024,0.321496451759958,0.313621709435511,0.4521005817371,0.35178049431109,0.448011883770844
"SNAI1",-0.496599375189742,-0.496599375189742,-0.440395676940243,-0.494934008855167,-0.500818779529386,-0.500818779529386,-0.465901863229583,-0.467539587881531,-0.337275927973885,-0.36429326486417,0,0,0.277582144588414,0.316941740870287,0.180258292536512,0.302877082739539,0.384885604924372,0.333030721350242,0.350521842855821,0.389756895398947,0.53327026217046,0.424522661428435,0.522778812680047
