"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","GSC","TGFbeta","ZEB2","TWIST2","SNAI2","ZEB1"
"miR205",0.794586788915689,0.794586788915689,0.778014851588383,0.745055403457312,0.789754060703164,0.789754060703164,0.749620642967887,0.711220646698969,0.512521155160975,0.499201280789605,0,0,-0.459999900314613,-0.48801189241739,-0.497616726674881,-0.515297346860947,-0.45511280098596,-0.579613572922004,-0.646038903734859,-0.771669603061881,-0.659173820570067,-0.607342639031885,-0.854430366689782
"miR101",0.700161456302563,0.700161456302563,0.687702512661474,0.633770366848014,0.699440901493856,0.699440901493856,0.591435241903006,0.642956393846463,0.52710297442763,0.468846490659712,0,0,-0.387646725708696,-0.395131148919271,-0.487829663659137,-0.435644371382622,-0.578105708506274,-0.536198991092736,-0.592799754857419,-0.757902284444751,-0.558867533148438,-0.612745996326185,-0.754095037956822
"miR200c",0.774597340158358,0.774597340158358,0.761717725767438,0.72621200208198,0.772917779992204,0.772917779992204,0.718655770258858,0.705567696079941,0.57522530465817,0.500093610013148,0,0,-0.502130918012891,-0.497729510698633,-0.53120411405621,-0.555609038991012,-0.519858652647813,-0.676287437701659,-0.740782105348075,-0.739786974238082,-0.6423670137655,-0.694150901265149,-0.835500353598541
"miR200b",0.774597340158358,0.774597340158358,0.761717725767438,0.72621200208198,0.772917779992204,0.772917779992204,0.718655770258858,0.705567696079941,0.57522530465817,0.500093610013148,0,0,-0.502130918012891,-0.497729510698633,-0.53120411405621,-0.555609038991012,-0.519858652647813,-0.676287437701659,-0.740782105348075,-0.739786974238082,-0.6423670137655,-0.694150901265149,-0.835500353598541
"miR200a",0.774597340158358,0.774597340158358,0.761717725767438,0.72621200208198,0.772917779992204,0.772917779992204,0.718655770258858,0.705567696079941,0.57522530465817,0.500093610013148,0,0,-0.502130918012891,-0.497729510698633,-0.53120411405621,-0.555609038991012,-0.519858652647813,-0.676287437701659,-0.740782105348075,-0.739786974238082,-0.6423670137655,-0.694150901265149,-0.835500353598541
"miR141",0.774597340158358,0.774597340158358,0.761717725767438,0.72621200208198,0.772917779992204,0.772917779992204,0.718655770258858,0.705567696079941,0.57522530465817,0.500093610013148,0,0,-0.502130918012891,-0.497729510698633,-0.53120411405621,-0.555609038991012,-0.519858652647813,-0.676287437701659,-0.740782105348075,-0.739786974238082,-0.6423670137655,-0.694150901265149,-0.835500353598541
"CDH1",0.613444280442384,0.613444280442384,0.80585848201008,0.772318365311014,0.612909714815735,0.612909714815735,0.546417434846687,0.571060292421853,0.725069533865237,0.428619752207977,0,0,-0.542210598434202,-0.451856039898118,-0.470863330265304,-0.601700604558582,-0.664217030482287,-0.637243800680126,-0.707605146763244,-0.683545403618118,-0.788253800109225,-0.853464940206006,-0.68081344326643
"miR34a",0.719799823860767,0.719799823860767,0.709146473282049,0.66515541266549,0.719286279190112,0.719286279190112,0.629741455509873,0.664384340138713,0.599782190814005,0.493964115394442,0,0,-0.515382058781923,-0.484384480657172,-0.541895370296352,-0.565746769894498,-0.548716769690305,-0.556574059920423,-0.616157710934258,-0.679159759252892,-0.785125135320798,-0.740621316687923,-0.776392282373667
"CLDN7",0.539584008091881,0.539584008091881,0.734040753754634,0.805277477121776,0.539596973502994,0.539596973502994,0.480248918703264,0.506188409948331,0.664217030482287,0.382030292987249,0,0,-0.477876849990864,-0.406201469686088,-0.415168476632758,-0.542210598434202,-0.599565438419528,-0.559872686945375,-0.637243800680126,-0.614752742837856,-0.720215592908637,-0.79040558200615,-0.612909714815735
"GRHL2",0.63958771941845,0.63958771941845,0.562166726469127,0.531680813484434,0.635653003532476,0.635653003532476,0.603991014848073,0.509176550939908,0.344463724651596,0.41873739923086,0.0255335595763906,0.0256319161278311,-0.312458013511077,-0.361200276555007,-0.372576002301186,-0.352784798241263,-0.303199959480428,-0.539725768098772,-0.587048277512419,-0.494723790273896,-0.416797367957969,-0.403864010495409,-0.681598787276832
"OVOL2",0.434904943508346,0.434904943508346,0.465513058294312,0.499674314402376,0.426728482257186,0.426728482257186,0.430577558483363,0.311150770233944,0.438661873833172,0.181021939389594,-0.0240777143292164,-0.0241391922586398,-0.334205285722783,-0.34220580087205,-0.353555689487103,-0.364360145567178,-0.40743885551541,-0.339738978156597,-0.376149222881566,-0.384537077198463,-0.465945277061841,-0.491389915448387,-0.462127754052828
"NP63",0.109367603602358,0.109367603602358,-0.0604616525580785,-0.0746682285589565,0.151094570524192,0.151094570524192,0.120234824556961,0.233060593553238,-0.258706348784834,0.178370341548165,0.0215548640792181,0.121459492410214,0.182339092940692,0.0746873685934537,0.086993618665574,0.177392452856254,0.262462641543321,-0.0822458541072391,-0.0900011806198549,-0.0329844563946752,0.202849791351164,0.248091554787273,-0.156281927092673
"SNAI1",-0.527679293099281,-0.527679293099281,-0.5204542082178,-0.562134276256516,-0.53480767442769,-0.53480767442769,-0.499584267328571,-0.497039984098094,-0.469871720056666,-0.384658335943961,0,0,0.332213078423018,0.220397419449629,0.421529970934266,0.366849819794576,0.43431909004456,0.416545824640883,0.45869909405696,0.553160482339965,0.49304155580853,0.542148656991816,0.575282317420988
"TCF3",-0.539584008091881,-0.539584008091881,-0.734040753754634,-0.805277477121776,-0.539596973502994,-0.539596973502994,-0.480248918703264,-0.506188409948331,-0.664217030482287,-0.382030292987249,0,0,0.477876849990864,0.406201469686088,0.415168476632758,0.542210598434202,0.599565438419528,0.559872686945375,0.637243800680126,0.614752742837856,0.720215592908637,0.79040558200615,0.612909714815735
"KLF8",-0.539584008091881,-0.539584008091881,-0.734040753754634,-0.805277477121776,-0.539596973502994,-0.539596973502994,-0.480248918703264,-0.506188409948331,-0.664217030482287,-0.382030292987249,0,0,0.477876849990864,0.406201469686088,0.415168476632758,0.542210598434202,0.599565438419528,0.559872686945375,0.637243800680126,0.614752742837856,0.720215592908637,0.79040558200615,0.612909714815735
"TGFbeta",-0.588686032192813,-0.588686032192813,-0.67991015691455,-0.634118967788467,-0.590478504580979,-0.590478504580979,-0.589788752132002,-0.549444159220333,-0.560164194182981,-0.423282283509232,0,0,0.481922992703757,0.448712828014642,0.507033617780438,0.530037335613329,0.51170581690546,0.644736390862016,0.601338205427054,0.64107254568028,0.655077041786377,0.711728938125156,0.644494438921146
"FOXC2",-0.783096319629574,-0.783096319629574,-0.764666163407732,-0.729293409344375,-0.777230839521216,-0.777230839521216,-0.737448681670866,-0.692845241005741,-0.498527079639972,-0.484950214835448,0,0,0.45065462730404,0.476074574685094,0.487367103037035,0.504897846901591,0.442592056989916,0.570661863120371,0.635562931129357,0.660413437675508,0.644234873099926,0.589361098793127,0.840157311968703
"ZEB2",-0.808984158417207,-0.808984158417207,-0.798676762672461,-0.768264553644362,-0.707911530460197,-0.707911530460197,-0.660056607956781,-0.650099587979036,-0.625330735910921,-0.461082210127372,0,0,0.446785666554016,0.46523640678441,0.486672086286695,0.508940253810421,0.564128129995006,0.607500828136923,0.680384863823596,0.680595219854832,0.683098338710521,0.740805842519494,0.776327538942953
"ZEB1",-0.846219751773034,-0.846219751773034,-0.826257427844138,-0.787432855458142,-0.840157311968703,-0.840157311968703,-0.794739837255114,-0.748598961601036,-0.551859416243347,-0.524173307043291,0,0,0.504897846901591,0.514628902379104,0.537264612986671,0.558198464085081,0.498527079639972,0.635562931129357,0.69886477251376,0.721661909727958,0.703556245792979,0.644457801101954,0.800075572331774
"SNAI2",-0.681663961604224,-0.681663961604224,-0.872353499236769,-0.83492924206395,-0.68081344326643,-0.68081344326643,-0.607970986226648,-0.631245456353144,-0.78222871969194,-0.470940253647194,0,0,0.601700604558582,0.493784016263879,0.524191645137871,0.658492513800552,0.725069533865237,0.707605146763244,0.775459162485516,0.749262606678679,0.85219761400664,0.812825638752234,0.745242510550161
"GSC",-0.720378835320655,-0.720378835320655,-0.707612664406692,-0.662244525614193,-0.720331173369259,-0.720331173369259,-0.640419801672796,-0.66240923040038,-0.586524965247967,-0.494804261520618,0,0,0.58460911546331,0.486159749496904,0.618763268919705,0.634765400157658,0.535600924568307,0.555440762563124,0.615097465688559,0.77835280577848,0.581624657790277,0.633953192260816,0.77747898435628
"TWIST2",-0.731265284096852,-0.731265284096852,-0.720417333872717,-0.77710075361301,-0.730274277883707,-0.730274277883707,-0.641493694022675,-0.675391722687973,-0.617671330333062,-0.502648764471391,0,0,0.627569870291867,0.497776972024945,0.536063144146171,0.678784816450689,0.56553209698829,0.56485389209245,0.625718228130589,0.792744820221135,0.696081255686886,0.752631416846458,0.788730234819587
"TWIST1",-0.730590503657058,-0.730590503657058,-0.718998020927889,-0.772816271161793,-0.72901226152176,-0.72901226152176,-0.634998207138091,-0.671918018811487,-0.60553457159723,-0.498293647962796,0,0,0.605405330338084,0.416581787727392,0.61665011095924,0.556666773208815,0.553366317409735,0.561704620653817,0.622328600130809,0.793340470295156,0.693478301269877,0.749614111810955,0.787313789529831
