"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","miR101","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.790529550973588,0.790529550973588,0.778017387065579,0.745710084339438,0.770841974080506,0.770841974080506,0.737561198033586,0.516673216283885,0.697234134832318,0.490965085761033,0,0,-0.46402372437928,-0.491483504804779,-0.50288191789632,-0.519688647570252,-0.45926912341199,-0.659487092294802,-0.591540295492756,-0.610525716976268,-0.829841241170356,-0.656414125043621,-0.88462036752753
"miR200c",0.753687536652805,0.753687536652805,0.746999271810039,0.713996545254528,0.730961998760483,0.730961998760483,0.688744867214346,0.571767017639904,0.669900572105713,0.477160139530022,0,0,-0.500752327712266,-0.494080311923952,-0.529813961459735,-0.552592841192604,-0.518235084352199,-0.632250253578037,-0.672280343021293,-0.68708761443483,-0.78615047481513,-0.732947555092923,-0.847420530909602
"miR200b",0.753687536652805,0.753687536652805,0.746999271810039,0.713996545254528,0.730961998760483,0.730961998760483,0.688744867214346,0.571767017639904,0.669900572105713,0.477160139530022,0,0,-0.500752327712266,-0.494080311923952,-0.529813961459735,-0.552592841192604,-0.518235084352199,-0.632250253578037,-0.672280343021293,-0.68708761443483,-0.78615047481513,-0.732947555092923,-0.847420530909602
"miR200a",0.753687536652805,0.753687536652805,0.746999271810039,0.713996545254528,0.730961998760483,0.730961998760483,0.688744867214346,0.571767017639904,0.669900572105713,0.477160139530022,0,0,-0.500752327712266,-0.494080311923952,-0.529813961459735,-0.552592841192604,-0.518235084352199,-0.632250253578037,-0.672280343021293,-0.68708761443483,-0.78615047481513,-0.732947555092923,-0.847420530909602
"miR141",0.753687536652805,0.753687536652805,0.746999271810039,0.713996545254528,0.730961998760483,0.730961998760483,0.688744867214346,0.571767017639904,0.669900572105713,0.477160139530022,0,0,-0.500752327712266,-0.494080311923952,-0.529813961459735,-0.552592841192604,-0.518235084352199,-0.632250253578037,-0.672280343021293,-0.68708761443483,-0.78615047481513,-0.732947555092923,-0.847420530909602
"miR101",0.672482787319915,0.672482787319915,0.665908196097829,0.617198525931257,0.651440325989615,0.651440325989615,0.555115748347952,0.518047502744036,0.601655331097581,0.439315645991686,0,0,-0.380340893503346,-0.385646163104841,-0.480803446673754,-0.42621346423979,-0.571443573669416,-0.542032451836799,-0.520515634289351,-0.599135489755312,-0.699147389039614,-0.573403643746963,-0.755508214090349
"CDH1",0.591897485164899,0.591897485164899,0.789629781659849,0.759396590491957,0.574270781761601,0.574270781761601,0.518125584817545,0.720342192107658,0.537175857511509,0.404684239634626,0,0,-0.539398389556094,-0.446204057648158,-0.467643559748496,-0.596954830459148,-0.661615525225318,-0.777739363131867,-0.626103326931015,-0.844910974644871,-0.634388540180366,-0.692717480827531,-0.683130031253482
"miR34a",0.683158276159911,0.683158276159911,0.679972189200122,0.639928924607347,0.661148010754631,0.661148010754631,0.585709398617088,0.586538779657651,0.613155559018976,0.457625459119571,0,0,-0.505399331536652,-0.471235570482595,-0.530876947013716,-0.552474040424719,-0.538830190229256,-0.763709132193773,-0.532520479532336,-0.721699212265189,-0.710121293987581,-0.586959352632397,-0.668800868828195
"FOXC2",0.773672936558764,0.773672936558764,0.758910338540943,0.724510413449758,0.753397160118416,0.753397160118416,0.720435428342096,0.497596450086713,0.672520529723392,0.471069221589862,0,0,-0.450440159016712,-0.474295851926295,-0.487201802672386,-0.503943989571016,-0.442523961512008,-0.63973505040358,-0.568140043932021,-0.586494783611615,-0.80998562196753,-0.630404891252393,-0.66791312405165
"CLDN7",0.52330100511055,0.52330100511055,0.722108666982375,0.796044654240902,0.508839044205371,0.508839044205371,0.457977240446684,0.661615525225318,0.479093852511996,0.362998739040483,0,0,-0.477249309207594,-0.402839372060611,-0.41347664416214,-0.539398389556094,-0.598778392160201,-0.713070637696719,-0.553273890643178,-0.784738757718587,-0.574270781761601,-0.626103326931015,-0.615618731126564
