"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","FOXC2","TCF3","SNAI1","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.804537516962713,0.804537516962713,0.788623820320101,0.754714132322624,0.792443572643859,0.792443572643859,0.753678463483723,0.71636127501402,0.519423875708326,0.504441654883757,0,0,-0.304840871905133,-0.465119378089791,-0.495242315506303,-0.522369903191723,-0.460507798356803,-0.665091360305657,-0.597812763069219,-0.615850016917411,-0.857705494856005,-0.666733569290454,-0.890625787563189
"miR200c",0.781453332168649,0.781453332168649,0.768886004960414,0.732881129273234,0.771232194378801,0.771232194378801,0.719069269132785,0.705835321483456,0.580261674526352,0.50155395470434,0,0,-0.264119548909011,-0.506184704323971,-0.50326754571005,-0.561027421392164,-0.523891226775911,-0.646016774948942,-0.688849678004778,-0.700025345255884,-0.833910163582513,-0.755214099421013,-0.861877091718979
"miR200b",0.781453332168649,0.781453332168649,0.768886004960414,0.732881129273234,0.771232194378801,0.771232194378801,0.719069269132785,0.705835321483456,0.580261674526352,0.50155395470434,0,0,-0.264119548909011,-0.506184704323971,-0.50326754571005,-0.561027421392164,-0.523891226775911,-0.646016774948942,-0.688849678004778,-0.700025345255884,-0.833910163582513,-0.755214099421013,-0.861877091718979
"miR200a",0.781453332168649,0.781453332168649,0.768886004960414,0.732881129273234,0.771232194378801,0.771232194378801,0.719069269132785,0.705835321483456,0.580261674526352,0.50155395470434,0,0,-0.264119548909011,-0.506184704323971,-0.50326754571005,-0.561027421392164,-0.523891226775911,-0.646016774948942,-0.688849678004778,-0.700025345255884,-0.833910163582513,-0.755214099421013,-0.861877091718979
"miR141",0.781453332168649,0.781453332168649,0.768886004960414,0.732881129273234,0.771232194378801,0.771232194378801,0.719069269132785,0.705835321483456,0.580261674526352,0.50155395470434,0,0,-0.264119548909011,-0.506184704323971,-0.50326754571005,-0.561027421392164,-0.523891226775911,-0.646016774948942,-0.688849678004778,-0.700025345255884,-0.833910163582513,-0.755214099421013,-0.861877091718979
"miR101",0.705315244041374,0.705315244041374,0.693656107097486,0.642534192600658,0.696164128747361,0.696164128747361,0.591049258591893,0.641371292298527,0.531511117060154,0.469022061912637,0,0,-0.242675495384177,-0.390562495623731,-0.399182977151084,-0.439411834907692,-0.5817237868637,-0.56176236247364,-0.542458609299607,-0.617915485125782,-0.750613224030971,-0.600025118618877,-0.775755694638305
"CDH1",0.60998932751804,0.60998932751804,0.803900543332452,0.77180822564563,0.601562537034163,0.601562537034163,0.538848870606206,0.561717152376167,0.725098678943867,0.422563534686119,0,0,-0.1747707072457,-0.54206788597721,-0.451937667285884,-0.601568549987834,-0.66434684302785,-0.786103625090329,-0.635838777864265,-0.852923151952973,-0.668060748197147,-0.706237943115814,-0.691798175349265
"miR34a",0.715200902857534,0.715200902857534,0.70629090417221,0.663230686496699,0.705571179381075,0.705571179381075,0.620089424596518,0.652900123452712,0.598614980010216,0.486596121303531,0,0,-0.235703997707882,-0.514384570635898,-0.483522096434806,-0.56435504609904,-0.547857258744082,-0.781620788455255,-0.553800405645356,-0.738770924412258,-0.761172372081141,-0.612823268270485,-0.687409612617045
"CLDN7",0.536751954102334,0.536751954102334,0.732459716199167,0.804956161479776,0.529993945438507,0.529993945438507,0.473826354049914,0.498187626031331,0.66434684302785,0.376968343745044,0,0,-0.150450257995446,-0.478176308048846,-0.406543984285925,-0.54206788597721,-0.599900411795545,-0.718592395444063,-0.559202925045704,-0.790031499864686,-0.601562537034163,-0.635838777864265,-0.621405621186587
"GRHL2",0.64457043148008,0.64457043148008,0.566814078526589,0.535551307327708,0.633961342628,0.633961342628,0.60336785756266,0.50814541241503,0.346058066856689,0.418345642311308,0.0255409753580788,0.0256364332958402,-0.224612131423507,-0.313333160969195,-0.362834255279312,-0.354254601514891,-0.304294785022101,-0.417828784774776,-0.542986810353388,-0.405963933331822,-0.679640398105797,-0.591173310128883,-0.512732253107157
