"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR101","miR34a","GRHL2","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR205",0.809832519143485,0.809832519143485,0.792326986731689,0.758061474796827,0.799331635490248,0.799331635490248,0.554876533908593,0.759694234641234,0.721631933671328,0.507559935433918,0,0,-0.466398893249687,-0.497655840362999,-0.507385339164224,-0.524928221979028,-0.488443862484454,-0.666561446881405,-0.599117673066855,-0.617525755890244,-0.867224674061889,-0.669258779086606,-0.895470009917885
"miR200c",0.791887861794441,0.791887861794441,0.776861411558094,0.740409932945301,0.783971369346535,0.783971369346535,0.643972631493221,0.730545886056789,0.715873758923814,0.507845512405713,0,0,-0.510702300540179,-0.510172218031055,-0.543228094246541,-0.567541690329662,-0.57954623844776,-0.650503879972073,-0.69321081758046,-0.704788889731251,-0.849890255518626,-0.761364893590162,-0.871592927631077
"miR200b",0.791887861794441,0.791887861794441,0.776861411558094,0.740409932945301,0.783971369346535,0.783971369346535,0.643972631493221,0.730545886056789,0.715873758923814,0.507845512405713,0,0,-0.510702300540179,-0.510172218031055,-0.543228094246541,-0.567541690329662,-0.57954623844776,-0.650503879972073,-0.69321081758046,-0.704788889731251,-0.849890255518626,-0.761364893590162,-0.871592927631077
"miR200a",0.791887861794441,0.791887861794441,0.776861411558094,0.740409932945301,0.783971369346535,0.783971369346535,0.643972631493221,0.730545886056789,0.715873758923814,0.507845512405713,0,0,-0.510702300540179,-0.510172218031055,-0.543228094246541,-0.567541690329662,-0.57954623844776,-0.650503879972073,-0.69321081758046,-0.704788889731251,-0.849890255518626,-0.761364893590162,-0.871592927631077
"miR141",0.791887861794441,0.791887861794441,0.776861411558094,0.740409932945301,0.783971369346535,0.783971369346535,0.643972631493221,0.730545886056789,0.715873758923814,0.507845512405713,0,0,-0.510702300540179,-0.510172218031055,-0.543228094246541,-0.567541690329662,-0.57954623844776,-0.650503879972073,-0.69321081758046,-0.704788889731251,-0.849890255518626,-0.761364893590162,-0.871592927631077
"miR101",0.723454907323503,0.723454907323503,0.70775921406282,0.655967396700473,0.716748628492405,0.716748628492405,0.573235352045503,0.611350316673638,0.657830351858641,0.478869000159897,0,0,-0.402823059795233,-0.418682528490302,-0.501449354920217,-0.453977349434839,-0.616116354133186,-0.571019135456812,-0.551704842036901,-0.627136203705547,-0.775364673110055,-0.612643417798424,-0.793934174407307
"miR34a",0.736486108250334,0.736486108250334,0.72329542541256,0.679269968433742,0.730961591009413,0.730961591009413,0.694801766160011,0.642877082502569,0.673838431905724,0.499891008887409,0,0,-0.525290178002018,-0.497913791547334,-0.553066838851238,-0.57807246166095,-0.63617180041878,-0.79295246506022,-0.565370312449669,-0.750174501737514,-0.79126266656754,-0.628232142052182,-0.706927529322975
"CDH1",0.624579414443321,0.624579414443321,0.815249120628275,0.782429935777719,0.620236762522723,0.620236762522723,0.794588541599404,0.554973802980379,0.577351071664965,0.43283518347609,0,0,-0.547370919414263,-0.460026689825152,-0.478044437177359,-0.60916223770541,-0.725195130945601,-0.792897327270405,-0.642555243124708,-0.859912721954676,-0.691191510925942,-0.716177642078843,-0.704471359600697
"CLDN7",0.54776702201647,0.54776702201647,0.7407292113341,0.812659338962231,0.544647948028828,0.544647948028828,0.725195130945601,0.486435381232003,0.51044735556652,0.384939001794033,0,0,-0.480859051509206,-0.412216990905364,-0.419855061933821,-0.547370919414263,-0.652049591039498,-0.722814142481337,-0.563433944175329,-0.794588541599404,-0.620236762522723,-0.642555243124708,-0.630634000837583
"GRHL2",0.648392874116259,0.648392874116259,0.569433664760298,0.537896352269368,0.639055291851015,0.639055291851015,0.363099087991273,0.607742151255425,0.512035060392526,0.420606654494742,0.0255454054164869,0.0256446386145022,-0.314289921443465,-0.364523993913608,-0.375825952651526,-0.355975173956373,-0.316416185855579,-0.418903105379125,-0.543829893963788,-0.407145340417647,-0.686770300184446,-0.593146238620976,-0.516147568429219
