"","miR200c","miR200a","miR200b","CDH1","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","TCF3","SNAI1","FOXC2","TWIST1","KLF8","TWIST2","GSC","SNAI2","ZEB1","TGFbeta","ZEB2"
"miR200c",0.792213046237113,0.792213046237113,0.777051509619394,0.739445308409897,0.784433530777264,0.784433530777264,0.728825572829862,0.717273735110515,0.582367795636252,0.509612215379516,0,-0.507244756817477,-0.505791058381878,-0.538660512408095,-0.563006810966364,-0.525007315986932,-0.649776533091947,-0.694051236236917,-0.703807280808986,-0.850252568740233,-0.76234131187084,-0.871435365782329
"miR200b",0.792213046237113,0.792213046237113,0.777051509619394,0.739445308409897,0.784433530777264,0.784433530777264,0.728825572829862,0.717273735110515,0.582367795636252,0.509612215379516,0,-0.507244756817477,-0.505791058381878,-0.538660512408095,-0.563006810966364,-0.525007315986932,-0.649776533091947,-0.694051236236917,-0.703807280808986,-0.850252568740233,-0.76234131187084,-0.871435365782329
"miR200a",0.792213046237113,0.792213046237113,0.777051509619394,0.739445308409897,0.784433530777264,0.784433530777264,0.728825572829862,0.717273735110515,0.582367795636252,0.509612215379516,0,-0.507244756817477,-0.505791058381878,-0.538660512408095,-0.563006810966364,-0.525007315986932,-0.649776533091947,-0.694051236236917,-0.703807280808986,-0.850252568740233,-0.76234131187084,-0.871435365782329
"miR141",0.792213046237113,0.792213046237113,0.777051509619394,0.739445308409897,0.784433530777264,0.784433530777264,0.728825572829862,0.717273735110515,0.582367795636252,0.509612215379516,0,-0.507244756817477,-0.505791058381878,-0.538660512408095,-0.563006810966364,-0.525007315986932,-0.649776533091947,-0.694051236236917,-0.703807280808986,-0.850252568740233,-0.76234131187084,-0.871435365782329
"miR101",0.717096759740254,0.717096759740254,0.702709231741544,0.649959875336085,0.711090404919936,0.711090404919936,0.602201391303505,0.654458291377781,0.534425297520102,0.477847843284047,0,-0.392343328644442,-0.402328185705535,-0.494723393617243,-0.44225398126402,-0.58360842847296,-0.566553336701418,-0.548691402835555,-0.622563335798115,-0.768688712427359,-0.608579826351401,-0.785393269463507
"CDH1",0.6212993044284,0.6212993044284,0.812704563076621,0.779273758485219,0.617411672268078,0.617411672268078,0.550757299170933,0.575856522033409,0.727854979816278,0.432676476466925,0,-0.543547842319423,-0.45521621651386,-0.473637067147381,-0.604245232422012,-0.665891312836582,-0.790945992537641,-0.641640449214512,-0.857596558863953,-0.687513294660661,-0.714399318109114,-0.699561869142759
"miR34a",0.730628228308843,0.730628228308843,0.718420653276471,0.673473292661662,0.725709775097852,0.725709775097852,0.63535186035246,0.670718805942343,0.603107930824521,0.498962199033373,0,-0.517296980367843,-0.488258922277362,-0.545028419191645,-0.568772996586238,-0.550881272644035,-0.78871371938442,-0.562699047883221,-0.745605073281199,-0.784988657125927,-0.624545284265369,-0.699056411729857
"CLDN7",0.545121187270896,0.545121187270896,0.73881743769846,0.810304068445295,0.542399676549627,0.542399676549627,0.483029129330425,0.509313186844647,0.665891312836582,0.384966543842562,0,-0.478639807469471,-0.408680951926583,-0.416701670027917,-0.543547842319423,-0.600461421613217,-0.721766609934449,-0.562849260428785,-0.793107633101779,-0.617411672268078,-0.641640449214512,-0.626680207400275
"GRHL2",0.653855856774094,0.653855856774094,0.571431878494047,0.538164319561428,0.643244944804542,0.643244944804542,0.608929422366107,0.515042300439669,0.345461543925562,0.421466666931755,0.0261309408071893,-0.311826143003793,-0.362199899903777,-0.37322991760493,-0.353490909252368,-0.303112374047116,-0.418141483476167,-0.54578445434836,-0.406506826524247,-0.691287484054831,-0.595790911945429,-0.525743900243106
"OVOL2",0.477124385643475,0.477124385643475,0.497685314944527,0.525473693406091,0.459211928430661,0.459211928430661,0.456148213576996,0.338241133585307,0.451356894731646,0.201700899823003,-0.0244666838258717,-0.343675027187314,-0.354322247551518,-0.364966075187328,-0.376686060249383,-0.417215592660401,-0.48218327677022,-0.366720198575001,-0.508870856532657,-0.498482857577197,-0.407185534382688,-0.446659634614531
