"","CDH1","miR200b","miR200c","miR200a","miR141","CLDN7","miR34a","GRHL2","miR101","OVOL2","NP63","miR205","TCF3","SNAI1","FOXC2","TWIST1","KLF8","ZEB2","GSC","TWIST2","TGFbeta","SNAI2","ZEB1"
"miR200b",0.676006644453977,0.688668890351073,0.677290152622402,0.677290152622402,0.749014975478452,0.749014975478452,0.699252276429079,0.686145898670138,0.561978907531752,0.487414667054543,0,0,-0.494091147544386,-0.485570626440145,-0.520339150166474,-0.544340345231358,-0.510559650300384,-0.619606175784551,-0.63902154449742,-0.626924775148163,-0.695227798474331,-0.673038290172159,-0.805426107495388
"miR200a",0.676006644453977,0.688668890351073,0.677290152622402,0.677290152622402,0.749014975478452,0.749014975478452,0.699252276429079,0.686145898670138,0.561978907531752,0.487414667054543,0,0,-0.494091147544386,-0.485570626440145,-0.520339150166474,-0.544340345231358,-0.510559650300384,-0.619606175784551,-0.63902154449742,-0.626924775148163,-0.695227798474331,-0.673038290172159,-0.805426107495388
"miR141",0.676006644453977,0.688668890351073,0.677290152622402,0.677290152622402,0.749014975478452,0.749014975478452,0.699252276429079,0.686145898670138,0.561978907531752,0.487414667054543,0,0,-0.494091147544386,-0.485570626440145,-0.520339150166474,-0.544340345231358,-0.510559650300384,-0.619606175784551,-0.63902154449742,-0.626924775148163,-0.695227798474331,-0.673038290172159,-0.805426107495388
"miR205",0.681504310817374,0.688912991740928,0.676399234113273,0.676399234113273,0.758025077786497,0.758025077786497,0.723413430245532,0.686046564494756,0.494218602950465,0.482508062266921,0,0,-0.448006623046401,-0.470992508866062,-0.482059823206697,-0.499157728849292,-0.44187365019998,-0.602970043486046,-0.534174758333986,-0.637894293518198,-0.591252999882947,-0.579428267613675,-0.815306974905788
"miR101",0.59594446653634,0.626642828684793,0.616758360376025,0.616758360376025,0.681165270884061,0.681165270884061,0.57726343645812,0.628140119424866,0.51731728972222,0.459167639048126,0,0,-0.3814519224887,-0.385255248423825,-0.479272770029684,-0.426514829639274,-0.571629169989121,-0.562153122352525,-0.501253995689585,-0.547395130525687,-0.550504010362299,-0.596620249985594,-0.730581242671411
"CDH1",0.747896990826443,0.76591698816591,0.557282268676522,0.557282268676522,0.605017624791138,0.605017624791138,0.540893746804234,0.564948720373496,0.722113643874776,0.42497708494797,0,0,-0.541514928476248,-0.448432489210159,-0.469084111203666,-0.599623826218612,-0.663082878127955,-0.539352043378528,-0.618926730736841,-0.784543803980044,-0.682508783645162,-0.846373156159928,-0.668926434211811
"miR34a",0.633047333870444,0.659632501641208,0.651150655645147,0.651150655645147,0.705078931712526,0.705078931712526,0.618499311502902,0.652571444055211,0.592235656291168,0.486188673266377,0,0,-0.511239523661073,-0.47693682051841,-0.535409741522321,-0.558977156816734,-0.543911478356318,-0.513648769603575,-0.528565967971315,-0.776491761480814,-0.580788572343513,-0.727935437032721,-0.757416857052167
"CLDN7",0.787105245594822,0.703575810477209,0.496209725526404,0.496209725526404,0.535694580501923,0.535694580501923,0.477789111042644,0.503412506368367,0.663082878127955,0.380812495838252,0,0,-0.478639807469471,-0.405112983726937,-0.414749921586605,-0.541514928476248,-0.599619906886709,-0.493191859904547,-0.549722453049693,-0.718653854513453,-0.618926730736841,-0.786255411740741,-0.605017624791138
"GRHL2",0.498726692243458,0.51359992582036,0.571614138737185,0.571614138737185,0.619215503021697,0.619215503021697,0.590433405456703,0.49516080600043,0.334878701449949,0.409060849341664,0.0255409753580788,0.0256364332958402,-0.306124717676769,-0.351725430498297,-0.363960896236189,-0.34398239731143,-0.29640781804839,-0.324248702229415,-0.510045403957509,-0.40603277274376,-0.551354849236533,-0.389185372631248,-0.660816098697804
"OVOL2",0.480807195950095,0.437074797309185,0.395517721553103,0.395517721553103,0.418221550005595,0.418221550005595,0.423752823087108,0.303984921550464,0.434032456216623,0.176187073435195,-0.0240834337367673,-0.0241428552949085,-0.331273129683225,-0.337554465087722,-0.349641864257514,-0.360323198023632,-0.404246202199975,-0.287170420143371,-0.323760927328751,-0.460653770961568,-0.356377770362261,-0.483760470808076,-0.451051719201895
