"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","ZEB","NRF2","OCT4"
"miR200",0.642430686483339,0.630143449516852,0.630143449516852,0.584924829906301,0.329933358374725,0.268929039091318,-0.179056529728165,-0.353311618443843,-0.660294292462726,-0.592627060679991,-0.603149188760283
"GRHL2",0.642430686483339,0.630143449516852,0.630143449516852,0.584924829906301,0.329933358374725,0.268929039091318,-0.179056529728165,-0.253311618443843,-0.660294292462726,-0.592627060679991,-0.603149188760283
"miR145",0.564813806615297,0.548602887533499,0.548602887533499,0.514945771655373,0.287160981054836,0.126685954370116,-0.160366935846831,-0.113887614695263,-0.573438437891634,-0.517877316126842,-0.632667007498299
"Ecad",0.51933485862215,0.50501575838237,0.50501575838237,0.367854019915977,0.266153785415982,0.188211872513174,-0.026623018652926,-0.177587955702082,-0.526343002844088,-0.579145724504944,-0.492271465641154
"NRF2",0.347898377674098,0.339526676475225,0.339526676475225,0.320955513599961,0.212938012492481,0.204608514246358,-0.121805242954345,-0.199332515466242,-0.358856115134103,-0.320309497894089,-0.32813407617643
"miR34",0.347898377674098,0.339526676475225,0.339526676475225,0.320955513599961,0.212938012492481,0.204608514246358,-0.121805242954345,-0.199332515466242,-0.358856115134103,-0.320309497894089,-0.32813407617643
"OVOL2",0.197895097063695,0.192586909399173,0.192586909399173,0.185302330115714,0.0211057596413082,0.00492818806891739,-0.0888716209721856,0.00213546240790674,-0.198630576982015,-0.181370573205033,-0.185803273947759
"OCT4",-0.140010925746314,0,0,0,0,0.138203146889858,0,-0.138203146889858,0,0,0.140010925746314
"KEAP1",0,0,0,0,0,0,0,0,0,0,0
"SNAIL",-0.368225319848111,-0.358856115134103,-0.358856115134103,-0.338548620881784,-0.223751342718536,-0.212822545161935,0.0236530426139603,0.204608514246358,0.373495432460652,0.339526676475225,0.347898377674098
"ZEB",-0.673722767278466,-0.660294292462726,-0.660294292462726,-0.610400927846448,-0.344245739172518,-0.278603460783263,0.191155420592614,0.268929039091318,0.587181743760233,0.630143449516852,0.642430686483339
