"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"GRHL2",0.639226741942016,0.626804805479417,0.626804805479417,0.52638809652927,0.328476304792935,0.265632113568761,-0.16119905748089,-0.250885381542617,-0.304770037002861,-0.655620511622546,-0.600655785938046
"miR200",0.635586423101549,0.623263548377959,0.623263548377959,0.502751762692339,0.328663200777564,0.26617352097278,-0.139822954255681,-0.351978058160489,-0.201259873003546,-0.6516185384033,-0.598022419998368
"miR145",0.560524163444213,0.544150518560617,0.544150518560617,0.468585181119997,0.285122521162606,0.122538471306422,-0.137645760108742,-0.110531796295992,-0.303179328425217,-0.567595178204436,-0.629222747395663
"Ecad",0.523089519976903,0.508871403373449,0.508871403373449,0.416054807712823,0.268609418482003,0.19237781775578,-0.0388415930930106,-0.181859896157526,-0.352137576314886,-0.529654678371084,-0.495388839704794
"NRF2",0.308180070800424,0.299081531699439,0.299081531699439,0.131864445907893,0.191040869296498,0.168181885472363,-0.0699173055513778,-0.163313522477805,-0.095995462157735,-0.314096719286664,-0.291401547310491
"miR34",0.308180070800424,0.299081531699439,0.299081531699439,0.131864445907893,0.191040869296498,0.168181885472363,-0.0699173055513778,-0.163313522477805,-0.095995462157735,-0.314096719286664,-0.291401547310491
"OVOL2",0.194483747296768,0.189086144984291,0.189086144984291,0.164704398420253,0.0193643355990326,0.00195295186199068,-0.0805311150669937,0.00429141123419479,-0.112300720782967,-0.194398087943293,-0.182822969911609
"OCT4",-0.132412660928231,0.00771295838545702,0.00771295838545702,0.002043226245127,0.00412329466502576,0.144225019673036,-0.0242075978329801,-0.143729681677698,0.120310622619639,-0.00842547139482376,0.133582391174113
"KEAP1",-0.291401547310491,-0.282887521627877,-0.282887521627877,-0.119196785699249,-0.18366322137831,-0.163313522477805,0.0644480280361854,0.154308336244896,-0.0157339431886916,0.299081531699439,0.268702160807424
"SNAIL",-0.323938320707729,-0.314096719286664,-0.314096719286664,-0.142872832621225,-0.199111322940945,-0.174070678064618,-0.0277860235678805,0.168181885472363,0.103121352894077,0.325973252401955,0.308180070800424
"ZEB",-0.669175716220887,-0.655620511622546,-0.655620511622546,-0.548634016410576,-0.342019786497355,-0.274836920523504,0.169856301297144,0.265632113568761,0.324448371912984,0.581573066302121,0.639226741942016
