"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","KEAP1","SNAIL","NRF2","ZEB","OCT4"
"miR200",0.661831655258679,0.650375397908121,0.650375397908121,0.629053929065749,0.340173294175672,0.288847548243743,-0.369971220734322,-0.309002673579844,-0.211681389049111,-0.685184480744605,-0.617295940972965
"GRHL2",0.661831655258679,0.650375397908121,0.650375397908121,0.629053929065749,0.340173294175672,0.288847548243743,-0.269971220734322,-0.309002673579844,-0.311681389049111,-0.685184480744605,-0.617295940972965
"Ecad",0.661831655258679,0.650375397908121,0.650375397908121,0.629053929065749,0.340173294175672,0.288847548243743,-0.269971220734322,-0.309002673579844,-0.411681389049111,-0.685184480744605,-0.617295940972965
"miR145",0.579736660572751,0.564209963727227,0.564209963727227,0.550337651202854,0.295119534463615,0.142678404794459,-0.127279448791476,-0.271449759435405,-0.308896401160891,-0.592760582809529,-0.643445751481842
"miR34",0.353617896814202,0.345568584096819,0.345568584096819,0.335840472812569,0.215931514406394,0.211940903888596,-0.205188076748047,-0.171033355872872,-0.110378015543869,-0.367298448229667,-0.332234728749112
"OVOL2",0.203206166647083,0.198090060958377,0.198090060958377,0.196102314909372,0.0240564326919881,0.0100953243534857,-0.00212966730602569,-0.122444437059993,-0.114778981312724,-0.204953515037661,-0.189350519676252
"OCT4",-0.140024044654358,0,0,0,0,0.138219699965513,-0.138219699965513,0,0.122072321209788,0,0.140024044654358
"NRF2",0,0,0,0,0,0,0,0,0,0,0
"KEAP1",0,0,0,0,0,0,0,0,-0.1,0,0
"SNAIL",-0.37632954442792,-0.367298448229667,-0.367298448229667,-0.356636899491349,-0.228095484726306,-0.221646576564021,0.211940903888596,0.0794075789674088,0.118911058390637,0.38396839177375,0.353617896814202
"ZEB",-0.697741109928852,-0.685184480744605,-0.685184480744605,-0.661220207316251,-0.35657582297103,-0.301357091269155,0.288847548243743,0.332323569102232,0.334274506718914,0.617233566365546,0.661831655258679
