"","GRHL2","Ecad","miR34","miR145","OVOL2","miR200","SNAIL","KEAP1","NRF2","OCT4","ZEB"
"GRHL2",0.610987953473562,0.610987953473562,0.567378250790896,0.520237269746062,0.319482156901371,0.266937762763783,-0.178207227613132,-0.25251782812326,-0.296393479294243,-0.494534325650793,-0.637235866421919
"miR200",0.610248902793107,0.610248902793107,0.559417771955886,0.521230468331677,0.32114303534974,0.26941216856204,-0.163189732765855,-0.355484725276886,-0.193841898920668,-0.495955061039203,-0.636479560042258
"OCT4",0.495272882163581,0.495272882163581,0.463056260206594,0.465624662340711,0.259077354044491,0.256393421576685,-0.141420474176976,-0.247244237427501,-0.158386280013247,-0.441824232643886,-0.52075522945363
"Ecad",0.490127630757147,0.490127630757147,0.354382012571314,0.425499188706199,0.257990822777579,0.186483462961171,-0.025037458526659,-0.176754595337567,-0.344048986206847,-0.407975379182389,-0.508564864699064
"miR145",0.445738730697677,0.445738730697677,0.421994047251709,0.295275071247243,0.231542618249626,0.10385856546961,-0.130179219563069,-0.095322895882626,-0.247866000608422,-0.379671564841309,-0.461936945067746
"NRF2",0.333432205136294,0.333432205136294,0.31597029635954,0.292645475984028,0.209771338536906,0.205546501596651,-0.125386370975902,-0.200413393786679,-0.105355541631664,-0.278599454891027,-0.350549026415335
"miR34",0.333432205136294,0.333432205136294,0.31597029635954,0.292645475984028,0.209771338536906,0.205546501596651,-0.125386370975902,-0.200413393786679,-0.105355541631664,-0.278599454891027,-0.350549026415335
"OVOL2",0.183512916616861,0.183512916616861,0.175576518311254,0.158446502280909,0.0160341287300295,0.00202875497380781,-0.0829131606593663,0.00427927197722408,-0.109773966924493,-0.151663773676238,-0.188801092493272
"KEAP1",-0.315912989657895,-0.315912989657895,-0.301301358739782,-0.278599454891027,-0.202539782656702,-0.200413393786679,0.116676040118373,0.188485058095967,-0.00899252165256968,0.258200681884892,0.333432205136294
"SNAIL",-0.350549026415335,-0.350549026415335,-0.331442791902035,-0.306134537904681,-0.219336949909166,-0.21321424779927,0.0271562824803268,0.205546501596651,0.112277835489825,0.292645475984028,0.363314766398982
"ZEB",-0.637235866421919,-0.637235866421919,-0.589077063847276,-0.541136988583925,-0.332114819660756,-0.275778212776568,0.189455755292755,0.266937762763783,0.313517414961225,0.520237269746062,0.559604217225428
