"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"GRHL2",0.672084778715293,0.65827166810265,0.65827166810265,0.593770474859436,0.331287542572815,0.261398544594119,-0.176505905734436,-0.247112830308405,-0.305535761377029,-0.692459217711449,-0.630711644386934
"miR200",0.666821356001623,0.653169515780759,0.653169515780759,0.581219724868495,0.331672944083822,0.263943114203698,-0.161381807505429,-0.350232663580496,-0.200854803825636,-0.686772922865001,-0.626673370252103
"miR145",0.57563660273438,0.556476679993568,0.556476679993568,0.508568833763501,0.281430556225701,0.114129628460964,-0.146202541140858,-0.102990980519342,-0.299434516099998,-0.583241809676565,-0.643260132146144
"Ecad",0.520041935359027,0.503095956169415,0.503095956169415,0.356328578897383,0.257018987563805,0.175969994766636,-0.0206999038308038,-0.16689153386016,-0.34339282261003,-0.525567466140925,-0.493674243412561
"NRF2",0.347165951482087,0.337786349873884,0.337786349873884,0.313713513411362,0.207356026103675,0.198225572233685,-0.120682638828381,-0.192577305224699,-0.101157462985194,-0.356904199632671,-0.326148252367043
"miR34",0.347165951482087,0.337786349873884,0.337786349873884,0.313713513411362,0.207356026103675,0.198225572233685,-0.120682638828381,-0.192577305224699,-0.101157462985194,-0.356904199632671,-0.326148252367043
"OCT4",-0.130272511153643,0.0110537412513948,0.0110537412513948,0.0142531018798908,0.00568878720599784,0.146648591509574,-0.0296815161219413,-0.146040346409326,0.120170119409168,-0.0121824739274914,0.132265477155988
"OVOL2",-0.320543133927758,-0.313209499226325,-0.313209499226325,-0.283381661001637,-0.168503023305986,-0.136975109390482,0.107130967298077,0.133535700840176,0.0568755350111282,0.331672944083822,0.298524276467969
"KEAP1",-0.326148252367043,-0.317438235493445,-0.317438235493445,-0.297073159764378,-0.198877705197848,-0.192577305224699,0.113815115567416,0.182532519556113,-0.0125680272108844,0.337786349873884,0.297215359077714
"SNAIL",-0.367376632520793,-0.356904199632671,-0.356904199632671,-0.329924615177553,-0.217286147471825,-0.205147663103931,0.0234974536431963,0.198225572233685,0.109557865399681,0.37236175809336,0.347165951482087
"ZEB",-0.707832937326936,-0.692459217711449,-0.692459217711449,-0.620895280121682,-0.347553284221258,-0.271627945343183,0.18764397901762,0.261398544594119,0.32477048674218,0.621348775340098,0.672084778715293
