"","miR145","GRHL2","Ecad","miR34","miR200","SNAIL","NRF2","OVOL2","KEAP1","ZEB","OCT4"
"miR200",0.509985878396108,0.492647433613207,0.492647433613207,0.46263218765334,0.393450494850158,-0.144945407614239,-0.0924251894200204,-0.256512977419677,-0.480786572192935,-0.507285919621726,-0.490420323702547
"GRHL2",0.508332557728838,0.490691397849867,0.490691397849867,0.46399578785906,0.389576409158128,-0.158316206561388,-0.194294219351471,-0.253720174687879,-0.377076409158128,-0.505297880664076,-0.488815521671941
"miR145",0.457994565615342,0.435806075374219,0.435806075374219,0.414667340789038,0.244895038195702,-0.134724884069021,-0.21395745134822,-0.224972353459783,-0.234890866314184,-0.44762996880329,-0.542229225089381
"Ecad",0.416047541174777,0.398251336607771,0.398251336607771,0.27814245964766,0.263151138257558,-0.0101819216749454,-0.267716989650158,-0.206964333940897,-0.254479938727633,-0.408117952821942,-0.402877473147567
"NRF2",0.289357288490895,0.279161772883301,0.279161772883301,0.273066943285792,0.251111530541144,-0.114321346938802,-0.0581903795906394,-0.180136214577885,-0.242595572311993,-0.288660172029512,-0.276605610638546
"miR34",0.289357288490895,0.279161772883301,0.279161772883301,0.273066943285792,0.251111530541144,-0.114321346938802,-0.0581903795906394,-0.180136214577885,-0.242595572311993,-0.288660172029512,-0.276605610638546
"OVOL2",0.153251072935106,0.147174066866667,0.147174066866667,0.142248467249272,0.0277756893121488,-0.0791873925552127,-0.0818622878079649,-0.126312838759053,-0.0246508551034374,-0.150382623016399,-0.14941585790451
"OCT4",-0.132603637294905,0.00750243206966755,0.00750243206966755,0.0110026776297667,0.146221360128109,-0.028759715929604,0.12079173373075,-0.00397933209529389,-0.145842572249321,-0.00815089896583279,0.133582391174113
"KEAP1",-0.276605610638546,-0.267208420113621,-0.267208420113621,-0.261804435301972,-0.242595572311993,0.112498254433738,-0.0461194949320011,0.174292533058528,0.233590386079084,0.279161772883301,0.260347941926889
"SNAIL",-0.299509309254706,-0.288660172029512,-0.288660172029512,-0.281064037652826,-0.257128042879784,0.0184932811992323,0.0626016452845654,0.184876544192202,0.251111530541144,0.296080450034418,0.289357288490895
"ZEB",-0.524015156916592,-0.505297880664076,-0.505297880664076,-0.476940891716626,-0.399235064233557,0.163042354971282,0.200727521149011,0.260975045589194,0.389576409158128,0.416860230506577,0.508332557728838
