"","ZEB","SNAIL","OVOL2","OCT4","NRF2","miR34","miR200","miR145","KEAP1","Iext","GRHL2","Ecad"
"ZEB",0.554831741462014,0.293901061895195,-0.320116816201814,0.620380948833065,-0.244422258695557,-0.606163177883958,-0.266812912162922,-0.648067083474171,0.258409186800132,0,-0.631921718121338,0
"SNAIL",0.34900179401979,0.0630872909746756,-0.208054076425425,0.330348571405529,-0.192666828384915,-0.326050848077035,-0.204364610177548,-0.347987754714689,0.197440490936356,0,-0.337020950158837,0
"OVOL2",-0.17678300787344,-0.100271926848565,0.00877087776580303,-0.169332304676465,-0.00714794478769905,0.169713335709206,-0.00396290447336291,0.178534432336039,0.0099223125755704,0,0.17222703092422,0
"OCT4",-0.0109776870032673,-0.0263953642598002,0.00527623925704483,0.132936446832489,0.145275055165861,0.0141467088723186,0.146572153850241,-0.131132414289157,-0.145972582115766,0,0.0100897703902188,0
"NRF2",-0.337020950158837,-0.157219493166263,0.198926525833436,-0.313580071744972,0.182330589281553,0.310688059264713,0.197440490936356,0.330348571405529,-0.192666828384915,0,0.320475268056209,0
"miR34",-0.337020950158837,-0.157219493166263,0.198926525833436,-0.313580071744972,0.182330589281553,0.310688059264713,0.197440490936356,0.330348571405529,-0.192666828384915,0,0.320475268056209,0
"miR200",-0.630142788603897,-0.238901359275274,0.309598098483232,-0.584331846978772,0.337152356730325,0.571330123303874,0.261228473270439,0.618407020074716,-0.3478239298674,0,0.603861857686778,0
"miR145",-0.536795433478196,-0.228802785183579,0.26383777936575,-0.608157289562271,0.0929686623650414,0.500564873749929,0.112120042523145,0.535852219259757,-0.101141739288118,0,0.516064504655981,0
"KEAP1",0.320475268056209,0.146889354721108,-0.192930098173319,0.286961366709001,-0.275689223057644,-0.295594299658196,-0.192666828384915,-0.313580071744972,0.182330589281553,0,-0.304309425530534,0
"Iext",0.337020950158837,0.157219493166263,-0.198926525833436,0.313580071744972,-0.182330589281553,-0.310688059264713,-0.197440490936356,-0.330348571405529,0.192666828384915,0,-0.320475268056209,0
"GRHL2",-0.631921718121338,-0.27623736510549,0.308097006270078,-0.585258866729496,0.234067081106762,0.58293511910341,0.258409186800132,0.620380948833065,-0.244422258695557,0,0.605519638745151,0
"Ecad",-0.486521211758084,-0.0700021432266745,0.241546633727485,-0.463898920520087,0.0585834001473477,0.349392771374183,0.174323467362368,0.486239346052002,-0.165392584628741,0,0.468978463183036,0
