"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"miR145",0.710389128523369,0.697949755229651,0.697949755229651,0.621979412864465,0.350824662122682,0.159082985908606,-0.171211002088992,-0.142225599059759,-0.357988719658025,-0.741457994098413,-0.760478787818049
"GRHL2",0.701504666264742,0.689028569899348,0.689028569899348,0.615371881573457,0.344411065999002,0.269507998298396,-0.180176398995277,-0.253531435798396,-0.314770084942733,-0.731839986277048,-0.653163920455642
"Ecad",0.570264206375773,0.554286696162826,0.554286696162826,0.391965766759966,0.279419033902062,0.190247996919409,-0.0282241128275287,-0.17995058726159,-0.361092909390224,-0.58573275584148,-0.536912188438553
"OVOL2",0.346073991138846,0.33795374679551,0.33795374679551,0.305366814170354,0.0788600587740021,0.0428120912781883,-0.109207200930854,-0.0344107350054267,-0.167110586464678,-0.358042688897622,-0.324373175981322
"NRF2",0.317339682370352,0.310870726984815,0.310870726984815,0.29860223850185,0.182753243647743,0.185313207963719,-0.118421166836666,-0.182731975045408,-0.0872006034992365,-0.333058676810025,-0.297275304687948
"miR34",0.317339682370352,0.310870726984815,0.310870726984815,0.29860223850185,0.182753243647743,0.185313207963719,-0.118421166836666,-0.182731975045408,-0.0872006034992365,-0.333058676810025,-0.297275304687948
"miR200",0.262701661277096,0.258539445628998,0.258539445628998,0.256782464846981,0.155522788438013,0.167388059701493,-0.108857142857143,-0.267388059701493,0.0345114345114345,-0.290701132799472,-0.243452834986016
"KEAP1",-0.297275304687948,-0.290701132799472,-0.290701132799472,-0.284740852363236,-0.176734909650135,-0.182731975045408,0.104478859144358,0.167388059701493,-0.0320422987089654,0.310870726984815,0.262701661277096
"SNAIL",-0.340978026596931,-0.333058676810025,-0.333058676810025,-0.318688035958568,-0.19534141510732,-0.194991960158741,0.0162090518893846,0.185313207963719,0.0929097596931324,0.350675913818897,0.317339682370352
"OCT4",-0.723065891800896,-0.611965997142407,-0.611965997142407,-0.524330248791864,-0.310960331715775,-0.0199506399932678,0.0774272325879504,0.00780642746954862,0.425417771220888,0.655715997142407,0.673317148082303
"ZEB",-0.745874433980813,-0.731839986277048,-0.731839986277048,-0.648851442889509,-0.365017870628956,-0.282545065125932,0.19209906279764,0.269507998298396,0.336515269440297,0.66828994311681,0.701504666264742
