"","miR145","miR34","GRHL2","NRF2","OVOL2","miR200","KEAP1","SNAIL","ZEB","Ecad","OCT4"
"miR200",0.43685078247652,0.418130867075842,0.418255439627007,0.473529505044437,0.216918675933406,0.198054199376759,-0.293450006785584,-0.216681276325452,-0.425550419947274,-0.418255439627007,-0.425570720412905
"GRHL2",0.43172017209492,0.416585916595868,0.412661221421595,0.367842392975981,0.212723136412382,0.191762095412164,-0.187146082340268,-0.246535081173702,-0.419679472328383,-0.412661221421595,-0.420439986848476
"miR145",0.393412729776422,0.374843420527754,0.370207958679429,0.265318264207405,0.190821120191044,0.0632722740444905,-0.0595926745451163,-0.21910390183253,-0.37581521457248,-0.370207958679429,-0.484309560524905
"Ecad",0.35710868668992,0.242489332192483,0.33866606262028,0.198924658568694,0.175253087529739,0.129555074510884,-0.126575136627899,-0.0611565638427058,-0.343348684888751,-0.33866606262028,-0.350088278526655
"NRF2",0.258224927967838,0.25452382355233,0.247183845711756,0.213034921366984,0.162265114593547,0.173403728875858,-0.171212230126042,-0.144450919366741,-0.252922290831204,-0.247183845711756,-0.251657334487493
"miR34",0.258224927967838,0.25452382355233,0.247183845711756,0.213034921366984,0.162265114593547,0.173403728875858,-0.171212230126042,-0.144450919366741,-0.252922290831204,-0.247183845711756,-0.251657334487493
"OVOL2",0.132010543686578,0.128773049622107,0.125393276015834,0.0510872013153088,-0.0148138428667079,-0.0212298452287329,0.0233466684023761,-0.103566353434438,-0.126462794732411,-0.125393276015834,-0.129002700887302
"OCT4",-0.132943565462542,0.0108287943470042,0.00712380212071203,0.128217104653088,0.00378766195229715,0.144557324209627,-0.144295086447389,-0.02970532800528,-0.00748406150747049,-0.00712380212071203,0.13387457525008
"KEAP1",-0.251657334487493,-0.247817415206578,-0.241114404948437,-0.304142395453181,-0.160292872080764,-0.171212230126042,0.166638915651737,0.14073721241198,0.247183845711756,0.241114404948437,0.238927273137799
"SNAIL",-0.264639462635988,-0.259866225982496,-0.252922290831204,-0.218565969890907,-0.165612229052402,-0.175844088315716,0.173403728875858,0.0483278683764331,0.256346248312807,0.252922290831204,0.258224927967838
"ZEB",-0.439415683914144,-0.423216109474206,-0.419679472328383,-0.37578941284353,-0.215875361978673,-0.194152788329576,0.191762095412164,0.252468532292665,0.324995270231961,0.419679472328383,0.43172017209492
