"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","SNAIL","KEAP1","NRF2","ZEB","OCT4"
"GRHL2",0.644381010014031,0.632042545404135,0.632042545404135,0.584185817895181,0.329990709740017,0.268607518790492,-0.181678861673416,-0.254428786888345,-0.319410862540047,-0.663522187906618,-0.605456959381119
"miR200",0.642269112458264,0.630024155561557,0.630024155561557,0.574783557360147,0.330641885870894,0.270205241058753,-0.16629783375927,-0.356797552401895,-0.220584161891611,-0.661460805146289,-0.604443025501742
"miR145",0.564202606325926,0.547859310908253,0.547859310908253,0.510681849703956,0.286143383328348,0.123907591235466,-0.152822894004547,-0.1123132410678,-0.314362889253223,-0.573332397002312,-0.632602606325927
"Ecad",0.54442518319714,0.530066317016055,0.530066317016055,0.385487634531874,0.277239073271943,0.22936705892719,-0.033832518998191,-0.219551828765917,-0.370917842431112,-0.554624085940357,-0.515883829813682
"NRF2",0.309514121208861,0.303369980070513,0.303369980070513,0.299917031089451,0.183692541653056,0.155285721213516,-0.121389370281474,-0.15216292243446,-0.183310735856034,-0.323121504285398,-0.292975019711356
"miR34",0.309514121208861,0.303369980070513,0.303369980070513,0.299917031089451,0.183692541653056,0.155285721213516,-0.121389370281474,-0.15216292243446,-0.183310735856034,-0.323121504285398,-0.292975019711356
"OVOL2",0.194756949755188,0.18938436067308,0.18938436067308,0.180306604687778,0.0189549631925939,0.0016088706013009,-0.0842884353126598,0.00288529407727284,-0.116120803523024,-0.19632212159599,-0.184326048780422
"OCT4",-0.132869402869609,0.00721075995016618,0.00721075995016618,0.0107808216850114,0.00391951224970774,0.142084053997862,-0.0279810062350131,-0.141237194435406,0.119370098867664,-0.00762214150655974,0.134377698495552
"KEAP1",-0.292975019711356,-0.28682003535986,-0.28682003535986,-0.288550717779675,-0.179129899858249,-0.15216292243446,0.10395394592723,0.136100746268657,0.0621553884711779,0.303369980070513,0.260126786863124
"SNAIL",-0.330570568645422,-0.323121504285398,-0.323121504285398,-0.319206230978964,-0.195825243074857,-0.164241821639298,0.0175471496824963,0.155285721213516,0.189019397273356,0.336945183331841,0.309514121208861
"ZEB",-0.677057492127897,-0.663522187906618,-0.663522187906618,-0.610297426370263,-0.345374345254432,-0.279903068549404,0.193319529542037,0.268607518790492,0.339721103107945,0.590430395774515,0.644381010014031
