"","miR145","GRHL2","Ecad","miR34","OVOL2","KEAP1","SNAIL","miR200","ZEB","NRF2","OCT4"
"miR200",0.597020537682218,0.581518200211953,0.581518200211953,0.527341697644983,0.298374432300417,0.11944892862031,-0.139598640014821,-0.228589364455661,-0.602887944468564,-0.414748664431962,-0.568237294566191
"GRHL2",0.597407110838256,0.58148370548149,0.58148370548149,0.534774139200888,0.296056134936949,0.240813360211851,-0.152386226837844,-0.249701520264327,-0.602753904654733,-0.522114157862541,-0.56794441666968
"miR145",0.518468038344808,0.497814323790755,0.497814323790755,0.462738225402747,0.254611199006181,0.339797000957314,-0.125857023710721,-0.346928621303407,-0.514548771749785,-0.459580308141567,-0.595163125636728
"Ecad",0.470480535698216,0.452520999539043,0.452520999539043,0.317959647734448,0.233189269777227,0.184586730671586,-0.00397886456783102,-0.190201773763777,-0.466588643956882,-0.519446002545364,-0.451918391100328
"NRF2",0.323527978928154,0.313241858271907,0.313241858271907,0.294624195172796,0.195295369193499,0.0407649213531566,-0.11063716738023,-0.0500848205974891,-0.327284309405137,-0.185490955094832,-0.30873507951987
"miR34",0.323527978928154,0.313241858271907,0.313241858271907,0.294624195172796,0.195295369193499,0.0407649213531566,-0.11063716738023,-0.0500848205974891,-0.327284309405137,-0.185490955094832,-0.30873507951987
"OVOL2",0.172594089777641,0.166057202615391,0.166057202615391,0.15861536809194,0.00554283501209523,0.109458336012065,-0.0740002445266387,-0.106324153837726,-0.16964627691389,-0.142220760208688,-0.164976132255067
"OCT4",-0.131317406304638,0.00987074144141439,0.00987074144141439,0.0136389563005699,0.00517410846332018,-0.218105832523279,-0.0303773369556971,0.217413791000787,-0.0106779821459154,0.132154352904148,0.133019244289662
"KEAP1",-0.30873507951987,-0.299124211213084,-0.299124211213084,-0.282922374889641,-0.190170338245245,-0.0335854341736695,0.105261778664104,0.0407649213531566,0.313241858271907,0.0652466269971011,0.284361960161796
"SNAIL",-0.338673651593107,-0.327284309405137,-0.327284309405137,-0.306824384030209,-0.203083380180735,-0.0500848205974891,0.0113954059337441,0.0545997101267879,0.337071309758175,0.198062383666261,0.323527978928154
"ZEB",-0.619963375534259,-0.602753904654733,-0.602753904654733,-0.551477859372816,-0.305711960639507,-0.249701520264327,0.160747201331725,0.262243164541597,0.520501815134481,0.548221435850522,0.597407110838256
