"","miR145","GRHL2","Ecad","miR34","OVOL2","miR200","NRF2","KEAP1","SNAIL","ZEB","OCT4"
"GRHL2",0.661244021084098,0.6497989515239,0.6497989515239,0.626300062572353,0.34016097889318,0.289392226055164,0.256008249948165,-0.270518053869733,-0.300406239848884,-0.684434962126132,-0.617262215625736
"Ecad",0.661244021084098,0.6497989515239,0.6497989515239,0.626300062572353,0.34016097889318,0.289392226055164,0.256008249948165,-0.270518053869733,-0.300406239848884,-0.684434962126132,-0.617262215625736
"miR200",0.658232681497997,0.646887903885756,0.646887903885756,0.614102885851918,0.340705783785188,0.290610244458416,0.357659843156192,-0.372430302238028,-0.261945557729579,-0.681234478439585,-0.615426984984656
"miR145",0.577437902721869,0.561845558986034,0.561845558986034,0.544500831267466,0.29418237291848,0.141325758319481,0.114312826225129,-0.126086124501495,-0.252376938517026,-0.589851601282107,-0.641888975012737
"NRF2",0.354070243470874,0.346080444135802,0.346080444135802,0.335852989953166,0.216436161744285,0.213433875585306,0.192872367440056,-0.206636550962503,-0.170743114241634,-0.367759006350954,-0.332790481566112
"miR34",0.354070243470874,0.346080444135802,0.346080444135802,0.335852989953166,0.216436161744285,0.213433875585306,0.192872367440056,-0.206636550962503,-0.170743114241634,-0.367759006350954,-0.332790481566112
"OVOL2",0.200049216086943,0.194872481523499,0.194872481523499,0.190897151925074,0.0223340347257932,0.00804426340919334,0.00209909459080497,-0.000264398859651477,-0.110453215027747,-0.201699055612184,-0.187207834281915
"OCT4",-0.131350381577735,0.00883316093409723,0.00883316093409723,0.0124225337514048,0.00476608830096624,0.145397178874284,0.14418307473611,-0.144759443612191,-0.0251444041854008,-0.00968728355566171,0.132992989840552
"KEAP1",-0.332790481566112,-0.325278025889031,-0.325278025889031,-0.316612541543191,-0.20787658406706,-0.206636550962503,-0.28464451933879,0.192872367440056,0.156371081440598,0.346080444135802,0.301029475276804
"SNAIL",-0.376742904504902,-0.367759006350954,-0.367759006350954,-0.35631763931499,-0.228643094951632,-0.223160023134277,-0.206636550962503,0.213433875585306,0.0783933874656775,0.384296355292531,0.354070243470874
"ZEB",-0.696991281777129,-0.684434962126132,-0.684434962126132,-0.657547807766395,-0.356675011389487,-0.301787881114365,-0.270518053869733,0.289392226055164,0.323094002325689,0.615891590604037,0.661244021084098
