"","miR145","GRHL2","Ecad","OVOL2","miR200","SNAIL","miR34","KEAP1","NRF2","ZEB","OCT4"
"GRHL2",0.641369007278665,0.628196204757041,0.628196204757041,0.3243623908265,0.248686317872792,0.181956325997916,-0.157355150515128,-0.234156638765231,-0.313240675485766,-0.657118216199377,-0.601294872188055
"miR200",0.63916215473749,0.626185505271195,0.626185505271195,0.32557305892694,0.252151901179957,0.0528243102314865,-0.028383292498256,-0.338308107239013,-0.209500150387247,-0.655084939984015,-0.600314749031956
"miR145",0.558133311638284,0.541032317135351,0.541032317135351,0.279809509774778,0.105281237028032,0.190430253581803,-0.171511334662884,-0.0937074193295055,-0.308573881705347,-0.564087703623482,-0.626165015733396
"Ecad",0.511712580076596,0.496540630296579,0.496540630296579,0.258803261389661,0.169281286826362,0.122858094583818,-0.103816816288212,-0.159712598501714,-0.353980637470774,-0.516409824264968,-0.485255180973457
"NRF2",0.343602798318754,0.334875637629118,0.334875637629118,0.208729469198851,0.193820973343546,-0.00284626391977826,0.00961318121301135,-0.190125441076585,-0.110859749348589,-0.354379851808593,-0.325694010777041
"miR34",0.343602798318754,0.334875637629118,0.334875637629118,0.208729469198851,0.193820973343546,-0.00284626391977826,0.00961318121301135,-0.190125441076585,-0.110859749348589,-0.354379851808593,-0.325694010777041
"OVOL2",0.189900123452239,0.184187630307821,0.184187630307821,0.016160694200311,-0.00468440970815789,0.0897270814625082,-0.0694562393126986,0.0119093800976235,-0.111358904774687,-0.188499373489382,-0.177538925044529
"OCT4",-0.130743210333236,0.00950529907417572,0.00950529907417572,0.00503957542485297,0.146215188813414,-0.0929825404724988,0.0910572856593618,-0.145651702712738,0.120139280472092,-0.0103287934684609,0.13254785083739
"KEAP1",-0.325694010777041,-0.317501837691057,-0.317501837691057,-0.202617307888202,-0.190125441076585,0.00961318121301135,-0.0118639850715322,0.1792039393701,-0.00600397187107498,0.334875637629118,0.295393581592492
"SNAIL",-0.364225020540976,-0.354379851808593,-0.354379851808593,-0.220018705356739,-0.201258111815981,-0.104700243626729,-0.00284626391977826,0.193820973343546,0.118258987367438,0.36768973348432,0.343602798318754
"ZEB",-0.671462945239062,-0.657118216199377,-0.657118216199377,-0.337118713016497,-0.255856331738695,-0.183365540090056,0.181956325997916,0.248686317872792,0.335312340646862,0.583991880440666,0.641369007278665
